Phone timestamp;HR [bpm]
2021-12-04T10:51:54.943;62
2021-12-04T10:51:56.044;62
2021-12-04T10:51:57.039;62
2021-12-04T10:51:57.980;62
2021-12-04T10:51:59.015;61
2021-12-04T10:51:59.965;61
2021-12-04T10:52:00.952;60
2021-12-04T10:52:01.990;59
2021-12-04T10:52:02.946;59
2021-12-04T10:52:03.972;58
2021-12-04T10:52:04.962;57
2021-12-04T10:52:06.091;55
2021-12-04T10:52:06.944;55
2021-12-04T10:52:07.967;54
2021-12-04T10:52:08.959;53
2021-12-04T10:52:09.950;53
2021-12-04T10:52:10.985;53
2021-12-04T10:52:11.931;53
2021-12-04T10:52:12.967;53
2021-12-04T10:52:14.046;52
2021-12-04T10:52:14.950;53
2021-12-04T10:52:15.938;53
2021-12-04T10:52:16.976;53
2021-12-04T10:52:18.007;54
