Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T10:29:01.251;536585583678705133;74;887;164
2021-12-04T10:29:01.270;536585583698387414;48;947;80
2021-12-04T10:29:01.290;536585583718069695;139;990;144
2021-12-04T10:29:01.310;536585583737751976;44;968;101
2021-12-04T10:29:01.329;536585583757434257;115;928;43
2021-12-04T10:29:01.349;536585583777116538;111;973;76
2021-12-04T10:29:01.369;536585583796798819;77;956;103
2021-12-04T10:29:01.388;536585583816481100;54;958;57
2021-12-04T10:29:01.408;536585583836163381;46;940;56
2021-12-04T10:29:01.428;536585583855845662;8;970;88
2021-12-04T10:29:01.447;536585583875527943;-3;971;68
2021-12-04T10:29:01.467;536585583895210224;76;992;123
2021-12-04T10:29:01.487;536585583914892505;9;984;113
2021-12-04T10:29:01.506;536585583934574786;-26;977;47
2021-12-04T10:29:01.526;536585583954257067;11;1028;11
2021-12-04T10:29:01.546;536585583973939348;21;1012;111
2021-12-04T10:29:01.565;536585583993621629;-86;979;94
2021-12-04T10:29:01.585;536585584013303910;-39;1034;18
2021-12-04T10:29:01.605;536585584032986191;39;1006;33
2021-12-04T10:29:01.624;536585584052668472;3;996;19
2021-12-04T10:29:01.644;536585584072350753;-24;1027;-7
2021-12-04T10:29:01.664;536585584092033034;30;1004;79
2021-12-04T10:29:01.684;536585584111715315;-83;961;83
2021-12-04T10:29:01.703;536585584131397596;-35;955;29
2021-12-04T10:29:01.723;536585584151079877;-24;1016;-29
2021-12-04T10:29:01.743;536585584170762158;35;986;-39
2021-12-04T10:29:01.762;536585584190444439;33;951;-17
2021-12-04T10:29:01.782;536585584210126720;50;912;13
2021-12-04T10:29:01.802;536585584229809001;-24;975;-29
2021-12-04T10:29:01.821;536585584249491282;-6;1039;-38
2021-12-04T10:29:01.841;536585584269173563;33;986;0
2021-12-04T10:29:01.861;536585584288855844;16;957;39
2021-12-04T10:29:01.880;536585584308538125;-6;975;-4
