Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T10:28:32.943;536585738407587988;-136;975;2
2021-12-04T10:28:32.962;536585738427351096;-145;981;-1
2021-12-04T10:28:32.982;536585738447114204;-147;984;3
2021-12-04T10:28:33.002;536585738466877312;-151;984;9
2021-12-04T10:28:33.022;536585738486640420;-150;982;13
2021-12-04T10:28:33.041;536585738506403528;-139;979;9
2021-12-04T10:28:33.061;536585738526166636;-136;976;10
2021-12-04T10:28:33.081;536585738545929744;-135;977;11
2021-12-04T10:28:33.101;536585738565692852;-141;979;10
2021-12-04T10:28:33.120;536585738585455960;-145;982;10
2021-12-04T10:28:33.140;536585738605219068;-141;980;11
2021-12-04T10:28:33.160;536585738624982176;-137;978;10
2021-12-04T10:28:33.180;536585738644745284;-140;978;7
2021-12-04T10:28:33.199;536585738664508392;-138;979;5
2021-12-04T10:28:33.219;536585738684271500;-144;982;2
2021-12-04T10:28:33.239;536585738704034608;-147;983;3
2021-12-04T10:28:33.259;536585738723797716;-141;980;7
2021-12-04T10:28:33.278;536585738743560824;-140;979;11
2021-12-04T10:28:33.298;536585738763323932;-141;978;9
2021-12-04T10:28:33.318;536585738783087040;-141;981;1
2021-12-04T10:28:33.338;536585738802850148;-145;982;0
2021-12-04T10:28:33.358;536585738822613256;-143;982;4
2021-12-04T10:28:33.377;536585738842376364;-141;979;4
2021-12-04T10:28:33.397;536585738862139472;-140;977;8
2021-12-04T10:28:33.417;536585738881902580;-138;978;10
2021-12-04T10:28:33.437;536585738901665688;-139;979;9
2021-12-04T10:28:33.456;536585738921428796;-146;982;3
2021-12-04T10:28:33.476;536585738941191904;-147;982;5
2021-12-04T10:28:33.496;536585738960955012;-149;983;6
2021-12-04T10:28:33.516;536585738980718120;-141;979;6
2021-12-04T10:28:33.535;536585739000481228;-137;977;13
2021-12-04T10:28:33.555;536585739020244336;-141;978;6
2021-12-04T10:28:33.575;536585739040007444;-144;982;5
2021-12-04T10:28:33.595;536585739059770552;-143;982;10
2021-12-04T10:28:33.614;536585739079533660;-142;980;11
2021-12-04T10:28:33.634;536585739099296768;-138;980;7
2021-12-04T10:28:33.654;536585739119059910;-140;980;5
2021-12-04T10:28:33.674;536585739138823018;-140;980;4
2021-12-04T10:28:33.693;536585739158586126;-136;980;9
2021-12-04T10:28:33.713;536585739178349234;-134;979;11
2021-12-04T10:28:33.733;536585739198112342;-149;982;13
2021-12-04T10:28:33.753;536585739217875450;-138;981;14
2021-12-04T10:28:33.773;536585739237638558;-135;979;14
2021-12-04T10:28:33.792;536585739257401666;-138;979;13
2021-12-04T10:28:33.812;536585739277164774;-136;978;16
