Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T10:59:07.309;536842349088310605;-278;1123;139
2021-11-13T10:59:07.328;536842349108058058;-67;1097;201
2021-11-13T10:59:07.348;536842349127805511;-10;1059;95
2021-11-13T10:59:07.368;536842349147552964;-47;1063;33
2021-11-13T10:59:07.387;536842349167300417;-7;1039;34
2021-11-13T10:59:07.407;536842349187047870;100;1051;26
2021-11-13T10:59:07.427;536842349206795323;-90;1013;-5
2021-11-13T10:59:07.447;536842349226542776;-153;1029;74
2021-11-13T10:59:07.466;536842349246290229;-58;1024;106
2021-11-13T10:59:07.486;536842349266037682;-48;1007;99
2021-11-13T10:59:07.506;536842349285785135;-133;1074;144
2021-11-13T10:59:07.526;536842349305532588;-140;1073;131
2021-11-13T10:59:07.545;536842349325280041;-46;1061;111
2021-11-13T10:59:07.565;536842349345027494;-59;1040;63
2021-11-13T10:59:07.585;536842349364774947;-74;1008;145
2021-11-13T10:59:07.605;536842349384522400;-55;996;72
2021-11-13T10:59:07.624;536842349404269853;-108;1002;95
2021-11-13T10:59:07.644;536842349424017306;-152;1029;136
2021-11-13T10:59:07.664;536842349443764759;-95;1003;166
2021-11-13T10:59:07.684;536842349463512212;-111;1031;164
2021-11-13T10:59:07.703;536842349483259665;-112;998;220
2021-11-13T10:59:07.723;536842349503007118;-122;1072;170
2021-11-13T10:59:07.743;536842349522754571;-106;1041;135
2021-11-13T10:59:07.763;536842349542502024;-70;1093;130
2021-11-13T10:59:07.782;536842349562249477;36;1047;207
2021-11-13T10:59:07.802;536842349581996930;-11;1053;186
2021-11-13T10:59:07.822;536842349601744383;-88;1134;149
2021-11-13T10:59:07.842;536842349621491836;-109;1196;160
2021-11-13T10:59:07.861;536842349641239289;-195;1161;275
2021-11-13T10:59:07.881;536842349660986742;-167;1231;196
2021-11-13T10:59:07.901;536842349680734195;-162;1319;235
2021-11-13T10:59:07.921;536842349700481648;-253;1311;286
2021-11-13T10:59:07.940;536842349720229101;-177;1301;266
2021-11-13T10:59:07.960;536842349739976554;-119;1332;233
2021-11-13T10:59:07.980;536842349759724007;-182;1345;167
2021-11-13T10:59:08.000;536842349779471460;-138;1327;167
2021-11-13T10:59:08.019;536842349799218921;-193;1225;251
2021-11-13T10:59:08.039;536842349818966374;-251;1196;282
2021-11-13T10:59:08.059;536842349838713827;-173;1216;290
2021-11-13T10:59:08.079;536842349858461280;-172;1177;272
2021-11-13T10:59:08.098;536842349878208733;-138;1144;169
2021-11-13T10:59:08.118;536842349897956186;-104;1129;87
2021-11-13T10:59:08.138;536842349917703639;-79;1107;122
2021-11-13T10:59:08.158;536842349937451092;-47;1118;142
2021-11-13T10:59:08.177;536842349957198545;-76;1122;201
2021-11-13T10:59:08.197;536842349976945998;-24;1127;250
2021-11-13T10:59:08.217;536842349996693451;-58;1079;234
2021-11-13T10:59:08.237;536842350016440904;-44;1027;168
2021-11-13T10:59:08.256;536842350036188357;7;968;247
2021-11-13T10:59:08.276;536842350055935810;97;941;260
2021-11-13T10:59:08.296;536842350075683263;17;918;146
2021-11-13T10:59:08.316;536842350095430716;34;890;192
2021-11-13T10:59:08.335;536842350115178169;-14;922;107
2021-11-13T10:59:08.355;536842350134925622;177;887;86
2021-11-13T10:59:08.375;536842350154673075;55;802;102
2021-11-13T10:59:08.395;536842350174420528;39;762;166
2021-11-13T10:59:08.414;536842350194167981;31;767;70
2021-11-13T10:59:08.434;536842350213915434;41;867;110
2021-11-13T10:59:08.454;536842350233662887;-21;810;105
2021-11-13T10:59:08.474;536842350253410340;7;808;61
2021-11-13T10:59:08.493;536842350273157793;-91;804;136
2021-11-13T10:59:08.513;536842350292905246;-75;784;142
2021-11-13T10:59:08.533;536842350312652699;-85;835;-5
2021-11-13T10:59:08.553;536842350332400152;15;806;52
2021-11-13T10:59:08.572;536842350352147605;113;794;274
2021-11-13T10:59:08.592;536842350371895058;-169;820;123
2021-11-13T10:59:08.612;536842350391642511;143;849;158
2021-11-13T10:59:08.632;536842350411389964;-215;862;147
2021-11-13T10:59:08.651;536842350431137417;-210;798;74
2021-11-13T10:59:08.671;536842350450884870;-67;904;52
2021-11-13T10:59:08.691;536842350470632323;71;788;204
2021-11-13T10:59:08.711;536842350490379776;-79;783;214
2021-11-13T10:59:08.730;536842350510131970;-84;901;-23
2021-11-13T10:59:08.750;536842350529884156;-318;965;-3
2021-11-13T10:59:08.770;536842350549636342;-198;985;114
2021-11-13T10:59:08.790;536842350569388528;85;937;315
2021-11-13T10:59:08.809;536842350589140714;-296;917;275
2021-11-13T10:59:08.829;536842350608892900;-282;930;254
2021-11-13T10:59:08.849;536842350628645086;-90;941;106
2021-11-13T10:59:08.869;536842350648397272;-165;885;79
2021-11-13T10:59:08.888;536842350668149458;14;811;260
2021-11-13T10:59:08.908;536842350687901644;-224;879;182
2021-11-13T10:59:08.928;536842350707653830;-203;923;165
2021-11-13T10:59:08.948;536842350727406016;-177;941;230
2021-11-13T10:59:08.967;536842350747158202;-287;925;201
2021-11-13T10:59:08.987;536842350766910388;-145;890;230
2021-11-13T10:59:09.007;536842350786662574;-91;876;286
2021-11-13T10:59:09.027;536842350806414760;-197;908;253
2021-11-13T10:59:09.046;536842350826166946;-221;932;187
2021-11-13T10:59:09.066;536842350845919132;-208;921;233
2021-11-13T10:59:09.086;536842350865671318;-150;895;229
2021-11-13T10:59:09.106;536842350885423504;-420;951;117
2021-11-13T10:59:09.125;536842350905175690;-762;816;214
2021-11-13T10:59:09.145;536842350924927876;-319;1047;239
2021-11-13T10:59:09.165;536842350944680062;-54;800;186
2021-11-13T10:59:09.185;536842350964432248;-121;959;139
2021-11-13T10:59:09.204;536842350984184434;-197;891;225
2021-11-13T10:59:09.224;536842351003936620;-228;906;196
2021-11-13T10:59:09.244;536842351023688806;-243;938;209
2021-11-13T10:59:09.264;536842351043440992;-269;976;106
2021-11-13T10:59:09.283;536842351063193178;-160;974;151
2021-11-13T10:59:09.303;536842351082945364;-164;947;232
2021-11-13T10:59:09.323;536842351102697550;-204;897;199
2021-11-13T10:59:09.343;536842351122449736;-305;968;121
2021-11-13T10:59:09.362;536842351142201922;-212;934;201
2021-11-13T10:59:09.382;536842351161954108;-257;879;154
2021-11-13T10:59:09.402;536842351181706294;-255;774;147
2021-11-13T10:59:09.422;536842351201458480;-115;877;163
2021-11-13T10:59:09.441;536842351221213248;-221;802;199
2021-11-13T10:59:09.461;536842351240967982;-345;765;20
2021-11-13T10:59:09.481;536842351260722716;-81;813;71
2021-11-13T10:59:09.501;536842351280477450;-272;871;133
2021-11-13T10:59:09.520;536842351300232184;-130;742;227
2021-11-13T10:59:09.540;536842351319986918;-141;770;140
2021-11-13T10:59:09.560;536842351339741652;-335;803;86
2021-11-13T10:59:09.580;536842351359496386;37;815;71
2021-11-13T10:59:09.599;536842351379251120;-63;862;90
2021-11-13T10:59:09.619;536842351399005854;-117;783;94
2021-11-13T10:59:09.639;536842351418760588;-80;853;104
2021-11-13T10:59:09.659;536842351438515322;-115;873;191
2021-11-13T10:59:09.678;536842351458270056;-193;885;179
2021-11-13T10:59:09.698;536842351478024790;-16;882;119
2021-11-13T10:59:09.718;536842351497779524;-39;869;123
2021-11-13T10:59:09.738;536842351517534258;-31;938;58
2021-11-13T10:59:09.757;536842351537288992;-40;850;104
2021-11-13T10:59:09.777;536842351557043726;-91;886;172
2021-11-13T10:59:09.797;536842351576798460;15;933;95
2021-11-13T10:59:09.817;536842351596553194;93;936;82
2021-11-13T10:59:09.836;536842351616307928;-124;970;86
2021-11-13T10:59:09.856;536842351636062662;-25;993;106
2021-11-13T10:59:09.876;536842351655817396;-22;971;130
2021-11-13T10:59:09.896;536842351675572130;-38;1040;-47
2021-11-13T10:59:09.916;536842351695326864;16;999;58
2021-11-13T10:59:09.935;536842351715081598;-95;1006;205
2021-11-13T10:59:09.955;536842351734836332;-86;973;228
2021-11-13T10:59:09.975;536842351754591066;-39;989;208
2021-11-13T10:59:09.995;536842351774345800;-139;1063;122
2021-11-13T10:59:10.014;536842351794100534;-42;1029;175
2021-11-13T10:59:10.034;536842351813855268;9;1027;159
2021-11-13T10:59:10.054;536842351833610002;-117;1090;92
2021-11-13T10:59:10.074;536842351853364736;-76;1060;194
2021-11-13T10:59:10.093;536842351873119470;-78;1037;223
2021-11-13T10:59:10.113;536842351892874204;-36;1157;81
2021-11-13T10:59:10.133;536842351912628938;-64;1087;152
2021-11-13T10:59:10.153;536842351932376766;-153;1095;208
2021-11-13T10:59:10.172;536842351952124583;11;1110;129
2021-11-13T10:59:10.192;536842351971872400;-47;1135;156
2021-11-13T10:59:10.212;536842351991620217;-42;1171;214
2021-11-13T10:59:10.232;536842352011368034;-134;1137;273
2021-11-13T10:59:10.251;536842352031115851;-43;1087;295
2021-11-13T10:59:10.271;536842352050863668;-80;1074;255
2021-11-13T10:59:10.291;536842352070611485;-74;1103;191
2021-11-13T10:59:10.311;536842352090359302;-91;1126;172
2021-11-13T10:59:10.330;536842352110107119;33;1114;155
2021-11-13T10:59:10.350;536842352129854936;-114;1132;244
2021-11-13T10:59:10.370;536842352149602753;-70;1207;212
2021-11-13T10:59:10.390;536842352169350570;-36;1252;247
2021-11-13T10:59:10.409;536842352189098387;-90;1310;241
2021-11-13T10:59:10.429;536842352208846204;-79;1361;225
2021-11-13T10:59:10.449;536842352228594021;-92;1411;274
2021-11-13T10:59:10.469;536842352248341838;-162;1412;217
2021-11-13T10:59:10.488;536842352268089655;-147;1414;250
2021-11-13T10:59:10.508;536842352287837472;-220;1379;298
2021-11-13T10:59:10.528;536842352307585289;-179;1310;271
2021-11-13T10:59:10.548;536842352327333106;-140;1273;193
2021-11-13T10:59:10.567;536842352347080923;-238;1284;127
2021-11-13T10:59:10.587;536842352366828740;-130;1204;196
2021-11-13T10:59:10.607;536842352386576557;-124;1171;228
2021-11-13T10:59:10.627;536842352406324374;-134;1170;242
2021-11-13T10:59:10.646;536842352426072191;-63;1127;224
2021-11-13T10:59:10.666;536842352445820008;-112;1123;233
2021-11-13T10:59:10.686;536842352465567825;-38;1115;217
2021-11-13T10:59:10.706;536842352485315642;-52;1049;265
2021-11-13T10:59:10.725;536842352505063459;-20;1019;240
2021-11-13T10:59:10.745;536842352524811276;63;1022;159
2021-11-13T10:59:10.765;536842352544559093;28;1072;75
2021-11-13T10:59:10.784;536842352564306910;-14;1055;99
2021-11-13T10:59:10.804;536842352584054727;75;981;132
2021-11-13T10:59:10.824;536842352603802544;42;877;246
2021-11-13T10:59:10.844;536842352623550361;-96;971;99
2021-11-13T10:59:10.863;536842352643301395;186;907;106
2021-11-13T10:59:10.883;536842352663052397;111;964;114
2021-11-13T10:59:10.903;536842352682803399;23;875;118
2021-11-13T10:59:10.923;536842352702554401;22;818;171
2021-11-13T10:59:10.942;536842352722305403;-36;859;148
2021-11-13T10:59:10.962;536842352742056405;-91;862;77
2021-11-13T10:59:10.982;536842352761807407;-23;731;170
2021-11-13T10:59:11.002;536842352781558409;-80;785;96
2021-11-13T10:59:11.021;536842352801309411;199;742;141
2021-11-13T10:59:11.041;536842352821060413;-223;761;38
2021-11-13T10:59:11.061;536842352840811415;-188;656;-13
2021-11-13T10:59:11.081;536842352860562417;167;723;39
2021-11-13T10:59:11.101;536842352880313419;-257;690;2
2021-11-13T10:59:11.120;536842352900064421;-205;682;-17
2021-11-13T10:59:11.140;536842352919815423;170;734;126
2021-11-13T10:59:11.160;536842352939566425;-70;771;246
2021-11-13T10:59:11.180;536842352959317427;-343;832;139
2021-11-13T10:59:11.199;536842352979068429;-123;893;133
2021-11-13T10:59:11.219;536842352998819431;-160;947;236
2021-11-13T10:59:11.239;536842353018570433;-186;970;231
2021-11-13T10:59:11.259;536842353038321435;-99;891;219
2021-11-13T10:59:11.278;536842353058072437;-216;1017;102
2021-11-13T10:59:11.298;536842353077823439;-266;1007;151
2021-11-13T10:59:11.318;536842353097574441;-146;902;203
2021-11-13T10:59:11.338;536842353117325443;-138;870;153
2021-11-13T10:59:11.357;536842353137076445;-94;914;149
2021-11-13T10:59:11.377;536842353156827447;-136;820;210
2021-11-13T10:59:11.397;536842353176578449;-205;828;146
2021-11-13T10:59:11.417;536842353196329451;-310;853;189
2021-11-13T10:59:11.436;536842353216080453;-187;857;141
2021-11-13T10:59:11.456;536842353235831455;-48;889;184
2021-11-13T10:59:11.476;536842353255582457;-61;824;273
2021-11-13T10:59:11.496;536842353275333459;-51;934;222
2021-11-13T10:59:11.515;536842353295084461;-369;981;193
2021-11-13T10:59:11.535;536842353314835463;-340;1043;155
2021-11-13T10:59:11.555;536842353334586465;-58;1041;231
2021-11-13T10:59:11.575;536842353354336680;-53;979;302
2021-11-13T10:59:11.594;536842353374086863;-183;1008;265
2021-11-13T10:59:11.614;536842353393837046;-269;1028;183
2021-11-13T10:59:11.634;536842353413587229;-275;1004;133
2021-11-13T10:59:11.654;536842353433337412;-128;943;169
2021-11-13T10:59:11.673;536842353453087595;-380;971;56
2021-11-13T10:59:11.693;536842353472837778;-259;836;79
2021-11-13T10:59:11.713;536842353492587961;-399;945;172
2021-11-13T10:59:11.733;536842353512338144;-86;857;223
2021-11-13T10:59:11.752;536842353532088327;-161;847;213
2021-11-13T10:59:11.772;536842353551838510;-219;874;240
2021-11-13T10:59:11.792;536842353571588693;-336;887;146
2021-11-13T10:59:11.812;536842353591338876;-271;926;147
2021-11-13T10:59:11.831;536842353611089059;-159;934;217
2021-11-13T10:59:11.851;536842353630839242;-205;940;217
2021-11-13T10:59:11.871;536842353650589425;-239;943;213
2021-11-13T10:59:11.891;536842353670339608;-238;942;202
2021-11-13T10:59:11.910;536842353690089791;-226;941;184
2021-11-13T10:59:11.930;536842353709839974;-146;948;187
2021-11-13T10:59:11.950;536842353729590157;-186;867;204
2021-11-13T10:59:11.970;536842353749340340;-271;870;114
2021-11-13T10:59:11.989;536842353769090523;-105;882;209
2021-11-13T10:59:12.009;536842353788840706;-143;842;223
2021-11-13T10:59:12.029;536842353808590889;-237;769;75
2021-11-13T10:59:12.049;536842353828341072;-281;856;14
2021-11-13T10:59:12.068;536842353848091255;269;834;279
2021-11-13T10:59:12.088;536842353867841438;-265;803;196
2021-11-13T10:59:12.108;536842353887591621;-31;720;120
2021-11-13T10:59:12.128;536842353907341804;-115;782;17
2021-11-13T10:59:12.147;536842353927091987;114;794;219
2021-11-13T10:59:12.167;536842353946842170;-224;856;187
2021-11-13T10:59:12.187;536842353966592353;101;801;179
