Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:10:32.656;536843137130505876;-140;905;-384
2021-11-13T11:10:32.675;536843137150194346;-138;905;-385
2021-11-13T11:10:32.695;536843137169882816;-143;899;-389
2021-11-13T11:10:32.715;536843137189571286;-142;901;-393
2021-11-13T11:10:32.734;536843137209259756;-165;893;-405
2021-11-13T11:10:32.754;536843137228948226;-169;893;-420
2021-11-13T11:10:32.774;536843137248636696;-167;885;-432
2021-11-13T11:10:32.793;536843137268325166;-173;879;-429
2021-11-13T11:10:32.813;536843137288013636;-164;885;-422
2021-11-13T11:10:32.833;536843137307702106;-194;887;-421
2021-11-13T11:10:32.852;536843137327390576;-210;879;-427
2021-11-13T11:10:32.872;536843137347079046;-181;879;-432
2021-11-13T11:10:32.892;536843137366767516;-163;884;-431
2021-11-13T11:10:32.911;536843137386455986;-165;887;-423
2021-11-13T11:10:32.931;536843137406144456;-166;887;-423
2021-11-13T11:10:32.951;536843137425832926;-163;886;-423
2021-11-13T11:10:32.971;536843137445521396;-151;887;-417
2021-11-13T11:10:32.990;536843137465209866;-149;895;-405
2021-11-13T11:10:33.010;536843137484898336;-156;900;-399
2021-11-13T11:10:33.030;536843137504586806;-161;891;-400
2021-11-13T11:10:33.049;536843137524275276;-170;885;-400
2021-11-13T11:10:33.069;536843137543963746;-151;888;-407
2021-11-13T11:10:33.089;536843137563652216;-144;894;-397
2021-11-13T11:10:33.108;536843137583340686;-159;899;-394
2021-11-13T11:10:33.128;536843137603029156;-194;894;-389
2021-11-13T11:10:33.148;536843137622717626;-203;881;-399
2021-11-13T11:10:33.167;536843137642406096;-192;882;-408
2021-11-13T11:10:33.187;536843137662094566;-179;880;-421
2021-11-13T11:10:33.207;536843137681783036;-158;892;-421
2021-11-13T11:10:33.226;536843137701471506;-182;888;-403
2021-11-13T11:10:33.246;536843137721159976;-190;889;-399
2021-11-13T11:10:33.266;536843137740848446;-197;888;-395
2021-11-13T11:10:33.286;536843137760536916;-196;884;-394
2021-11-13T11:10:33.305;536843137780225386;-180;881;-400
2021-11-13T11:10:33.325;536843137799913856;-141;890;-402
2021-11-13T11:10:33.345;536843137819602326;-146;912;-392
2021-11-13T11:10:33.364;536843137839290826;-157;905;-391
2021-11-13T11:10:33.384;536843137858979296;-162;901;-395
2021-11-13T11:10:33.404;536843137878667766;-185;891;-389
2021-11-13T11:10:33.423;536843137898356236;-186;886;-387
2021-11-13T11:10:33.443;536843137918044706;-155;895;-387
2021-11-13T11:10:33.463;536843137937733176;-141;905;-385
2021-11-13T11:10:33.482;536843137957421646;-156;907;-387
2021-11-13T11:10:33.502;536843137977110116;-158;906;-397
2021-11-13T11:10:33.522;536843137996798586;-176;896;-409
2021-11-13T11:10:33.541;536843138016487056;-185;885;-426
2021-11-13T11:10:33.561;536843138036175526;-183;883;-428
2021-11-13T11:10:33.581;536843138055863996;-201;886;-415
2021-11-13T11:10:33.601;536843138075552466;-216;881;-398
2021-11-13T11:10:33.620;536843138095240936;-235;886;-387
2021-11-13T11:10:33.640;536843138114929406;-268;885;-387
2021-11-13T11:10:33.660;536843138134617876;-267;882;-395
2021-11-13T11:10:33.679;536843138154306346;-228;935;-391
2021-11-13T11:10:33.699;536843138173994816;-178;1049;-344
2021-11-13T11:10:33.719;536843138193683286;-163;1092;-330
2021-11-13T11:10:33.738;536843138213371756;-247;1087;-247
2021-11-13T11:10:33.758;536843138233060226;-313;1015;-184
2021-11-13T11:10:33.778;536843138252748696;-107;922;-269
2021-11-13T11:10:33.797;536843138272437166;9;783;-298
2021-11-13T11:10:33.817;536843138292125636;5;671;-383
2021-11-13T11:10:33.837;536843138311814106;-76;596;-470
2021-11-13T11:10:33.856;536843138331502576;-146;573;-514
2021-11-13T11:10:33.876;536843138351191046;-137;602;-503
2021-11-13T11:10:33.896;536843138370879516;-91;714;-441
2021-11-13T11:10:33.916;536843138390567986;-412;1073;-224
2021-11-13T11:10:33.935;536843138410256456;-528;1790;-247
