Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:05:08.446;536842812897390333;-184;891;-403
2021-11-13T11:05:08.465;536842812917071158;-162;894;-404
2021-11-13T11:05:08.485;536842812936751983;-139;901;-399
2021-11-13T11:05:08.505;536842812956432808;-137;905;-395
2021-11-13T11:05:08.524;536842812976113633;-146;904;-380
2021-11-13T11:05:08.544;536842812995794458;-139;907;-378
2021-11-13T11:05:08.564;536842813015475283;-148;908;-377
2021-11-13T11:05:08.583;536842813035156108;-155;902;-388
2021-11-13T11:05:08.603;536842813054836933;-160;899;-387
2021-11-13T11:05:08.623;536842813074517758;-152;897;-393
2021-11-13T11:05:08.642;536842813094198583;-156;900;-394
2021-11-13T11:05:08.662;536842813113879408;-167;894;-393
2021-11-13T11:05:08.682;536842813133560233;-165;892;-402
2021-11-13T11:05:08.701;536842813153241058;-163;893;-414
2021-11-13T11:05:08.721;536842813172921883;-159;894;-414
2021-11-13T11:05:08.741;536842813192602708;-158;893;-408
2021-11-13T11:05:08.760;536842813212283533;-147;896;-397
2021-11-13T11:05:08.780;536842813231964358;-153;908;-381
2021-11-13T11:05:08.800;536842813251645183;-165;906;-370
2021-11-13T11:05:08.819;536842813271326008;-180;895;-365
2021-11-13T11:05:08.839;536842813291006833;-153;906;-365
2021-11-13T11:05:08.859;536842813310687658;-149;915;-359
2021-11-13T11:05:08.878;536842813330368483;-150;910;-370
2021-11-13T11:05:08.898;536842813350049308;-154;911;-380
2021-11-13T11:05:08.918;536842813369730133;-174;910;-375
2021-11-13T11:05:08.938;536842813389410958;-187;892;-382
2021-11-13T11:05:08.957;536842813409091783;-188;892;-390
2021-11-13T11:05:08.977;536842813428772608;-178;890;-395
2021-11-13T11:05:08.997;536842813448453433;-178;896;-389
2021-11-13T11:05:09.016;536842813468134258;-186;892;-390
2021-11-13T11:05:09.036;536842813487815083;-185;895;-386
2021-11-13T11:05:09.056;536842813507495908;-181;903;-378
2021-11-13T11:05:09.075;536842813527176733;-188;900;-378
2021-11-13T11:05:09.095;536842813546857558;-187;892;-379
2021-11-13T11:05:09.115;536842813566538383;-145;904;-375
2021-11-13T11:05:09.134;536842813586219208;-151;918;-371
2021-11-13T11:05:09.154;536842813605900033;-178;908;-368
2021-11-13T11:05:09.174;536842813625580858;-184;898;-374
2021-11-13T11:05:09.193;536842813645261683;-188;897;-379
2021-11-13T11:05:09.213;536842813664942508;-200;890;-375
2021-11-13T11:05:09.233;536842813684623333;-196;888;-379
2021-11-13T11:05:09.252;536842813704304158;-183;900;-388
2021-11-13T11:05:09.272;536842813723984983;-201;892;-388
2021-11-13T11:05:09.292;536842813743665808;-223;892;-396
