Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:08:10.960;536842892734765735;-256;909;-65
2021-11-13T11:08:10.979;536842892754505542;-264;929;-31
2021-11-13T11:08:10.999;536842892774245349;-185;892;-8
2021-11-13T11:08:11.019;536842892793985156;-239;910;-40
2021-11-13T11:08:11.038;536842892813724963;-73;962;-36
2021-11-13T11:08:11.058;536842892833464770;-154;903;-28
2021-11-13T11:08:11.078;536842892853204577;-228;925;-89
2021-11-13T11:08:11.098;536842892872944384;-163;963;-3
2021-11-13T11:08:11.117;536842892892684191;-237;912;111
2021-11-13T11:08:11.137;536842892912423998;-356;966;14
2021-11-13T11:08:11.157;536842892932163805;-176;950;17
2021-11-13T11:08:11.177;536842892951903612;-136;925;8
2021-11-13T11:08:11.196;536842892971643419;-147;937;-67
2021-11-13T11:08:11.216;536842892991383226;-70;927;-22
2021-11-13T11:08:11.236;536842893011123033;-100;954;15
2021-11-13T11:08:11.256;536842893030862840;-139;937;94
2021-11-13T11:08:11.275;536842893050602647;-212;933;47
2021-11-13T11:08:11.295;536842893070342454;-245;883;20
2021-11-13T11:08:11.315;536842893090082261;-223;890;32
2021-11-13T11:08:11.335;536842893109822068;-250;865;-43
2021-11-13T11:08:11.354;536842893129561875;-32;932;40
2021-11-13T11:08:11.374;536842893149301682;44;898;203
2021-11-13T11:08:11.394;536842893169041489;-280;739;-38
2021-11-13T11:08:11.414;536842893188781296;-373;835;-246
2021-11-13T11:08:11.433;536842893208521103;-299;925;-106
2021-11-13T11:08:11.453;536842893228260910;-51;943;274
2021-11-13T11:08:11.473;536842893248000717;-180;764;123
2021-11-13T11:08:11.492;536842893267740524;-188;867;-262
2021-11-13T11:08:11.512;536842893287480331;-85;998;-131
2021-11-13T11:08:11.532;536842893307220138;-291;963;83
2021-11-13T11:08:11.552;536842893326959945;-125;964;209
2021-11-13T11:08:11.571;536842893346699752;-209;999;78
2021-11-13T11:08:11.591;536842893366439559;-319;995;-52
2021-11-13T11:08:11.611;536842893386179366;-303;1050;-58
2021-11-13T11:08:11.631;536842893405919173;-96;994;36
2021-11-13T11:08:11.650;536842893425658980;-24;998;58
2021-11-13T11:08:11.670;536842893445398799;-188;921;16
2021-11-13T11:08:11.690;536842893465138606;-388;924;-178
2021-11-13T11:08:11.710;536842893484878413;-332;954;-164
2021-11-13T11:08:11.729;536842893504618220;-80;943;100
2021-11-13T11:08:11.749;536842893524358027;-149;889;186
2021-11-13T11:08:11.769;536842893544097834;-261;898;21
2021-11-13T11:08:11.789;536842893563837641;-378;917;-236
2021-11-13T11:08:11.808;536842893583577448;-212;991;-132
2021-11-13T11:08:11.828;536842893603317255;-123;946;144
2021-11-13T11:08:11.848;536842893623057062;-216;949;191
2021-11-13T11:08:11.868;536842893642796869;-335;943;-99
2021-11-13T11:08:11.887;536842893662536676;-329;1008;-188
2021-11-13T11:08:11.907;536842893682276483;-169;994;-66
2021-11-13T11:08:11.927;536842893702016290;-250;961;-50
2021-11-13T11:08:11.946;536842893721756097;-303;981;17
2021-11-13T11:08:11.966;536842893741495904;-368;936;-27
2021-11-13T11:08:11.986;536842893761235711;-280;978;-62
2021-11-13T11:08:12.006;536842893780975518;-199;965;-36
2021-11-13T11:08:12.025;536842893800715325;-272;924;-99
2021-11-13T11:08:12.045;536842893820455132;-283;930;-88
2021-11-13T11:08:12.065;536842893840194939;-288;907;-110
2021-11-13T11:08:12.085;536842893859934746;-260;864;-51
2021-11-13T11:08:12.104;536842893879674553;-301;858;-109
2021-11-13T11:08:12.124;536842893899414360;-324;805;-153
2021-11-13T11:08:12.144;536842893919154167;-237;853;-42
2021-11-13T11:08:12.164;536842893938893974;-246;850;-75
2021-11-13T11:08:12.183;536842893958633781;-217;801;-80
2021-11-13T11:08:12.203;536842893978373588;-333;786;-112
2021-11-13T11:08:12.223;536842893998113395;-344;751;-123
2021-11-13T11:08:12.243;536842894017853202;-164;918;6
