Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T11:21:14.666;536588900216834581;249;860;-475
2021-12-04T11:21:14.685;536588900236607520;259;856;-472
2021-12-04T11:21:14.705;536588900256380459;253;851;-475
2021-12-04T11:21:14.725;536588900276153398;239;856;-470
2021-12-04T11:21:14.745;536588900295926337;240;856;-478
2021-12-04T11:21:14.764;536588900315699276;256;854;-480
2021-12-04T11:21:14.784;536588900335472215;238;860;-471
2021-12-04T11:21:14.804;536588900355245154;248;863;-472
2021-12-04T11:21:14.824;536588900375018093;255;851;-472
2021-12-04T11:21:14.843;536588900394791032;238;856;-466
2021-12-04T11:21:14.863;536588900414563971;240;857;-468
2021-12-04T11:21:14.883;536588900434336910;238;859;-474
2021-12-04T11:21:14.903;536588900454109849;243;858;-474
2021-12-04T11:21:14.923;536588900473882788;249;861;-463
2021-12-04T11:21:14.942;536588900493655727;243;863;-468
2021-12-04T11:21:14.962;536588900513428666;239;862;-471
2021-12-04T11:21:14.982;536588900533201605;235;861;-464
2021-12-04T11:21:15.002;536588900552974544;246;857;-462
2021-12-04T11:21:15.021;536588900572747483;276;850;-464
2021-12-04T11:21:15.041;536588900592520422;250;863;-462
2021-12-04T11:21:15.061;536588900612293361;250;867;-461
2021-12-04T11:21:15.081;536588900632066300;255;858;-456
2021-12-04T11:21:15.101;536588900651839239;254;864;-450
2021-12-04T11:21:15.120;536588900671612178;253;865;-458
2021-12-04T11:21:15.140;536588900691385117;256;851;-468
2021-12-04T11:21:15.160;536588900711158056;252;860;-466
2021-12-04T11:21:15.180;536588900730930995;249;860;-465
2021-12-04T11:21:15.199;536588900750703934;252;862;-468
2021-12-04T11:21:15.219;536588900770476873;256;856;-470
2021-12-04T11:21:15.239;536588900790249812;252;863;-467
2021-12-04T11:21:15.259;536588900810022751;250;863;-462
2021-12-04T11:21:15.278;536588900829795690;249;857;-464
2021-12-04T11:21:15.298;536588900849568629;250;863;-464
2021-12-04T11:21:15.318;536588900869341568;249;858;-467
2021-12-04T11:21:15.338;536588900889114507;254;864;-466
2021-12-04T11:21:15.358;536588900908887446;249;864;-460
2021-12-04T11:21:15.377;536588900928660401;251;863;-461
2021-12-04T11:21:15.397;536588900948433340;250;861;-450
2021-12-04T11:21:15.417;536588900968206279;256;861;-456
2021-12-04T11:21:15.437;536588900987979218;244;864;-451
2021-12-04T11:21:15.456;536588901007752157;247;868;-451
2021-12-04T11:21:15.476;536588901027525096;249;861;-460
2021-12-04T11:21:15.496;536588901047298035;249;864;-460
2021-12-04T11:21:15.516;536588901067070974;247;862;-458
2021-12-04T11:21:15.536;536588901086843913;251;865;-463
2021-12-04T11:21:15.555;536588901106616852;250;867;-463
2021-12-04T11:21:15.575;536588901126389791;243;863;-461
2021-12-04T11:21:15.595;536588901146162730;245;864;-457
2021-12-04T11:21:15.615;536588901165935669;249;864;-452
2021-12-04T11:21:15.634;536588901185708608;257;864;-451
2021-12-04T11:21:15.654;536588901205481547;247;863;-448
2021-12-04T11:21:15.674;536588901225254486;249;862;-451
2021-12-04T11:21:15.694;536588901245027425;251;864;-452
2021-12-04T11:21:15.713;536588901264800364;243;865;-457
2021-12-04T11:21:15.733;536588901284573303;243;864;-457
2021-12-04T11:21:15.753;536588901304346242;245;860;-460
2021-12-04T11:21:15.773;536588901324119181;246;863;-462
2021-12-04T11:21:15.793;536588901343892120;241;865;-463
2021-12-04T11:21:15.812;536588901363665059;239;865;-461
2021-12-04T11:21:15.832;536588901383437998;242;861;-464
2021-12-04T11:21:15.852;536588901403210937;243;863;-466
2021-12-04T11:21:15.872;536588901422983876;247;861;-468
2021-12-04T11:21:15.891;536588901442756815;245;857;-468
2021-12-04T11:21:15.911;536588901462529754;249;866;-462
2021-12-04T11:21:15.931;536588901482302693;247;861;-462
2021-12-04T11:21:15.951;536588901502075632;248;859;-465
2021-12-04T11:21:15.971;536588901521848571;250;867;-455
2021-12-04T11:21:15.990;536588901541621510;252;864;-465
2021-12-04T11:21:16.010;536588901561394449;265;854;-473
2021-12-04T11:21:16.030;536588901581167388;256;842;-482
2021-12-04T11:21:16.050;536588901600940327;253;855;-471
2021-12-04T11:21:16.069;536588901620713266;253;859;-465
2021-12-04T11:21:16.089;536588901640486215;255;862;-469
2021-12-04T11:21:16.109;536588901660259154;259;854;-469
2021-12-04T11:21:16.129;536588901680032093;257;861;-460
2021-12-04T11:21:16.148;536588901699805032;250;860;-458
2021-12-04T11:21:16.168;536588901719577971;249;867;-454
2021-12-04T11:21:16.188;536588901739350910;248;858;-457
2021-12-04T11:21:16.208;536588901759123849;251;864;-452
2021-12-04T11:21:16.228;536588901778896788;254;860;-458
2021-12-04T11:21:16.247;536588901798669727;242;844;-470
2021-12-04T11:21:16.267;536588901818442666;254;847;-473
2021-12-04T11:21:16.287;536588901838215605;229;837;-475
2021-12-04T11:21:16.307;536588901857988544;284;862;-467
2021-12-04T11:21:16.326;536588901877761483;254;860;-478
2021-12-04T11:21:16.346;536588901897534422;268;842;-488
