Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T11:23:09.182;536588831763696408;-164;-993;-257
2021-12-04T11:23:09.201;536588831783374684;-140;-989;-257
2021-12-04T11:23:09.221;536588831803052960;-171;-985;-279
2021-12-04T11:23:09.241;536588831822731236;-159;-982;-303
2021-12-04T11:23:09.260;536588831842409512;-133;-989;-289
2021-12-04T11:23:09.280;536588831862087788;-152;-987;-264
2021-12-04T11:23:09.300;536588831881766064;-148;-982;-259
2021-12-04T11:23:09.319;536588831901444340;-145;-990;-246
2021-12-04T11:23:09.339;536588831921122616;-173;-989;-258
2021-12-04T11:23:09.359;536588831940800892;-123;-963;-296
2021-12-04T11:23:09.378;536588831960479168;-141;-993;-333
2021-12-04T11:23:09.398;536588831980157444;-157;-986;-281
2021-12-04T11:23:09.418;536588831999835720;-164;-986;-256
2021-12-04T11:23:09.437;536588832019513996;-163;-990;-254
2021-12-04T11:23:09.457;536588832039192272;-116;-997;-251
2021-12-04T11:23:09.477;536588832058870548;-122;-996;-254
2021-12-04T11:23:09.496;536588832078548824;-150;-992;-260
2021-12-04T11:23:09.516;536588832098227100;-184;-983;-303
2021-12-04T11:23:09.536;536588832117905376;-125;-980;-298
2021-12-04T11:23:09.555;536588832137583652;-129;-987;-281
2021-12-04T11:23:09.575;536588832157261928;-143;-983;-263
2021-12-04T11:23:09.595;536588832176940204;-143;-987;-270
2021-12-04T11:23:09.614;536588832196618480;-137;-990;-268
2021-12-04T11:23:09.634;536588832216296756;-129;-985;-265
2021-12-04T11:23:09.654;536588832235975032;-152;-988;-292
2021-12-04T11:23:09.673;536588832255653308;-142;-987;-292
2021-12-04T11:23:09.693;536588832275331584;-149;-986;-299
2021-12-04T11:23:09.713;536588832295009860;-144;-987;-279
2021-12-04T11:23:09.732;536588832314688136;-148;-986;-264
2021-12-04T11:23:09.752;536588832334366412;-140;-989;-271
2021-12-04T11:23:09.772;536588832354044688;-141;-987;-273
2021-12-04T11:23:09.792;536588832373722964;-137;-988;-286
2021-12-04T11:23:09.811;536588832393401240;-128;-988;-283
2021-12-04T11:23:09.831;536588832413079516;-131;-986;-288
2021-12-04T11:23:09.851;536588832432757792;-142;-987;-269
2021-12-04T11:23:09.870;536588832452436068;-154;-990;-275
2021-12-04T11:23:09.890;536588832472114356;-152;-982;-286
2021-12-04T11:23:09.910;536588832491792632;-134;-987;-281
2021-12-04T11:23:09.929;536588832511470908;-128;-975;-311
2021-12-04T11:23:09.949;536588832531149184;-149;-990;-294
2021-12-04T11:23:09.969;536588832550827460;-175;-988;-282
2021-12-04T11:23:09.988;536588832570505736;-160;-989;-263
2021-12-04T11:23:10.008;536588832590184012;-148;-982;-269
2021-12-04T11:23:10.028;536588832609862288;-135;-989;-280
2021-12-04T11:23:10.047;536588832629540564;-150;-981;-305
2021-12-04T11:23:10.067;536588832649218840;-157;-990;-304
2021-12-04T11:23:10.087;536588832668897116;-168;-982;-284
2021-12-04T11:23:10.106;536588832688575392;-159;-977;-273
2021-12-04T11:23:10.126;536588832708253668;-151;-987;-277
