Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:44:50.044;536845091853594259;192;-963;134
2021-11-13T11:44:50.063;536845091873342440;201;-960;153
2021-11-13T11:44:50.083;536845091893090621;180;-938;133
2021-11-13T11:44:50.103;536845091912838802;116;-934;159
2021-11-13T11:44:50.122;536845091932586983;140;-904;154
2021-11-13T11:44:50.142;536845091952335164;113;-891;133
2021-11-13T11:44:50.162;536845091972083345;141;-853;141
2021-11-13T11:44:50.182;536845091991831526;105;-886;123
2021-11-13T11:44:50.201;536845092011579707;97;-854;113
2021-11-13T11:44:50.221;536845092031327888;76;-890;109
2021-11-13T11:44:50.241;536845092051076069;68;-882;104
2021-11-13T11:44:50.261;536845092070824250;31;-962;109
2021-11-13T11:44:50.280;536845092090572431;67;-982;122
2021-11-13T11:44:50.300;536845092110320612;184;-999;156
2021-11-13T11:44:50.320;536845092130068793;221;-965;128
2021-11-13T11:44:50.340;536845092149816974;99;-1013;92
2021-11-13T11:44:50.359;536845092169565155;89;-996;143
2021-11-13T11:44:50.379;536845092189313336;49;-988;194
2021-11-13T11:44:50.399;536845092209061517;-11;-982;149
2021-11-13T11:44:50.419;536845092228809698;16;-986;66
2021-11-13T11:44:50.438;536845092248557879;34;-1003;95
2021-11-13T11:44:50.458;536845092268306060;-15;-1016;178
2021-11-13T11:44:50.478;536845092288054241;4;-1021;198
2021-11-13T11:44:50.498;536845092307802422;43;-1016;128
2021-11-13T11:44:50.517;536845092327550603;117;-1028;110
2021-11-13T11:44:50.537;536845092347298784;102;-1023;109
2021-11-13T11:44:50.557;536845092367046965;50;-1076;160
2021-11-13T11:44:50.577;536845092386795146;61;-971;161
2021-11-13T11:44:50.596;536845092406543327;104;-1022;145
2021-11-13T11:44:50.616;536845092426291508;130;-999;166
2021-11-13T11:44:50.636;536845092446039689;76;-1005;156
2021-11-13T11:44:50.656;536845092465787870;21;-965;91
2021-11-13T11:44:50.675;536845092485536051;0;-1007;111
2021-11-13T11:44:50.695;536845092505284232;-46;-978;89
2021-11-13T11:44:50.715;536845092525032413;97;-1036;90
2021-11-13T11:44:50.735;536845092544780594;-34;-1084;56
2021-11-13T11:44:50.754;536845092564528787;141;-1052;112
2021-11-13T11:44:50.774;536845092584276968;43;-1021;91
2021-11-13T11:44:50.794;536845092604025149;164;-1062;124
2021-11-13T11:44:50.814;536845092623773330;344;-952;105
2021-11-13T11:44:50.833;536845092643521511;-693;-1241;110
2021-11-13T11:44:50.853;536845092663269692;364;-1349;823
2021-11-13T11:44:50.873;536845092683017873;-183;-1145;354
