Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:46:47.255;536845311761154434;-72;977;-128
2021-11-13T11:46:47.274;536845311780839992;-98;961;-139
2021-11-13T11:46:47.294;536845311800525550;-44;974;-160
2021-11-13T11:46:47.314;536845311820211108;24;970;-204
2021-11-13T11:46:47.333;536845311839896666;36;978;-146
2021-11-13T11:46:47.353;536845311859582224;105;986;-137
2021-11-13T11:46:47.373;536845311879267782;65;981;-156
2021-11-13T11:46:47.392;536845311898953340;18;968;-180
2021-11-13T11:46:47.412;536845311918638898;11;967;-200
2021-11-13T11:46:47.432;536845311938324456;42;972;-180
2021-11-13T11:46:47.451;536845311958010014;47;977;-143
2021-11-13T11:46:47.471;536845311977695572;82;981;-130
2021-11-13T11:46:47.491;536845311997381130;88;979;-152
2021-11-13T11:46:47.510;536845312017066688;68;976;-170
2021-11-13T11:46:47.530;536845312036752246;39;967;-196
2021-11-13T11:46:47.550;536845312056437804;15;975;-193
2021-11-13T11:46:47.569;536845312076123362;43;968;-174
2021-11-13T11:46:47.589;536845312095808920;24;966;-143
2021-11-13T11:46:47.609;536845312115494478;27;975;-140
2021-11-13T11:46:47.629;536845312135180036;32;972;-153
2021-11-13T11:46:47.648;536845312154865594;5;979;-168
2021-11-13T11:46:47.668;536845312174551152;7;971;-198
2021-11-13T11:46:47.688;536845312194236710;4;960;-202
2021-11-13T11:46:47.707;536845312213922268;17;970;-162
2021-11-13T11:46:47.727;536845312233607826;47;973;-156
2021-11-13T11:46:47.747;536845312253293384;29;979;-160
2021-11-13T11:46:47.766;536845312272978942;23;978;-173
2021-11-13T11:46:47.786;536845312292664500;39;961;-163
2021-11-13T11:46:47.806;536845312312350058;-32;975;-196
2021-11-13T11:46:47.825;536845312332035616;-26;954;-158
2021-11-13T11:46:47.845;536845312351721174;66;970;-149
2021-11-13T11:46:47.865;536845312371406732;38;946;-186
2021-11-13T11:46:47.884;536845312391092290;24;939;-253
2021-11-13T11:46:47.904;536845312410777848;133;979;-234
2021-11-13T11:46:47.924;536845312430463406;201;986;-204
2021-11-13T11:46:47.943;536845312450148964;101;979;-188
2021-11-13T11:46:47.963;536845312469834526;-120;917;-215
2021-11-13T11:46:47.983;536845312489520084;-14;911;-230
2021-11-13T11:46:48.003;536845312509205642;234;948;-185
2021-11-13T11:46:48.022;536845312528891200;372;1060;-176
2021-11-13T11:46:48.042;536845312548576758;164;943;-265
2021-11-13T11:46:48.062;536845312568262316;108;979;-270
2021-11-13T11:46:48.081;536845312587947874;-2;933;-210
2021-11-13T11:46:48.101;536845312607633432;164;986;-197
2021-11-13T11:46:48.121;536845312627318990;57;945;-247
2021-11-13T11:46:48.140;536845312647004548;115;975;-248
2021-11-13T11:46:48.160;536845312666690106;-2;921;-283
2021-11-13T11:46:48.180;536845312686375664;16;939;-251
2021-11-13T11:46:48.199;536845312706061222;83;975;-211
2021-11-13T11:46:48.219;536845312725746780;91;969;-223
2021-11-13T11:46:48.239;536845312745432338;36;968;-225
2021-11-13T11:46:48.258;536845312765117896;-21;948;-216
2021-11-13T11:46:48.278;536845312784803454;-92;948;-215
2021-11-13T11:46:48.298;536845312804489012;-30;975;-179
2021-11-13T11:46:48.318;536845312824174570;-54;944;-227
