Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T10:47:41.251;536586703749366799;117;874;442
2021-12-04T10:47:41.270;536586703769059638;99;875;443
2021-12-04T10:47:41.290;536586703788752477;119;872;435
2021-12-04T10:47:41.310;536586703808445316;111;880;439
2021-12-04T10:47:41.329;536586703828138155;108;876;440
2021-12-04T10:47:41.349;536586703847830994;111;869;448
2021-12-04T10:47:41.369;536586703867523833;114;874;444
2021-12-04T10:47:41.388;536586703887216672;110;873;445
2021-12-04T10:47:41.408;536586703906909511;112;869;445
2021-12-04T10:47:41.428;536586703926602350;115;867;442
2021-12-04T10:47:41.447;536586703946295189;110;868;443
2021-12-04T10:47:41.467;536586703965988028;112;863;449
2021-12-04T10:47:41.487;536586703985680867;112;859;445
2021-12-04T10:47:41.507;536586704005373706;107;869;447
2021-12-04T10:47:41.526;536586704025066545;113;864;445
2021-12-04T10:47:41.546;536586704044759384;112;864;449
2021-12-04T10:47:41.566;536586704064452223;114;873;447
2021-12-04T10:47:41.585;536586704084145062;112;876;448
2021-12-04T10:47:41.605;536586704103837901;99;884;454
2021-12-04T10:47:41.625;536586704123530740;101;880;458
2021-12-04T10:47:41.644;536586704143223579;104;871;461
2021-12-04T10:47:41.664;536586704162916418;108;870;455
2021-12-04T10:47:41.684;536586704182609257;110;874;446
2021-12-04T10:47:41.703;536586704202302096;107;871;440
2021-12-04T10:47:41.723;536586704221994935;112;863;436
2021-12-04T10:47:41.743;536586704241687774;111;849;447
2021-12-04T10:47:41.763;536586704261380613;105;855;450
2021-12-04T10:47:41.782;536586704281073452;107;852;452
2021-12-04T10:47:41.802;536586704300766291;110;853;453
2021-12-04T10:47:41.822;536586704320459130;100;854;462
2021-12-04T10:47:41.841;536586704340151969;102;866;453
2021-12-04T10:47:41.861;536586704359844808;115;872;452
2021-12-04T10:47:41.881;536586704379537647;110;874;456
2021-12-04T10:47:41.900;536586704399230486;90;864;467
2021-12-04T10:47:41.920;536586704418923325;107;863;468
2021-12-04T10:47:41.940;536586704438616164;104;865;467
2021-12-04T10:47:41.959;536586704458309035;102;867;464
2021-12-04T10:47:41.979;536586704478001874;107;873;456
2021-12-04T10:47:41.999;536586704497694713;109;873;449
2021-12-04T10:47:42.019;536586704517387552;104;867;458
2021-12-04T10:47:42.038;536586704537080391;112;854;465
2021-12-04T10:47:42.058;536586704556773230;104;858;461
2021-12-04T10:47:42.078;536586704576466069;114;861;458
2021-12-04T10:47:42.097;536586704596158908;109;860;457
2021-12-04T10:47:42.117;536586704615851747;112;852;460
2021-12-04T10:47:42.137;536586704635544586;114;855;458
2021-12-04T10:47:42.156;536586704655237425;117;859;451
2021-12-04T10:47:42.176;536586704674930264;114;864;446
2021-12-04T10:47:42.196;536586704694623103;104;865;450
2021-12-04T10:47:42.215;536586704714315942;112;858;456
2021-12-04T10:47:42.235;536586704734008781;112;865;456
2021-12-04T10:47:42.255;536586704753701620;94;856;455
2021-12-04T10:47:42.275;536586704773394459;106;867;455
2021-12-04T10:47:42.294;536586704793087298;111;864;446
2021-12-04T10:47:42.314;536586704812780137;109;872;448
2021-12-04T10:47:42.334;536586704832472976;110;861;446
2021-12-04T10:47:42.353;536586704852165815;98;866;444
2021-12-04T10:47:42.373;536586704871858654;110;867;439
2021-12-04T10:47:42.393;536586704891551493;113;877;446
2021-12-04T10:47:42.412;536586704911244332;99;876;448
2021-12-04T10:47:42.432;536586704930937171;101;875;457
2021-12-04T10:47:42.452;536586704950630010;116;874;450
2021-12-04T10:47:42.471;536586704970322849;111;881;446
2021-12-04T10:47:42.491;536586704990015688;115;885;445
2021-12-04T10:47:42.511;536586705009708527;111;881;453
2021-12-04T10:47:42.531;536586705029401366;108;876;458
2021-12-04T10:47:42.550;536586705049094205;118;870;449
2021-12-04T10:47:42.570;536586705068787044;116;873;448
2021-12-04T10:47:42.590;536586705088479883;116;870;448
2021-12-04T10:47:42.609;536586705108172722;116;860;447
2021-12-04T10:47:42.629;536586705127865561;114;863;443
2021-12-04T10:47:42.649;536586705147558400;111;843;435
2021-12-04T10:47:42.668;536586705167251267;117;848;429
2021-12-04T10:47:42.688;536586705186944106;120;867;425
2021-12-04T10:47:42.708;536586705206636945;98;871;430
2021-12-04T10:47:42.727;536586705226329784;106;857;438
2021-12-04T10:47:42.747;536586705246022623;105;861;441
2021-12-04T10:47:42.767;536586705265715462;105;873;445
2021-12-04T10:47:42.787;536586705285408301;118;880;442
2021-12-04T10:47:42.806;536586705305101140;115;880;444
2021-12-04T10:47:42.826;536586705324793979;97;880;444
2021-12-04T10:47:42.846;536586705344486818;105;881;451
2021-12-04T10:47:42.865;536586705364179657;113;883;445
2021-12-04T10:47:42.885;536586705383872496;96;884;447
2021-12-04T10:47:42.905;536586705403565335;99;897;442
2021-12-04T10:47:42.924;536586705423258174;107;886;444
2021-12-04T10:47:42.944;536586705442951013;77;947;460
2021-12-04T10:47:42.964;536586705462643852;23;977;506
2021-12-04T10:47:42.983;536586705482336691;28;902;523
2021-12-04T10:47:43.003;536586705502029530;-65;1018;557
2021-12-04T10:47:43.023;536586705521722369;140;1073;498
2021-12-04T10:47:43.043;536586705541415208;76;1100;475
2021-12-04T10:47:43.062;536586705561108047;-147;1244;479
2021-12-04T10:47:43.082;536586705580800886;89;1274;511
2021-12-04T10:47:43.102;536586705600493725;52;1166;495
2021-12-04T10:47:43.121;536586705620186564;-65;1145;517
2021-12-04T10:47:43.141;536586705639879403;-61;1232;508
2021-12-04T10:47:43.161;536586705659572242;116;1179;531
2021-12-04T10:47:43.180;536586705679265081;-151;1040;567
2021-12-04T10:47:43.200;536586705698957920;-143;1178;478
2021-12-04T10:47:43.220;536586705718650759;-32;1189;485
2021-12-04T10:47:43.239;536586705738343598;-115;1094;471
2021-12-04T10:47:43.259;536586705758036437;-219;1067;464
2021-12-04T10:47:43.279;536586705777729276;-60;1136;448
2021-12-04T10:47:43.299;536586705797422115;-97;1005;457
2021-12-04T10:47:43.318;536586705817114954;-263;1072;457
2021-12-04T10:47:43.338;536586705836807793;-193;1010;455
2021-12-04T10:47:43.358;536586705856500632;-213;998;416
2021-12-04T10:47:43.377;536586705876179652;-126;1053;398
2021-12-04T10:47:43.397;536586705895858656;-199;1019;451
2021-12-04T10:47:43.417;536586705915537660;-152;899;403
2021-12-04T10:47:43.436;536586705935216664;-54;887;369
2021-12-04T10:47:43.456;536586705954895668;-208;906;286
2021-12-04T10:47:43.476;536586705974574672;-155;879;260
2021-12-04T10:47:43.495;536586705994253676;3;739;318
2021-12-04T10:47:43.515;536586706013932680;-234;821;226
2021-12-04T10:47:43.535;536586706033611684;-3;895;194
2021-12-04T10:47:43.554;536586706053290688;-16;919;156
2021-12-04T10:47:43.574;536586706072969692;-89;826;210
2021-12-04T10:47:43.594;536586706092648696;-96;653;219
2021-12-04T10:47:43.613;536586706112327700;-59;546;267
2021-12-04T10:47:43.633;536586706132006704;49;582;238
2021-12-04T10:47:43.653;536586706151685708;-16;904;92
2021-12-04T10:47:43.672;536586706171364712;66;861;101
2021-12-04T10:47:43.692;536586706191043716;118;326;201
2021-12-04T10:47:43.712;536586706210722720;-302;232;166
2021-12-04T10:47:43.732;536586706230401724;-15;581;223
2021-12-04T10:47:43.751;536586706250080728;-70;719;-36
2021-12-04T10:47:43.771;536586706269759732;-245;669;8
2021-12-04T10:47:43.791;536586706289438736;-100;570;68
2021-12-04T10:47:43.810;536586706309117740;-298;465;95
2021-12-04T10:47:43.830;536586706328796744;-207;522;188
2021-12-04T10:47:43.850;536586706348475748;-112;732;265
2021-12-04T10:47:43.869;536586706368154752;55;733;234
2021-12-04T10:47:43.889;536586706387833756;25;691;185
2021-12-04T10:47:43.909;536586706407512760;-64;715;186
2021-12-04T10:47:43.928;536586706427191764;239;1045;233
2021-12-04T10:47:43.948;536586706446870768;82;908;220
2021-12-04T10:47:43.968;536586706466549772;5;697;241
2021-12-04T10:47:43.987;536586706486228776;-101;770;247
2021-12-04T10:47:44.007;536586706505907780;99;1065;196
2021-12-04T10:47:44.027;536586706525586784;93;894;234
2021-12-04T10:47:44.046;536586706545265788;-129;593;333
2021-12-04T10:47:44.066;536586706564944792;14;844;162
2021-12-04T10:47:44.086;536586706584628181;193;1081;217
2021-12-04T10:47:44.105;536586706604311554;-121;719;342
2021-12-04T10:47:44.125;536586706623994927;-118;649;255
2021-12-04T10:47:44.145;536586706643678300;-124;1131;196
2021-12-04T10:47:44.164;536586706663361673;144;886;281
2021-12-04T10:47:44.184;536586706683045046;-219;566;308
2021-12-04T10:47:44.204;536586706702728419;-308;1125;188
2021-12-04T10:47:44.224;536586706722411792;228;807;313
2021-12-04T10:47:44.243;536586706742095165;-275;702;244
2021-12-04T10:47:44.263;536586706761778538;-320;1128;100
2021-12-04T10:47:44.283;536586706781461911;-17;1021;237
2021-12-04T10:47:44.302;536586706801145284;-94;733;287
2021-12-04T10:47:44.322;536586706820828657;-340;884;223
2021-12-04T10:47:44.342;536586706840512030;-201;983;216
2021-12-04T10:47:44.361;536586706860195403;-93;889;199
2021-12-04T10:47:44.381;536586706879878776;-228;959;202
2021-12-04T10:47:44.401;536586706899562149;-286;960;237
2021-12-04T10:47:44.420;536586706919245522;-157;829;259
2021-12-04T10:47:44.440;536586706938928895;-250;896;234
2021-12-04T10:47:44.460;536586706958612268;-274;1047;127
2021-12-04T10:47:44.479;536586706978295641;-256;990;233
2021-12-04T10:47:44.499;536586706997979014;-216;867;307
2021-12-04T10:47:44.519;536586707017662387;-328;828;229
2021-12-04T10:47:44.538;536586707037345760;-211;1014;231
2021-12-04T10:47:44.558;536586707057029133;-186;920;254
2021-12-04T10:47:44.578;536586707076712506;-193;875;284
2021-12-04T10:47:44.598;536586707096395879;-313;956;226
2021-12-04T10:47:44.617;536586707116079252;-190;939;233
2021-12-04T10:47:44.637;536586707135762625;-240;1022;230
2021-12-04T10:47:44.657;536586707155445998;-289;1006;249
2021-12-04T10:47:44.676;536586707175129371;-182;827;348
2021-12-04T10:47:44.696;536586707194812744;-171;859;344
2021-12-04T10:47:44.716;536586707214496117;-276;1033;210
2021-12-04T10:47:44.735;536586707234179490;-219;1069;282
2021-12-04T10:47:44.755;536586707253862863;-134;996;344
2021-12-04T10:47:44.775;536586707273546236;-102;1012;330
