Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T11:03:16.968;536587822512427329;-377;931;87
2021-12-04T11:03:16.987;536587822532185704;-375;927;86
2021-12-04T11:03:17.007;536587822551944079;-375;931;84
2021-12-04T11:03:17.027;536587822571702454;-374;931;90
2021-12-04T11:03:17.047;536587822591460829;-373;930;90
2021-12-04T11:03:17.066;536587822611219204;-377;927;88
2021-12-04T11:03:17.086;536587822630977579;-378;932;88
2021-12-04T11:03:17.106;536587822650735954;-379;931;83
2021-12-04T11:03:17.126;536587822670494329;-380;929;81
2021-12-04T11:03:17.145;536587822690252704;-378;927;89
2021-12-04T11:03:17.165;536587822710011079;-378;930;90
2021-12-04T11:03:17.185;536587822729769454;-381;931;88
2021-12-04T11:03:17.205;536587822749527829;-378;930;86
2021-12-04T11:03:17.224;536587822769286204;-377;927;86
2021-12-04T11:03:17.244;536587822789044579;-375;929;89
2021-12-04T11:03:17.264;536587822808802954;-375;931;89
2021-12-04T11:03:17.284;536587822828561329;-376;930;88
2021-12-04T11:03:17.303;536587822848319704;-375;929;86
2021-12-04T11:03:17.323;536587822868078079;-373;929;90
2021-12-04T11:03:17.343;536587822887836454;-372;931;91
2021-12-04T11:03:17.363;536587822907594829;-372;930;91
2021-12-04T11:03:17.382;536587822927353204;-371;931;91
2021-12-04T11:03:17.402;536587822947111579;-371;933;90
2021-12-04T11:03:17.422;536587822966869954;-376;930;88
2021-12-04T11:03:17.442;536587822986628329;-372;930;86
2021-12-04T11:03:17.461;536587823006386704;-369;931;92
2021-12-04T11:03:17.481;536587823026145079;-371;932;90
2021-12-04T11:03:17.501;536587823045903454;-370;931;91
2021-12-04T11:03:17.521;536587823065661829;-370;931;89
2021-12-04T11:03:17.540;536587823085420204;-370;930;91
2021-12-04T11:03:17.560;536587823105178579;-372;931;91
2021-12-04T11:03:17.580;536587823124936954;-373;932;88
2021-12-04T11:03:17.600;536587823144695329;-375;930;86
2021-12-04T11:03:17.620;536587823164453704;-373;929;83
2021-12-04T11:03:17.639;536587823184212079;-374;930;86
2021-12-04T11:03:17.659;536587823203970454;-373;931;85
2021-12-04T11:03:17.679;536587823223728861;-374;931;84
2021-12-04T11:03:17.699;536587823243487236;-375;933;82
2021-12-04T11:03:17.718;536587823263245611;-368;934;84
2021-12-04T11:03:17.738;536587823283003986;-365;931;83
2021-12-04T11:03:17.758;536587823302762361;-369;931;83
2021-12-04T11:03:17.778;536587823322520736;-374;932;84
2021-12-04T11:03:17.797;536587823342279111;-375;929;83
2021-12-04T11:03:17.817;536587823362037486;-374;933;83
2021-12-04T11:03:17.837;536587823381795861;-367;932;80
2021-12-04T11:03:17.857;536587823401554236;-365;932;80
2021-12-04T11:03:17.876;536587823421312611;-369;932;85
2021-12-04T11:03:17.896;536587823441070986;-374;933;84
2021-12-04T11:03:17.916;536587823460829361;-371;933;83
2021-12-04T11:03:17.936;536587823480587736;-369;933;83
2021-12-04T11:03:17.955;536587823500346111;-365;934;84
2021-12-04T11:03:17.975;536587823520104486;-363;933;83
2021-12-04T11:03:17.995;536587823539862861;-363;933;85
2021-12-04T11:03:18.015;536587823559621236;-364;933;83
2021-12-04T11:03:18.034;536587823579379611;-360;933;85
2021-12-04T11:03:18.054;536587823599137986;-361;932;82
2021-12-04T11:03:18.074;536587823618896361;-359;932;85
2021-12-04T11:03:18.094;536587823638654736;-359;932;83
2021-12-04T11:03:18.113;536587823658413111;-357;933;83
2021-12-04T11:03:18.133;536587823678171486;-362;934;81
2021-12-04T11:03:18.153;536587823697929861;-364;935;79
2021-12-04T11:03:18.173;536587823717688236;-362;937;80
2021-12-04T11:03:18.193;536587823737446611;-358;935;80
2021-12-04T11:03:18.212;536587823757204986;-358;935;81
2021-12-04T11:03:18.232;536587823776963361;-352;937;84
2021-12-04T11:03:18.252;536587823796721736;-351;936;85
2021-12-04T11:03:18.272;536587823816480111;-352;936;84
2021-12-04T11:03:18.291;536587823836238486;-351;935;85
2021-12-04T11:03:18.311;536587823855996861;-352;935;85
2021-12-04T11:03:18.331;536587823875755236;-355;936;84
2021-12-04T11:03:18.351;536587823895513611;-355;935;82
2021-12-04T11:03:18.370;536587823915271986;-355;935;82
2021-12-04T11:03:18.390;536587823935043471;-356;935;83
2021-12-04T11:03:18.410;536587823954814954;-353;935;85
2021-12-04T11:03:18.430;536587823974586437;-350;934;87
