Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:16:39.933;536843401717441345;-180;1180;-80
2021-11-13T11:16:39.952;536843401737199720;-191;1106;-105
2021-11-13T11:16:39.972;536843401756958095;-82;1131;-172
2021-11-13T11:16:39.992;536843401776716470;-56;1049;-205
2021-11-13T11:16:40.012;536843401796474845;-18;1041;-160
2021-11-13T11:16:40.031;536843401816233220;-94;1023;-151
2021-11-13T11:16:40.051;536843401835991595;-115;1045;-104
2021-11-13T11:16:40.071;536843401855749970;-182;1052;-93
2021-11-13T11:16:40.091;536843401875508345;-218;979;-32
2021-11-13T11:16:40.110;536843401895266720;-219;985;-38
2021-11-13T11:16:40.130;536843401915025095;-254;987;-28
2021-11-13T11:16:40.150;536843401934783470;-213;935;75
2021-11-13T11:16:40.170;536843401954541845;-231;915;35
2021-11-13T11:16:40.189;536843401974300220;-157;924;3
2021-11-13T11:16:40.209;536843401994058595;-183;860;-129
2021-11-13T11:16:40.229;536843402013816970;63;899;-182
2021-11-13T11:16:40.249;536843402033575345;-33;821;-209
2021-11-13T11:16:40.268;536843402053333720;-135;739;-201
2021-11-13T11:16:40.288;536843402073092095;-166;766;-192
2021-11-13T11:16:40.308;536843402092850470;-125;792;-86
2021-11-13T11:16:40.328;536843402112608845;-123;809;-48
2021-11-13T11:16:40.347;536843402132367220;-182;735;-50
2021-11-13T11:16:40.367;536843402152125595;-225;761;-104
2021-11-13T11:16:40.387;536843402171883970;-241;772;-165
2021-11-13T11:16:40.407;536843402191642345;-193;848;-213
2021-11-13T11:16:40.426;536843402211400720;-28;848;-173
2021-11-13T11:16:40.446;536843402231159095;-120;833;-155
2021-11-13T11:16:40.466;536843402250917470;-165;791;-163
2021-11-13T11:16:40.486;536843402270675845;-326;862;-191
2021-11-13T11:16:40.505;536843402290434220;-384;851;-143
2021-11-13T11:16:40.525;536843402310192595;-202;887;-72
2021-11-13T11:16:40.545;536843402329950970;-293;806;-77
2021-11-13T11:16:40.565;536843402349709345;-135;826;-161
2021-11-13T11:16:40.585;536843402369467720;-96;893;-94
2021-11-13T11:16:40.604;536843402389226095;-213;847;-227
2021-11-13T11:16:40.624;536843402408984470;-250;867;-196
2021-11-13T11:16:40.644;536843402428742877;-333;892;-78
2021-11-13T11:16:40.664;536843402448501252;-238;916;-117
2021-11-13T11:16:40.683;536843402468259627;-191;918;-106
2021-11-13T11:16:40.703;536843402488018002;-128;964;-148
2021-11-13T11:16:40.723;536843402507776377;-120;986;-68
2021-11-13T11:16:40.743;536843402527534752;-169;933;-89
2021-11-13T11:16:40.762;536843402547293127;-283;985;-195
2021-11-13T11:16:40.782;536843402567051502;-217;990;-54
2021-11-13T11:16:40.802;536843402586809877;-206;979;-92
2021-11-13T11:16:40.822;536843402606568252;-134;979;-121
2021-11-13T11:16:40.841;536843402626326627;-220;952;-69
2021-11-13T11:16:40.861;536843402646085002;-184;939;-96
2021-11-13T11:16:40.881;536843402665843377;-205;948;-141
2021-11-13T11:16:40.901;536843402685601752;-130;952;-94
2021-11-13T11:16:40.920;536843402705360127;-181;945;-42
2021-11-13T11:16:40.940;536843402725118502;-226;947;-65
2021-11-13T11:16:40.960;536843402744876877;-246;958;-116
2021-11-13T11:16:40.980;536843402764635252;-185;976;-125
2021-11-13T11:16:40.999;536843402784393627;-166;964;-108
2021-11-13T11:16:41.019;536843402804152002;-180;964;-85
2021-11-13T11:16:41.039;536843402823910377;-258;949;-63
2021-11-13T11:16:41.059;536843402843668752;-272;944;-120
2021-11-13T11:16:41.078;536843402863427127;-240;972;-122
2021-11-13T11:16:41.098;536843402883185502;-165;941;-44
2021-11-13T11:16:41.118;536843402902943877;-211;935;-85
2021-11-13T11:16:41.138;536843402922702252;-236;940;-133
2021-11-13T11:16:41.158;536843402942460627;-256;933;-175
2021-11-13T11:16:41.177;536843402962219002;-256;923;-170
2021-11-13T11:16:41.197;536843402981977377;-227;921;-91
2021-11-13T11:16:41.217;536843403001735752;-266;882;-117
2021-11-13T11:16:41.237;536843403021494127;-263;892;-163
2021-11-13T11:16:41.256;536843403041252502;-236;895;-139
2021-11-13T11:16:41.276;536843403061010877;-237;857;-129
2021-11-13T11:16:41.296;536843403080769252;-239;857;-184
2021-11-13T11:16:41.316;536843403100527627;-223;820;-182
2021-11-13T11:16:41.335;536843403120286002;-218;846;-176
2021-11-13T11:16:41.355;536843403140048040;-242;835;-167
2021-11-13T11:16:41.375;536843403159810056;-193;758;-110
2021-11-13T11:16:41.395;536843403179572072;-282;791;-190
2021-11-13T11:16:41.414;536843403199334088;-237;751;-209
2021-11-13T11:16:41.434;536843403219096104;-103;817;-98
2021-11-13T11:16:41.454;536843403238858120;-101;820;-48
2021-11-13T11:16:41.474;536843403258620136;-192;795;-117
2021-11-13T11:16:41.493;536843403278382152;-235;824;-143
2021-11-13T11:16:41.513;536843403298144168;-233;874;-131
2021-11-13T11:16:41.533;536843403317906184;-156;912;-72
2021-11-13T11:16:41.553;536843403337668200;-137;890;-74
2021-11-13T11:16:41.572;536843403357430216;-207;914;-172
2021-11-13T11:16:41.592;536843403377192232;-161;931;-214
2021-11-13T11:16:41.612;536843403396954248;-135;940;-129
2021-11-13T11:16:41.632;536843403416716264;-202;942;-88
2021-11-13T11:16:41.652;536843403436478280;-163;937;-51
2021-11-13T11:16:41.671;536843403456240296;-223;965;-181
2021-11-13T11:16:41.691;536843403476002312;-100;986;-136
2021-11-13T11:16:41.711;536843403495764328;-188;998;-131
2021-11-13T11:16:41.731;536843403515526344;-146;992;-63
2021-11-13T11:16:41.750;536843403535288360;-234;1041;-81
2021-11-13T11:16:41.770;536843403555050376;-153;1115;-72
2021-11-13T11:16:41.790;536843403574812392;-197;1106;-96
2021-11-13T11:16:41.810;536843403594574408;-183;1089;-143
2021-11-13T11:16:41.829;536843403614336424;-150;1088;-94
2021-11-13T11:16:41.849;536843403634098440;-151;1102;-115
2021-11-13T11:16:41.869;536843403653860456;-191;1074;-152
2021-11-13T11:16:41.889;536843403673622472;-203;1140;-144
2021-11-13T11:16:41.908;536843403693384488;-209;1047;-129
2021-11-13T11:16:41.928;536843403713146504;-166;1071;-105
2021-11-13T11:16:41.948;536843403732908520;-163;1102;-130
2021-11-13T11:16:41.968;536843403752670536;-198;1082;-104
2021-11-13T11:16:41.987;536843403772432552;-181;1087;-126
2021-11-13T11:16:42.007;536843403792194568;-215;1098;-193
2021-11-13T11:16:42.027;536843403811956584;-153;1071;-178
2021-11-13T11:16:42.047;536843403831718600;-120;1101;-192
2021-11-13T11:16:42.067;536843403851475539;-106;1090;-160
