Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:18:26.792;536843611260124128;286;805;-502
2021-11-13T11:18:26.811;536843611279827890;291;794;-501
2021-11-13T11:18:26.831;536843611299531652;282;791;-495
2021-11-13T11:18:26.851;536843611319235414;280;786;-496
2021-11-13T11:18:26.870;536843611338939176;272;795;-495
2021-11-13T11:18:26.890;536843611358642938;269;800;-500
2021-11-13T11:18:26.910;536843611378346700;276;803;-503
2021-11-13T11:18:26.929;536843611398050462;271;813;-499
2021-11-13T11:18:26.949;536843611417754224;298;802;-496
2021-11-13T11:18:26.969;536843611437457986;307;788;-497
2021-11-13T11:18:26.989;536843611457161748;295;798;-496
2021-11-13T11:18:27.008;536843611476865510;275;804;-493
2021-11-13T11:18:27.028;536843611496569272;285;792;-498
2021-11-13T11:18:27.048;536843611516273034;291;800;-509
2021-11-13T11:18:27.067;536843611535976796;284;803;-512
2021-11-13T11:18:27.087;536843611555680558;293;798;-509
2021-11-13T11:18:27.107;536843611575384320;289;799;-508
2021-11-13T11:18:27.126;536843611595088082;286;797;-511
2021-11-13T11:18:27.146;536843611614791844;281;792;-512
2021-11-13T11:18:27.166;536843611634495606;279;799;-514
2021-11-13T11:18:27.186;536843611654199368;279;803;-511
2021-11-13T11:18:27.205;536843611673903130;288;798;-507
2021-11-13T11:18:27.225;536843611693606892;287;794;-507
2021-11-13T11:18:27.245;536843611713310654;290;796;-505
2021-11-13T11:18:27.264;536843611733014416;287;799;-498
2021-11-13T11:18:27.284;536843611752718178;291;797;-496
2021-11-13T11:18:27.304;536843611772421940;288;802;-499
2021-11-13T11:18:27.324;536843611792125702;281;809;-500
2021-11-13T11:18:27.343;536843611811829464;286;803;-497
2021-11-13T11:18:27.363;536843611831533226;295;794;-499
2021-11-13T11:18:27.383;536843611851236988;295;790;-500
2021-11-13T11:18:27.402;536843611870940750;299;797;-503
2021-11-13T11:18:27.422;536843611890644512;282;805;-508
2021-11-13T11:18:27.442;536843611910348274;281;798;-509
2021-11-13T11:18:27.461;536843611930052036;278;793;-510
2021-11-13T11:18:27.481;536843611949755798;275;785;-514
2021-11-13T11:18:27.501;536843611969459580;281;783;-516
2021-11-13T11:18:27.521;536843611989163342;279;799;-522
2021-11-13T11:18:27.540;536843612008867104;268;805;-519
2021-11-13T11:18:27.560;536843612028570866;275;798;-518
2021-11-13T11:18:27.580;536843612048274628;282;796;-516
2021-11-13T11:18:27.599;536843612067978390;290;789;-509
2021-11-13T11:18:27.619;536843612087682152;296;782;-506
2021-11-13T11:18:27.639;536843612107385914;297;790;-504
2021-11-13T11:18:27.658;536843612127089676;296;791;-506
2021-11-13T11:18:27.678;536843612146793438;293;800;-504
2021-11-13T11:18:27.698;536843612166497200;279;816;-510
2021-11-13T11:18:27.718;536843612186200962;283;806;-507
2021-11-13T11:18:27.737;536843612205904724;298;787;-499
2021-11-13T11:18:27.757;536843612225608486;298;778;-498
2021-11-13T11:18:27.777;536843612245312248;294;787;-496
2021-11-13T11:18:27.796;536843612265016010;279;799;-499
2021-11-13T11:18:27.816;536843612284719772;275;809;-500
2021-11-13T11:18:27.836;536843612304423534;271;812;-506
2021-11-13T11:18:27.856;536843612324127296;281;801;-505
2021-11-13T11:18:27.875;536843612343831058;292;785;-506
2021-11-13T11:18:27.895;536843612363534820;300;792;-512
2021-11-13T11:18:27.915;536843612383238582;295;795;-511
2021-11-13T11:18:27.934;536843612402942344;295;791;-508
2021-11-13T11:18:27.954;536843612422646106;294;795;-508
2021-11-13T11:18:27.974;536843612442349868;293;797;-507
2021-11-13T11:18:27.993;536843612462053630;300;794;-505
2021-11-13T11:18:28.013;536843612481757392;298;791;-503
2021-11-13T11:18:28.033;536843612501461154;292;787;-499
2021-11-13T11:18:28.053;536843612521164916;298;790;-501
2021-11-13T11:18:28.072;536843612540868678;294;798;-499
2021-11-13T11:18:28.092;536843612560572440;286;805;-500
2021-11-13T11:18:28.112;536843612580276202;292;800;-502
2021-11-13T11:18:28.131;536843612599979964;290;793;-501
2021-11-13T11:18:28.151;536843612619683726;280;793;-502
2021-11-13T11:18:28.171;536843612639387488;282;794;-506
2021-11-13T11:18:28.190;536843612659091250;294;794;-506
2021-11-13T11:18:28.210;536843612678791389;303;793;-504
2021-11-13T11:18:28.230;536843612698491510;296;802;-505
2021-11-13T11:18:28.250;536843612718191631;297;801;-505
2021-11-13T11:18:28.269;536843612737891752;296;787;-507
2021-11-13T11:18:28.289;536843612757591873;304;784;-508
2021-11-13T11:18:28.309;536843612777291994;296;791;-505
2021-11-13T11:18:28.328;536843612796992115;292;796;-510
2021-11-13T11:18:28.348;536843612816692236;295;791;-518
2021-11-13T11:18:28.368;536843612836392357;287;793;-521
2021-11-13T11:18:28.387;536843612856092478;290;800;-515
2021-11-13T11:18:28.407;536843612875792599;292;798;-511
2021-11-13T11:18:28.427;536843612895492720;294;790;-509
2021-11-13T11:18:28.447;536843612915192841;296;791;-503
2021-11-13T11:18:28.466;536843612934892962;292;797;-502
2021-11-13T11:18:28.486;536843612954593083;292;795;-501
2021-11-13T11:18:28.506;536843612974293204;298;792;-503
2021-11-13T11:18:28.525;536843612993993325;299;795;-503
2021-11-13T11:18:28.545;536843613013693446;296;796;-501
2021-11-13T11:18:28.565;536843613033393567;291;796;-499
2021-11-13T11:18:28.584;536843613053093688;295;796;-500
2021-11-13T11:18:28.604;536843613072793809;294;798;-500
2021-11-13T11:18:28.624;536843613092493930;297;799;-501
2021-11-13T11:18:28.644;536843613112194051;293;792;-502
2021-11-13T11:18:28.663;536843613131894172;297;796;-500
2021-11-13T11:18:28.683;536843613151594293;293;798;-501
2021-11-13T11:18:28.703;536843613171294414;289;795;-505
2021-11-13T11:18:28.722;536843613190994535;291;797;-502
2021-11-13T11:18:28.742;536843613210694656;286;795;-503
2021-11-13T11:18:28.762;536843613230394777;290;793;-503
2021-11-13T11:18:28.781;536843613250094898;291;791;-505
