Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T11:34:42.025;536589524620602336;75;973;164
2021-12-04T11:34:42.044;536589524640266048;70;958;137
2021-12-04T11:34:42.064;536589524659929760;83;981;157
2021-12-04T11:34:42.083;536589524679593472;82;969;125
2021-12-04T11:34:42.103;536589524699257184;70;965;108
2021-12-04T11:34:42.123;536589524718920896;93;966;97
2021-12-04T11:34:42.142;536589524738584608;85;978;163
2021-12-04T11:34:42.162;536589524758248320;97;977;136
2021-12-04T11:34:42.182;536589524777912032;83;967;116
2021-12-04T11:34:42.201;536589524797575744;110;974;134
2021-12-04T11:34:42.221;536589524817239456;108;977;130
2021-12-04T11:34:42.241;536589524836903168;94;963;110
2021-12-04T11:34:42.260;536589524856566880;104;980;132
2021-12-04T11:34:42.280;536589524876230592;90;981;156
2021-12-04T11:34:42.300;536589524895894304;84;977;128
2021-12-04T11:34:42.319;536589524915558016;97;977;129
2021-12-04T11:34:42.339;536589524935221728;105;980;133
2021-12-04T11:34:42.359;536589524954885440;96;978;104
2021-12-04T11:34:42.378;536589524974549152;99;965;103
2021-12-04T11:34:42.398;536589524994212864;104;981;144
2021-12-04T11:34:42.418;536589525013876576;89;981;158
2021-12-04T11:34:42.437;536589525033540288;86;970;106
2021-12-04T11:34:42.457;536589525053204000;92;965;118
2021-12-04T11:34:42.477;536589525072867712;100;977;142
2021-12-04T11:34:42.496;536589525092531424;88;975;121
2021-12-04T11:34:42.516;536589525112195136;90;966;116
2021-12-04T11:34:42.536;536589525131858848;109;982;158
2021-12-04T11:34:42.555;536589525151522560;88;977;145
2021-12-04T11:34:42.575;536589525171186272;61;968;125
2021-12-04T11:34:42.595;536589525190849984;83;973;131
2021-12-04T11:34:42.614;536589525210513696;93;975;139
2021-12-04T11:34:42.634;536589525230177408;71;973;180
2021-12-04T11:34:42.654;536589525249841120;84;979;157
2021-12-04T11:34:42.673;536589525269504832;79;968;120
2021-12-04T11:34:42.693;536589525289168544;94;966;148
2021-12-04T11:34:42.713;536589525308832256;77;974;176
2021-12-04T11:34:42.732;536589525328495992;68;969;144
2021-12-04T11:34:42.752;536589525348159704;71;960;135
2021-12-04T11:34:42.772;536589525367823416;90;968;141
2021-12-04T11:34:42.791;536589525387487128;88;968;171
2021-12-04T11:34:42.811;536589525407150840;69;966;163
2021-12-04T11:34:42.831;536589525426814552;75;963;145
2021-12-04T11:34:42.850;536589525446478264;94;968;128
2021-12-04T11:34:42.870;536589525466141976;73;971;169
2021-12-04T11:34:42.890;536589525485805688;74;970;187
2021-12-04T11:34:42.909;536589525505469400;64;965;164
2021-12-04T11:34:42.929;536589525525133112;80;961;158
2021-12-04T11:34:42.949;536589525544796824;81;967;175
2021-12-04T11:34:42.968;536589525564460536;60;967;192
2021-12-04T11:34:42.988;536589525584124248;69;972;189
2021-12-04T11:34:43.008;536589525603787960;61;957;138
2021-12-04T11:34:43.027;536589525623451672;93;965;156
2021-12-04T11:34:43.047;536589525643115384;83;979;168
2021-12-04T11:34:43.067;536589525662779096;54;950;154
2021-12-04T11:34:43.086;536589525682442808;58;961;187
2021-12-04T11:34:43.106;536589525702106520;70;968;221
2021-12-04T11:34:43.126;536589525721770232;62;964;210
2021-12-04T11:34:43.145;536589525741433944;70;963;187
2021-12-04T11:34:43.165;536589525761097656;73;964;190
2021-12-04T11:34:43.185;536589525780761368;63;953;196
2021-12-04T11:34:43.204;536589525800425080;58;970;226
2021-12-04T11:34:43.224;536589525820088792;57;960;201
2021-12-04T11:34:43.244;536589525839752504;62;953;171
2021-12-04T11:34:43.263;536589525859416216;89;968;194
2021-12-04T11:34:43.283;536589525879079928;58;962;186
2021-12-04T11:34:43.303;536589525898743640;44;952;171
2021-12-04T11:34:43.322;536589525918407352;57;963;179
2021-12-04T11:34:43.342;536589525938071064;70;961;175
2021-12-04T11:34:43.362;536589525957734776;62;962;199
2021-12-04T11:34:43.381;536589525977398488;75;957;195
2021-12-04T11:34:43.401;536589525997062200;74;950;194
2021-12-04T11:34:43.421;536589526016725912;65;956;201
2021-12-04T11:34:43.440;536589526036383811;62;960;217
2021-12-04T11:34:43.460;536589526056041698;64;965;201
2021-12-04T11:34:43.480;536589526075699585;62;961;172
2021-12-04T11:34:43.499;536589526095357472;62;957;180
2021-12-04T11:34:43.519;536589526115015359;61;963;213
2021-12-04T11:34:43.539;536589526134673246;52;953;203
2021-12-04T11:34:43.558;536589526154331133;66;960;187
2021-12-04T11:34:43.578;536589526173989020;74;960;197
2021-12-04T11:34:43.598;536589526193646907;76;960;205
2021-12-04T11:34:43.617;536589526213304794;56;963;214
2021-12-04T11:34:43.637;536589526232962681;60;951;180
2021-12-04T11:34:43.657;536589526252620568;70;958;181
2021-12-04T11:34:43.676;536589526272278455;83;976;218
2021-12-04T11:34:43.696;536589526291936342;66;960;179
2021-12-04T11:34:43.715;536589526311594229;54;952;148
2021-12-04T11:34:43.735;536589526331252116;64;968;208
2021-12-04T11:34:43.755;536589526350910003;81;974;207
2021-12-04T11:34:43.774;536589526370567890;62;956;178
2021-12-04T11:34:43.794;536589526390225777;74;960;163
2021-12-04T11:34:43.814;536589526409883664;70;965;191
2021-12-04T11:34:43.833;536589526429541551;68;958;165
2021-12-04T11:34:43.853;536589526449199438;60;954;171
2021-12-04T11:34:43.873;536589526468857325;76;963;196
2021-12-04T11:34:43.892;536589526488515212;64;968;200
2021-12-04T11:34:43.912;536589526508173099;66;971;181
2021-12-04T11:34:43.932;536589526527830986;65;963;144
2021-12-04T11:34:43.951;536589526547488873;70;968;140
2021-12-04T11:34:43.971;536589526567146760;68;976;217
2021-12-04T11:34:43.991;536589526586804647;69;979;194
2021-12-04T11:34:44.010;536589526606462534;53;950;122
2021-12-04T11:34:44.030;536589526626120421;81;956;115
2021-12-04T11:34:44.050;536589526645778308;82;970;181
2021-12-04T11:34:44.069;536589526665436195;72;966;163
2021-12-04T11:34:44.089;536589526685094082;56;954;142
2021-12-04T11:34:44.109;536589526704751969;114;972;164
2021-12-04T11:34:44.128;536589526724409856;114;980;167
2021-12-04T11:34:44.148;536589526744064850;90;966;105
2021-12-04T11:34:44.168;536589526763719824;78;968;145
2021-12-04T11:34:44.187;536589526783374798;104;983;178
2021-12-04T11:34:44.207;536589526803029772;68;968;137
2021-12-04T11:34:44.227;536589526822684746;69;961;105
2021-12-04T11:34:44.246;536589526842339720;99;977;166
2021-12-04T11:34:44.266;536589526861994694;89;983;201
2021-12-04T11:34:44.286;536589526881649668;66;970;137
2021-12-04T11:34:44.305;536589526901304642;84;962;108
2021-12-04T11:34:44.325;536589526920959616;112;977;123
2021-12-04T11:34:44.345;536589526940614590;84;970;113
2021-12-04T11:34:44.364;536589526960269564;69;961;148
2021-12-04T11:34:44.384;536589526979924538;101;981;172
2021-12-04T11:34:44.403;536589526999579512;92;968;133
2021-12-04T11:34:44.423;536589527019234486;84;970;138
2021-12-04T11:34:44.443;536589527038889460;104;977;135
2021-12-04T11:34:44.462;536589527058544434;82;973;132
2021-12-04T11:34:44.482;536589527078199408;97;976;128
2021-12-04T11:34:44.502;536589527097854382;100;976;125
2021-12-04T11:34:44.521;536589527117509356;102;971;113
2021-12-04T11:34:44.541;536589527137164330;81;969;120
2021-12-04T11:34:44.561;536589527156819304;103;976;138
2021-12-04T11:34:44.580;536589527176474278;99;975;124
2021-12-04T11:34:44.600;536589527196129252;97;968;135
