Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T11:38:00.582;536589906159314559;752;599;-224
2021-12-04T11:38:00.601;536589906179094780;752;588;-222
2021-12-04T11:38:00.621;536589906198875001;755;575;-221
2021-12-04T11:38:00.641;536589906218655222;762;566;-223
2021-12-04T11:38:00.661;536589906238435443;779;561;-222
2021-12-04T11:38:00.680;536589906258215664;827;568;-228
2021-12-04T11:38:00.700;536589906277995885;846;576;-244
2021-12-04T11:38:00.720;536589906297776106;828;582;-233
2021-12-04T11:38:00.740;536589906317556327;804;583;-236
2021-12-04T11:38:00.760;536589906337336548;771;587;-246
2021-12-04T11:38:00.779;536589906357116769;761;595;-252
2021-12-04T11:38:00.799;536589906376896990;756;603;-256
2021-12-04T11:38:00.819;536589906396677211;750;610;-257
2021-12-04T11:38:00.839;536589906416457432;735;614;-256
2021-12-04T11:38:00.858;536589906436237653;718;615;-254
2021-12-04T11:38:00.878;536589906456017874;719;615;-261
2021-12-04T11:38:00.898;536589906475798095;738;614;-259
2021-12-04T11:38:00.918;536589906495578316;753;613;-247
2021-12-04T11:38:00.938;536589906515358537;763;610;-237
2021-12-04T11:38:00.957;536589906535138758;776;608;-227
2021-12-04T11:38:00.977;536589906554918979;775;607;-215
2021-12-04T11:38:00.997;536589906574699200;771;606;-196
2021-12-04T11:38:01.017;536589906594479421;770;606;-182
2021-12-04T11:38:01.036;536589906614259642;777;608;-186
2021-12-04T11:38:01.056;536589906634039863;768;611;-193
2021-12-04T11:38:01.076;536589906653820084;762;614;-197
2021-12-04T11:38:01.096;536589906673600305;761;616;-216
2021-12-04T11:38:01.116;536589906693380526;766;615;-225
2021-12-04T11:38:01.135;536589906713160747;772;613;-220
2021-12-04T11:38:01.155;536589906732940968;781;613;-218
2021-12-04T11:38:01.175;536589906752721189;788;611;-215
2021-12-04T11:38:01.195;536589906772501410;790;612;-218
2021-12-04T11:38:01.214;536589906792281631;791;609;-215
2021-12-04T11:38:01.234;536589906812061852;789;606;-209
2021-12-04T11:38:01.254;536589906831842073;791;603;-210
2021-12-04T11:38:01.274;536589906851622294;794;603;-209
2021-12-04T11:38:01.294;536589906871402523;795;602;-208
2021-12-04T11:38:01.313;536589906891182744;791;599;-208
2021-12-04T11:38:01.333;536589906910962965;789;599;-210
2021-12-04T11:38:01.353;536589906930743186;778;601;-213
2021-12-04T11:38:01.373;536589906950523407;768;605;-215
2021-12-04T11:38:01.392;536589906970303628;760;608;-213
2021-12-04T11:38:01.412;536589906990083849;760;608;-217
2021-12-04T11:38:01.432;536589907009864070;766;611;-222
2021-12-04T11:38:01.452;536589907029644291;770;612;-225
2021-12-04T11:38:01.472;536589907049424512;767;615;-226
2021-12-04T11:38:01.491;536589907069204733;768;621;-227
2021-12-04T11:38:01.511;536589907088984954;768;627;-230
2021-12-04T11:38:01.531;536589907108765175;772;629;-237
2021-12-04T11:38:01.551;536589907128545396;778;630;-236
2021-12-04T11:38:01.571;536589907148325617;789;624;-243
2021-12-04T11:38:01.590;536589907168105838;790;625;-247
2021-12-04T11:38:01.610;536589907187886059;784;625;-243
2021-12-04T11:38:01.630;536589907207666280;784;625;-245
2021-12-04T11:38:01.650;536589907227446501;774;627;-245
2021-12-04T11:38:01.669;536589907247226722;761;629;-240
2021-12-04T11:38:01.689;536589907267006943;753;635;-240
