Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T11:17:48.490;536588510990098546;58;629;709
2021-12-04T11:17:48.509;536588511009785560;54;633;709
2021-12-04T11:17:48.529;536588511029472574;41;643;701
2021-12-04T11:17:48.549;536588511049159588;51;643;709
2021-12-04T11:17:48.568;536588511068846602;49;631;718
2021-12-04T11:17:48.588;536588511088533616;56;621;724
2021-12-04T11:17:48.608;536588511108220630;56;623;727
2021-12-04T11:17:48.627;536588511127907644;49;620;727
2021-12-04T11:17:48.647;536588511147594658;48;623;729
2021-12-04T11:17:48.667;536588511167281672;55;622;730
2021-12-04T11:17:48.686;536588511186968686;48;624;727
2021-12-04T11:17:48.706;536588511206655700;59;626;725
2021-12-04T11:17:48.726;536588511226342714;58;630;720
2021-12-04T11:17:48.745;536588511246029728;55;630;714
2021-12-04T11:17:48.765;536588511265716742;58;639;712
2021-12-04T11:17:48.785;536588511285403756;60;633;707
2021-12-04T11:17:48.804;536588511305090770;60;623;703
2021-12-04T11:17:48.824;536588511324777784;58;630;704
2021-12-04T11:17:48.844;536588511344464798;64;636;715
2021-12-04T11:17:48.864;536588511364151812;68;635;720
2021-12-04T11:17:48.883;536588511383838826;61;645;727
2021-12-04T11:17:48.903;536588511403525840;64;668;730
2021-12-04T11:17:48.923;536588511423212854;57;672;725
2021-12-04T11:17:48.942;536588511442899868;60;655;712
2021-12-04T11:17:48.962;536588511462586882;69;640;710
2021-12-04T11:17:48.982;536588511482273896;77;644;711
2021-12-04T11:17:49.001;536588511501960910;68;647;717
2021-12-04T11:17:49.021;536588511521647924;73;645;722
2021-12-04T11:17:49.041;536588511541334938;81;642;723
2021-12-04T11:17:49.060;536588511561021952;69;635;726
2021-12-04T11:17:49.080;536588511580708966;71;653;725
2021-12-04T11:17:49.100;536588511600395980;75;654;720
2021-12-04T11:17:49.119;536588511620082994;73;637;727
2021-12-04T11:17:49.139;536588511639770008;65;627;729
2021-12-04T11:17:49.159;536588511659457022;73;629;726
2021-12-04T11:17:49.179;536588511679144036;60;626;728
2021-12-04T11:17:49.198;536588511698831066;61;622;737
2021-12-04T11:17:49.218;536588511718518080;64;622;745
2021-12-04T11:17:49.238;536588511738205094;58;628;747
2021-12-04T11:17:49.257;536588511757892108;54;631;740
2021-12-04T11:17:49.277;536588511777579122;59;624;734
2021-12-04T11:17:49.297;536588511797266136;60;617;727
2021-12-04T11:17:49.316;536588511816953150;51;613;717
2021-12-04T11:17:49.336;536588511836640164;38;616;715
2021-12-04T11:17:49.356;536588511856327178;48;621;725
2021-12-04T11:17:49.375;536588511876014192;47;616;727
2021-12-04T11:17:49.395;536588511895701206;52;613;729
2021-12-04T11:17:49.415;536588511915388220;53;613;731
2021-12-04T11:17:49.434;536588511935075234;52;621;734
2021-12-04T11:17:49.454;536588511954762248;43;634;729
2021-12-04T11:17:49.474;536588511974449262;39;630;720
2021-12-04T11:17:49.494;536588511994136276;40;625;707
2021-12-04T11:17:49.513;536588512013823290;49;623;702
2021-12-04T11:17:49.533;536588512033510304;45;627;706
2021-12-04T11:17:49.553;536588512053197318;51;623;720
2021-12-04T11:17:49.572;536588512072884332;41;629;735
2021-12-04T11:17:49.592;536588512092571346;32;623;734
2021-12-04T11:17:49.612;536588512112258360;38;620;724
2021-12-04T11:17:49.631;536588512131945374;44;619;719
2021-12-04T11:17:49.651;536588512151632388;52;625;726
2021-12-04T11:17:49.671;536588512171319402;49;623;728
2021-12-04T11:17:49.690;536588512191006416;52;613;725
2021-12-04T11:17:49.710;536588512210693430;49;614;723
2021-12-04T11:17:49.730;536588512230380444;57;619;727
2021-12-04T11:17:49.749;536588512250067458;57;628;730
2021-12-04T11:17:49.769;536588512269754472;53;637;737
2021-12-04T11:17:49.789;536588512289441486;52;618;738
2021-12-04T11:17:49.809;536588512309128500;51;617;739
2021-12-04T11:17:49.828;536588512328815514;58;625;736
2021-12-04T11:17:49.848;536588512348502528;49;625;729
2021-12-04T11:17:49.868;536588512368189542;56;623;726
