Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T11:13:47.191;536588452761904035;-352;926;171
2021-12-04T11:13:47.210;536588452781650760;-351;924;171
2021-12-04T11:13:47.230;536588452801397485;-348;926;172
2021-12-04T11:13:47.250;536588452821144210;-350;928;169
2021-12-04T11:13:47.269;536588452840890935;-353;926;166
2021-12-04T11:13:47.289;536588452860637660;-354;927;167
2021-12-04T11:13:47.309;536588452880384385;-353;927;165
2021-12-04T11:13:47.329;536588452900131110;-350;927;168
2021-12-04T11:13:47.348;536588452919877835;-354;926;166
2021-12-04T11:13:47.368;536588452939624560;-354;928;165
2021-12-04T11:13:47.388;536588452959371285;-355;927;162
2021-12-04T11:13:47.408;536588452979118010;-353;927;162
2021-12-04T11:13:47.427;536588452998864735;-354;927;163
2021-12-04T11:13:47.447;536588453018611460;-354;926;162
2021-12-04T11:13:47.467;536588453038358185;-352;926;164
2021-12-04T11:13:47.487;536588453058104910;-354;927;167
2021-12-04T11:13:47.506;536588453077851635;-355;927;163
2021-12-04T11:13:47.526;536588453097598360;-358;927;161
2021-12-04T11:13:47.546;536588453117345085;-359;927;163
2021-12-04T11:13:47.566;536588453137091810;-358;926;163
2021-12-04T11:13:47.585;536588453156838535;-360;925;164
2021-12-04T11:13:47.605;536588453176585260;-359;924;164
2021-12-04T11:13:47.625;536588453196331985;-360;926;163
2021-12-04T11:13:47.645;536588453216078710;-358;926;164
2021-12-04T11:13:47.664;536588453235825435;-357;925;164
2021-12-04T11:13:47.684;536588453255572160;-357;925;165
2021-12-04T11:13:47.704;536588453275318885;-359;926;163
2021-12-04T11:13:47.724;536588453295065610;-359;926;165
2021-12-04T11:13:47.743;536588453314812335;-358;925;164
2021-12-04T11:13:47.763;536588453334559060;-356;926;162
2021-12-04T11:13:47.783;536588453354305785;-357;926;164
2021-12-04T11:13:47.803;536588453374052510;-359;926;162
2021-12-04T11:13:47.822;536588453393799235;-358;927;163
2021-12-04T11:13:47.842;536588453413545960;-358;926;163
2021-12-04T11:13:47.862;536588453433292685;-357;926;162
2021-12-04T11:13:47.882;536588453453039410;-355;927;167
2021-12-04T11:13:47.901;536588453472786135;-358;926;163
2021-12-04T11:13:47.921;536588453492532860;-358;926;164
2021-12-04T11:13:47.941;536588453512279585;-357;926;163
2021-12-04T11:13:47.961;536588453532026310;-353;927;167
2021-12-04T11:13:47.980;536588453551773035;-348;926;168
2021-12-04T11:13:48.000;536588453571519760;-353;925;167
2021-12-04T11:13:48.020;536588453591266485;-352;925;167
2021-12-04T11:13:48.040;536588453611013210;-352;928;167
2021-12-04T11:13:48.059;536588453630759935;-353;927;165
2021-12-04T11:13:48.079;536588453650506660;-359;927;164
2021-12-04T11:13:48.099;536588453670253385;-359;924;162
2021-12-04T11:13:48.119;536588453690000110;-364;923;162
2021-12-04T11:13:48.138;536588453709746835;-363;925;161
2021-12-04T11:13:48.158;536588453729493560;-360;923;164
2021-12-04T11:13:48.178;536588453749240285;-357;925;164
2021-12-04T11:13:48.198;536588453768987010;-358;927;163
2021-12-04T11:13:48.217;536588453788733735;-353;926;168
2021-12-04T11:13:48.237;536588453808480460;-353;926;168
2021-12-04T11:13:48.257;536588453828227185;-356;927;165
2021-12-04T11:13:48.277;536588453847973910;-358;926;164
2021-12-04T11:13:48.296;536588453867720635;-356;926;165
2021-12-04T11:13:48.316;536588453887467360;-359;926;165
2021-12-04T11:13:48.336;536588453907214085;-359;926;166
2021-12-04T11:13:48.356;536588453926960810;-355;928;164
2021-12-04T11:13:48.375;536588453946707535;-354;925;167
2021-12-04T11:13:48.395;536588453966454260;-354;927;165
2021-12-04T11:13:48.415;536588453986200985;-354;925;166
2021-12-04T11:13:48.435;536588454005947710;-354;928;167
2021-12-04T11:13:48.454;536588454025694435;-357;928;165
2021-12-04T11:13:48.474;536588454045441160;-356;926;164
2021-12-04T11:13:48.494;536588454065187885;-360;925;164
2021-12-04T11:13:48.514;536588454084934610;-363;926;158
2021-12-04T11:13:48.533;536588454104681335;-361;925;165
2021-12-04T11:13:48.553;536588454124428060;-362;926;164
2021-12-04T11:13:48.573;536588454144174785;-365;924;160
2021-12-04T11:13:48.593;536588454163921510;-364;924;163
2021-12-04T11:13:48.612;536588454183668268;-363;926;164
2021-12-04T11:13:48.632;536588454203414992;-361;926;165
2021-12-04T11:13:48.652;536588454223161716;-359;925;166
2021-12-04T11:13:48.672;536588454242908440;-361;923;163
2021-12-04T11:13:48.691;536588454262655164;-361;927;164
2021-12-04T11:13:48.711;536588454282401888;-359;927;165
2021-12-04T11:13:48.731;536588454302148612;-356;928;166
2021-12-04T11:13:48.750;536588454321895336;-356;927;169
2021-12-04T11:13:48.770;536588454341642060;-354;925;166
2021-12-04T11:13:48.790;536588454361388784;-358;925;166
2021-12-04T11:13:48.810;536588454381135508;-357;927;165
2021-12-04T11:13:48.829;536588454400882232;-358;927;165
2021-12-04T11:13:48.849;536588454420628956;-354;927;166
2021-12-04T11:13:48.869;536588454440375680;-354;927;165
2021-12-04T11:13:48.889;536588454460122404;-353;926;167
2021-12-04T11:13:48.908;536588454479869128;-354;926;166
2021-12-04T11:13:48.928;536588454499615852;-354;927;167
2021-12-04T11:13:48.948;536588454519362576;-353;928;167
2021-12-04T11:13:48.968;536588454539109300;-355;926;169
2021-12-04T11:13:48.987;536588454558856024;-354;927;167
2021-12-04T11:13:49.007;536588454578602748;-353;925;167
2021-12-04T11:13:49.027;536588454598349472;-356;924;167
2021-12-04T11:13:49.047;536588454618096196;-355;926;167
2021-12-04T11:13:49.066;536588454637842920;-353;924;166
2021-12-04T11:13:49.086;536588454657589644;-354;926;170
2021-12-04T11:13:49.106;536588454677336368;-355;925;171
2021-12-04T11:13:49.126;536588454697083092;-353;925;168
2021-12-04T11:13:49.145;536588454716829816;-352;925;168
2021-12-04T11:13:49.165;536588454736576540;-351;926;171
2021-12-04T11:13:49.185;536588454756323264;-350;927;173
2021-12-04T11:13:49.205;536588454776069988;-351;926;171
2021-12-04T11:13:49.224;536588454795816712;-352;926;171
2021-12-04T11:13:49.244;536588454815563436;-350;926;171
2021-12-04T11:13:49.264;536588454835310160;-350;928;168
2021-12-04T11:13:49.284;536588454855056884;-355;925;168
2021-12-04T11:13:49.303;536588454874803608;-354;925;169
2021-12-04T11:13:49.323;536588454894550333;-354;926;168
2021-12-04T11:13:49.343;536588454914297058;-355;926;169
2021-12-04T11:13:49.363;536588454934043783;-359;924;167
2021-12-04T11:13:49.382;536588454953790508;-356;925;166
2021-12-04T11:13:49.402;536588454973537233;-361;924;166
2021-12-04T11:13:49.422;536588454993283958;-364;926;162
2021-12-04T11:13:49.442;536588455013030683;-359;927;165
2021-12-04T11:13:49.461;536588455032777408;-358;925;165
2021-12-04T11:13:49.481;536588455052524133;-355;928;167
2021-12-04T11:13:49.501;536588455072270858;-353;926;166
2021-12-04T11:13:49.521;536588455092017583;-355;926;165
2021-12-04T11:13:49.540;536588455111764308;-359;926;161
2021-12-04T11:13:49.560;536588455131511033;-360;926;162
2021-12-04T11:13:49.580;536588455151257758;-361;926;162
2021-12-04T11:13:49.600;536588455171004483;-360;927;164
2021-12-04T11:13:49.619;536588455190751208;-356;926;166
2021-12-04T11:13:49.639;536588455210497933;-356;925;165
2021-12-04T11:13:49.659;536588455230244658;-360;924;165
2021-12-04T11:13:49.679;536588455249991383;-358;925;164
2021-12-04T11:13:49.698;536588455269738108;-355;924;162
2021-12-04T11:13:49.718;536588455289484833;-354;925;168
2021-12-04T11:13:49.738;536588455309231558;-358;925;167
2021-12-04T11:13:49.758;536588455328978283;-360;926;164
2021-12-04T11:13:49.777;536588455348725008;-361;926;166
2021-12-04T11:13:49.797;536588455368471733;-356;924;164
2021-12-04T11:13:49.817;536588455388218458;-358;925;166
2021-12-04T11:13:49.837;536588455407965183;-358;926;166
2021-12-04T11:13:49.856;536588455427711908;-359;927;166
2021-12-04T11:13:49.876;536588455447458633;-358;927;166
2021-12-04T11:13:49.896;536588455467205358;-357;925;166
2021-12-04T11:13:49.916;536588455486952083;-359;927;166
2021-12-04T11:13:49.935;536588455506698808;-358;925;163
2021-12-04T11:13:49.955;536588455526445533;-359;927;163
2021-12-04T11:13:49.975;536588455546192258;-358;925;163
2021-12-04T11:13:49.995;536588455565938983;-357;926;165
2021-12-04T11:13:50.014;536588455585685708;-358;926;163
2021-12-04T11:13:50.034;536588455605432466;-360;923;164
2021-12-04T11:13:50.054;536588455625179190;-361;925;166
2021-12-04T11:13:50.074;536588455644925914;-359;926;165
2021-12-04T11:13:50.093;536588455664672638;-358;925;166
2021-12-04T11:13:50.113;536588455684419362;-358;924;168
2021-12-04T11:13:50.133;536588455704166086;-357;925;169
2021-12-04T11:13:50.153;536588455723912810;-357;924;168
2021-12-04T11:13:50.172;536588455743659534;-360;924;167
2021-12-04T11:13:50.192;536588455763406258;-358;927;169
2021-12-04T11:13:50.212;536588455783152982;-357;924;170
2021-12-04T11:13:50.231;536588455802899706;-357;926;169
2021-12-04T11:13:50.251;536588455822646430;-357;924;169
2021-12-04T11:13:50.271;536588455842393154;-360;926;168
2021-12-04T11:13:50.291;536588455862139878;-355;924;170
2021-12-04T11:13:50.310;536588455881886602;-355;927;171
2021-12-04T11:13:50.330;536588455901633326;-353;923;173
2021-12-04T11:13:50.350;536588455921380050;-356;925;171
2021-12-04T11:13:50.370;536588455941126774;-357;926;167
2021-12-04T11:13:50.389;536588455960873498;-355;926;168
2021-12-04T11:13:50.409;536588455980620222;-357;924;168
2021-12-04T11:13:50.429;536588456000366946;-358;925;168
2021-12-04T11:13:50.449;536588456020113670;-359;923;166
2021-12-04T11:13:50.468;536588456039860394;-358;924;167
2021-12-04T11:13:50.488;536588456059607118;-357;925;170
2021-12-04T11:13:50.508;536588456079353842;-359;925;167
2021-12-04T11:13:50.528;536588456099100566;-360;924;167
2021-12-04T11:13:50.547;536588456118847290;-358;924;168
2021-12-04T11:13:50.567;536588456138594014;-359;925;167
2021-12-04T11:13:50.587;536588456158340738;-360;926;166
2021-12-04T11:13:50.607;536588456178087462;-359;927;166
2021-12-04T11:13:50.626;536588456197834186;-358;924;166
2021-12-04T11:13:50.646;536588456217580910;-359;925;167
2021-12-04T11:13:50.666;536588456237327634;-355;926;169
2021-12-04T11:13:50.686;536588456257074358;-359;925;167
2021-12-04T11:13:50.705;536588456276821082;-363;925;165
2021-12-04T11:13:50.725;536588456296567806;-361;923;166
2021-12-04T11:13:50.745;536588456316326209;-363;923;166
2021-12-04T11:13:50.765;536588456336084584;-362;924;167
2021-12-04T11:13:50.784;536588456355842959;-360;924;168
2021-12-04T11:13:50.804;536588456375601334;-365;922;168
2021-12-04T11:13:50.824;536588456395359709;-366;923;167
2021-12-04T11:13:50.844;536588456415118084;-365;923;164
2021-12-04T11:13:50.863;536588456434876459;-359;925;167
2021-12-04T11:13:50.883;536588456454634834;-361;924;168
2021-12-04T11:13:50.903;536588456474393209;-354;923;173
2021-12-04T11:13:50.923;536588456494151584;-346;924;178
2021-12-04T11:13:50.943;536588456513909959;-353;924;173
2021-12-04T11:13:50.962;536588456533668334;-359;923;168
2021-12-04T11:13:50.982;536588456553426709;-355;925;169
2021-12-04T11:13:51.002;536588456573185084;-360;926;171
2021-12-04T11:13:51.022;536588456592943459;-357;926;175
2021-12-04T11:13:51.041;536588456612701834;-366;929;168
2021-12-04T11:13:51.061;536588456632460209;-355;924;176
2021-12-04T11:13:51.081;536588456652218584;-360;921;175
2021-12-04T11:13:51.101;536588456671976959;-375;914;172
2021-12-04T11:13:51.120;536588456691735334;-384;910;164
2021-12-04T11:13:51.140;536588456711493709;-387;912;156
2021-12-04T11:13:51.160;536588456731252084;-386;913;154
2021-12-04T11:13:51.180;536588456751010459;-381;914;167
2021-12-04T11:13:51.199;536588456770768834;-420;897;160
2021-12-04T11:13:51.219;536588456790527209;-340;935;151
2021-12-04T11:13:51.239;536588456810285584;-359;917;132
2021-12-04T11:13:51.259;536588456830043959;-368;915;115
2021-12-04T11:13:51.278;536588456849802334;-319;937;90
2021-12-04T11:13:51.298;536588456869560709;-334;936;77
2021-12-04T11:13:51.318;536588456889319084;-272;958;102
2021-12-04T11:13:51.338;536588456909077459;-263;957;117
2021-12-04T11:13:51.357;536588456928835834;-257;970;104
2021-12-04T11:13:51.377;536588456948594209;-231;960;142
2021-12-04T11:13:51.397;536588456968352584;-254;956;134
2021-12-04T11:13:51.417;536588456988110959;-223;959;143
2021-12-04T11:13:51.436;536588457007869334;-234;963;114
2021-12-04T11:13:51.456;536588457027627741;-236;962;82
2021-12-04T11:13:51.476;536588457047386116;-251;971;59
2021-12-04T11:13:51.496;536588457067144491;-237;979;55
2021-12-04T11:13:51.515;536588457086902866;-224;976;68
2021-12-04T11:13:51.535;536588457106661241;-241;971;57
2021-12-04T11:13:51.555;536588457126419616;-171;976;84
2021-12-04T11:13:51.575;536588457146177991;-174;969;85
2021-12-04T11:13:51.595;536588457165936366;-145;979;73
2021-12-04T11:13:51.614;536588457185694741;-179;976;51
2021-12-04T11:13:51.634;536588457205453116;-198;979;0
2021-12-04T11:13:51.654;536588457225211491;-162;982;37
2021-12-04T11:13:51.674;536588457244969866;-173;977;31
2021-12-04T11:13:51.693;536588457264728241;-169;979;30
2021-12-04T11:13:51.713;536588457284486616;-150;978;38
2021-12-04T11:13:51.733;536588457304244991;-165;981;10
2021-12-04T11:13:51.753;536588457324003366;-164;980;4
2021-12-04T11:13:51.772;536588457343761741;-160;977;-6
2021-12-04T11:13:51.792;536588457363520116;-153;973;-1
2021-12-04T11:13:51.812;536588457383278491;-142;983;10
2021-12-04T11:13:51.832;536588457403036866;-120;974;18
2021-12-04T11:13:51.851;536588457422795241;-124;983;8
2021-12-04T11:13:51.871;536588457442553616;-124;986;-17
2021-12-04T11:13:51.891;536588457462311991;-101;973;12
2021-12-04T11:13:51.911;536588457482070366;-76;978;89
2021-12-04T11:13:51.930;536588457501828741;-76;985;77
2021-12-04T11:13:51.950;536588457521587116;-65;992;42
2021-12-04T11:13:51.970;536588457541345491;-63;992;7
2021-12-04T11:13:51.990;536588457561103866;-63;1000;2
2021-12-04T11:13:52.009;536588457580862241;-21;990;48
2021-12-04T11:13:52.029;536588457600620616;-39;998;59
2021-12-04T11:13:52.049;536588457620378991;-60;1001;17
2021-12-04T11:13:52.069;536588457640137366;-53;990;-1
2021-12-04T11:13:52.088;536588457659895741;-57;980;-9
2021-12-04T11:13:52.108;536588457679654116;-44;983;45
2021-12-04T11:13:52.128;536588457699412491;-21;981;72
2021-12-04T11:13:52.148;536588457719170866;-17;982;108
2021-12-04T11:13:52.168;536588457738929267;-17;987;94
2021-12-04T11:13:52.187;536588457758687642;-32;992;35
2021-12-04T11:13:52.207;536588457778446017;-26;986;36
2021-12-04T11:13:52.227;536588457798204392;-33;989;23
2021-12-04T11:13:52.247;536588457817962767;-42;995;36
2021-12-04T11:13:52.266;536588457837721142;-57;987;39
2021-12-04T11:13:52.286;536588457857479517;-66;998;20
2021-12-04T11:13:52.306;536588457877237892;-29;977;6
2021-12-04T11:13:52.326;536588457896996267;-13;974;23
2021-12-04T11:13:52.345;536588457916754642;-36;995;47
2021-12-04T11:13:52.365;536588457936513017;-35;990;62
2021-12-04T11:13:52.385;536588457956271392;-44;987;69
2021-12-04T11:13:52.405;536588457976029767;-49;986;66
2021-12-04T11:13:52.424;536588457995788142;-48;980;47
2021-12-04T11:13:52.444;536588458015546517;-49;981;40
2021-12-04T11:13:52.464;536588458035304892;-54;984;38
2021-12-04T11:13:52.484;536588458055063267;-45;983;33
2021-12-04T11:13:52.503;536588458074821642;-43;983;35
2021-12-04T11:13:52.523;536588458094580017;-44;983;48
2021-12-04T11:13:52.543;536588458114338392;-49;985;48
2021-12-04T11:13:52.563;536588458134096767;-39;983;59
2021-12-04T11:13:52.582;536588458153855142;-27;985;56
2021-12-04T11:13:52.602;536588458173613517;-28;989;47
2021-12-04T11:13:52.622;536588458193371892;-51;996;37
2021-12-04T11:13:52.642;536588458213130267;-32;985;58
2021-12-04T11:13:52.661;536588458232888642;-26;983;75
2021-12-04T11:13:52.681;536588458252647017;-33;995;85
2021-12-04T11:13:52.701;536588458272405392;-40;995;67
2021-12-04T11:13:52.721;536588458292163767;-26;984;96
2021-12-04T11:13:52.741;536588458311922142;-34;985;86
2021-12-04T11:13:52.760;536588458331680517;-53;982;76
2021-12-04T11:13:52.780;536588458351438892;-62;981;90
2021-12-04T11:13:52.800;536588458371197267;-74;980;83
