Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:31:32.340;536844294164140592;-250;-475;738
2021-11-13T11:31:32.359;536844294183894598;-256;-501;742
2021-11-13T11:31:32.379;536844294203648604;-246;-555;768
2021-11-13T11:31:32.399;536844294223402610;-245;-616;815
2021-11-13T11:31:32.419;536844294243156616;-262;-664;837
2021-11-13T11:31:32.438;536844294262910622;-254;-684;835
2021-11-13T11:31:32.458;536844294282664628;-249;-664;851
2021-11-13T11:31:32.478;536844294302418634;-250;-625;864
2021-11-13T11:31:32.498;536844294322172640;-246;-584;850
2021-11-13T11:31:32.517;536844294341926646;-234;-557;807
2021-11-13T11:31:32.537;536844294361680652;-222;-567;777
2021-11-13T11:31:32.557;536844294381434658;-211;-602;777
2021-11-13T11:31:32.577;536844294401188664;-252;-623;770
2021-11-13T11:31:32.596;536844294420942670;-245;-629;778
2021-11-13T11:31:32.616;536844294440696676;-242;-627;793
2021-11-13T11:31:32.636;536844294460450682;-245;-627;802
2021-11-13T11:31:32.656;536844294480204688;-238;-639;796
2021-11-13T11:31:32.675;536844294499958694;-236;-626;799
2021-11-13T11:31:32.695;536844294519712700;-241;-602;794
2021-11-13T11:31:32.715;536844294539466706;-240;-604;794
2021-11-13T11:31:32.735;536844294559220712;-241;-610;785
2021-11-13T11:31:32.754;536844294578974718;-233;-625;784
2021-11-13T11:31:32.774;536844294598728724;-220;-630;803
2021-11-13T11:31:32.794;536844294618482730;-240;-622;810
2021-11-13T11:31:32.814;536844294638236736;-252;-621;798
2021-11-13T11:31:32.833;536844294657990742;-247;-627;784
2021-11-13T11:31:32.853;536844294677744748;-246;-620;781
2021-11-13T11:31:32.873;536844294697498754;-248;-623;774
2021-11-13T11:31:32.893;536844294717252760;-239;-621;777
2021-11-13T11:31:32.912;536844294737006766;-240;-598;776
2021-11-13T11:31:32.932;536844294756760772;-245;-584;767
2021-11-13T11:31:32.952;536844294776514778;-251;-603;770
2021-11-13T11:31:32.972;536844294796268784;-251;-625;777
2021-11-13T11:31:32.991;536844294816022790;-229;-628;790
2021-11-13T11:31:33.011;536844294835776796;-238;-621;795
2021-11-13T11:31:33.031;536844294855530802;-240;-620;790
2021-11-13T11:31:33.051;536844294875284836;-244;-623;779
2021-11-13T11:31:33.070;536844294895038842;-241;-620;771
2021-11-13T11:31:33.090;536844294914792848;-248;-610;759
2021-11-13T11:31:33.110;536844294934546854;-229;-610;751
2021-11-13T11:31:33.130;536844294954300860;-220;-602;743
2021-11-13T11:31:33.149;536844294974054866;-222;-577;735
2021-11-13T11:31:33.169;536844294993808872;-216;-558;723
2021-11-13T11:31:33.189;536844295013562878;-213;-525;700
2021-11-13T11:31:33.209;536844295033316884;-200;-515;668
2021-11-13T11:31:33.228;536844295053070890;-187;-509;646
2021-11-13T11:31:33.248;536844295072824896;-185;-507;673
2021-11-13T11:31:33.268;536844295092578902;-180;-500;672
2021-11-13T11:31:33.288;536844295112332908;-191;-498;653
2021-11-13T11:31:33.307;536844295132086914;-196;-492;627
2021-11-13T11:31:33.327;536844295151840920;-156;-467;608
2021-11-13T11:31:33.347;536844295171594926;-129;-438;602
2021-11-13T11:31:33.367;536844295191348932;-173;-425;624
2021-11-13T11:31:33.386;536844295211102938;-237;-459;673
2021-11-13T11:31:33.406;536844295230856944;-230;-504;722
2021-11-13T11:31:33.426;536844295250610950;-197;-586;737
2021-11-13T11:31:33.446;536844295270364956;-131;-600;755
2021-11-13T11:31:33.465;536844295290118962;-170;-563;757
2021-11-13T11:31:33.485;536844295309872968;-213;-516;767
2021-11-13T11:31:33.505;536844295329626974;-242;-520;776
2021-11-13T11:31:33.525;536844295349380980;-223;-583;808
2021-11-13T11:31:33.544;536844295369134986;-213;-637;851
2021-11-13T11:31:33.564;536844295388888992;-193;-647;855
2021-11-13T11:31:33.584;536844295408642998;-187;-596;832
2021-11-13T11:31:33.604;536844295428397004;-200;-533;785
2021-11-13T11:31:33.624;536844295448151010;-227;-498;774
2021-11-13T11:31:33.643;536844295467905016;-246;-502;792
2021-11-13T11:31:33.663;536844295487659022;-252;-544;829
2021-11-13T11:31:33.683;536844295507413028;-192;-585;868
2021-11-13T11:31:33.703;536844295527167034;-158;-569;867
2021-11-13T11:31:33.722;536844295546921040;-166;-533;872
2021-11-13T11:31:33.742;536844295566675046;-202;-519;867
2021-11-13T11:31:33.762;536844295586414495;-218;-503;878
2021-11-13T11:31:33.782;536844295606153938;-198;-499;881
2021-11-13T11:31:33.801;536844295625893381;-193;-520;885
2021-11-13T11:31:33.821;536844295645632824;-157;-540;893
2021-11-13T11:31:33.841;536844295665372267;-177;-554;913
2021-11-13T11:31:33.860;536844295685111710;-206;-578;917
2021-11-13T11:31:33.880;536844295704851153;-218;-573;926
2021-11-13T11:31:33.900;536844295724590596;-175;-568;931
2021-11-13T11:31:33.920;536844295744330039;-141;-564;920
2021-11-13T11:31:33.939;536844295764069482;-167;-552;916
2021-11-13T11:31:33.959;536844295783808925;-198;-563;938
2021-11-13T11:31:33.979;536844295803548368;-199;-578;951
2021-11-13T11:31:33.999;536844295823287811;-207;-605;952
2021-11-13T11:31:34.018;536844295843027254;-170;-602;948
2021-11-13T11:31:34.038;536844295862766697;-178;-594;952
2021-11-13T11:31:34.058;536844295882506140;-197;-596;959
2021-11-13T11:31:34.078;536844295902245583;-214;-574;972
2021-11-13T11:31:34.097;536844295921985026;-205;-592;968
2021-11-13T11:31:34.117;536844295941724469;-187;-599;974
2021-11-13T11:31:34.137;536844295961463912;-184;-569;988
2021-11-13T11:31:34.157;536844295981203355;-176;-545;990
2021-11-13T11:31:34.176;536844296000942798;-165;-566;984
2021-11-13T11:31:34.196;536844296020682241;-203;-574;1000
2021-11-13T11:31:34.216;536844296040421684;-221;-588;1006
2021-11-13T11:31:34.236;536844296060161127;-168;-607;992
2021-11-13T11:31:34.255;536844296079900570;-149;-567;989
2021-11-13T11:31:34.275;536844296099640013;-182;-539;1003
2021-11-13T11:31:34.295;536844296119379456;-181;-543;1013
2021-11-13T11:31:34.314;536844296139118899;-135;-568;1024
2021-11-13T11:31:34.334;536844296158858342;-192;-594;1059
2021-11-13T11:31:34.354;536844296178597785;-172;-625;1090
2021-11-13T11:31:34.374;536844296198337228;-154;-645;1119
2021-11-13T11:31:34.393;536844296218076671;-185;-626;1162
2021-11-13T11:31:34.413;536844296237816114;-171;-623;1185
2021-11-13T11:31:34.433;536844296257555557;-140;-625;1196
2021-11-13T11:31:34.453;536844296277295000;-185;-629;1230
2021-11-13T11:31:34.472;536844296297027177;-200;-633;1219
2021-11-13T11:31:34.492;536844296316759338;-190;-639;1188
2021-11-13T11:31:34.512;536844296336491499;-183;-631;1181
2021-11-13T11:31:34.532;536844296356223660;-206;-616;1178
2021-11-13T11:31:34.551;536844296375955821;-178;-621;1169
2021-11-13T11:31:34.571;536844296395687982;-172;-590;1141
2021-11-13T11:31:34.591;536844296415420143;-170;-606;1093
2021-11-13T11:31:34.611;536844296435152304;-175;-576;1069
2021-11-13T11:31:34.630;536844296454884465;-180;-556;1036
2021-11-13T11:31:34.650;536844296474616626;-132;-580;1025
2021-11-13T11:31:34.670;536844296494348787;-146;-589;1017
2021-11-13T11:31:34.689;536844296514080948;-156;-607;1000
2021-11-13T11:31:34.709;536844296533813109;-193;-583;979
2021-11-13T11:31:34.729;536844296553545270;-178;-555;973
2021-11-13T11:31:34.749;536844296573277431;-181;-536;982
2021-11-13T11:31:34.768;536844296593009592;-162;-541;959
2021-11-13T11:31:34.788;536844296612741753;-184;-544;930
2021-11-13T11:31:34.808;536844296632473914;-206;-518;883
2021-11-13T11:31:34.828;536844296652206075;-195;-508;847
2021-11-13T11:31:34.847;536844296671938236;-199;-507;816
2021-11-13T11:31:34.867;536844296691670397;-197;-502;787
2021-11-13T11:31:34.887;536844296711402558;-186;-499;760
2021-11-13T11:31:34.906;536844296731134719;-192;-484;747
2021-11-13T11:31:34.926;536844296750866880;-176;-473;721
2021-11-13T11:31:34.946;536844296770599041;-178;-482;674
2021-11-13T11:31:34.966;536844296790331202;-151;-501;648
2021-11-13T11:31:34.985;536844296810063363;-187;-503;618
2021-11-13T11:31:35.005;536844296829795524;-172;-517;629
2021-11-13T11:31:35.025;536844296849527685;-180;-503;647
2021-11-13T11:31:35.045;536844296869259846;-151;-489;644
2021-11-13T11:31:35.064;536844296888992007;-147;-500;615
2021-11-13T11:31:35.084;536844296908724168;-192;-523;597
2021-11-13T11:31:35.104;536844296928456329;-223;-542;547
2021-11-13T11:31:35.124;536844296948188490;-210;-528;562
2021-11-13T11:31:35.143;536844296967920651;-211;-512;607
2021-11-13T11:31:35.163;536844296987652812;-185;-452;602
2021-11-13T11:31:35.183;536844297007399566;-170;-419;554
2021-11-13T11:31:35.203;536844297027146290;-191;-411;526
2021-11-13T11:31:35.222;536844297046893014;-226;-452;556
2021-11-13T11:31:35.242;536844297066639738;-219;-490;599
2021-11-13T11:31:35.262;536844297086386462;-182;-504;635
2021-11-13T11:31:35.281;536844297106133186;-182;-521;660
2021-11-13T11:31:35.301;536844297125879910;-242;-536;659
2021-11-13T11:31:35.321;536844297145626634;-262;-582;685
2021-11-13T11:31:35.341;536844297165373358;-312;-637;720
2021-11-13T11:31:35.360;536844297185120082;-275;-688;767
2021-11-13T11:31:35.380;536844297204866806;-242;-700;794
2021-11-13T11:31:35.400;536844297224613530;-274;-696;809
2021-11-13T11:31:35.420;536844297244360254;-301;-657;795
2021-11-13T11:31:35.439;536844297264106978;-306;-632;777
2021-11-13T11:31:35.459;536844297283853702;-264;-643;770
2021-11-13T11:31:35.479;536844297303600426;-277;-659;757
2021-11-13T11:31:35.499;536844297323347150;-257;-645;752
2021-11-13T11:31:35.518;536844297343093874;-258;-626;772
2021-11-13T11:31:35.538;536844297362840598;-261;-642;777
2021-11-13T11:31:35.558;536844297382587322;-262;-661;779
2021-11-13T11:31:35.578;536844297402334046;-278;-670;777
2021-11-13T11:31:35.597;536844297422080770;-257;-658;775
2021-11-13T11:31:35.617;536844297441827494;-265;-629;772
2021-11-13T11:31:35.637;536844297461574218;-270;-615;755
2021-11-13T11:31:35.657;536844297481320942;-286;-620;750
2021-11-13T11:31:35.676;536844297501067666;-272;-627;745
2021-11-13T11:31:35.696;536844297520814390;-274;-631;752
2021-11-13T11:31:35.716;536844297540561114;-282;-633;762
2021-11-13T11:31:35.736;536844297560307838;-271;-630;781
2021-11-13T11:31:35.755;536844297580054562;-256;-625;787
2021-11-13T11:31:35.775;536844297599801286;-246;-635;780
2021-11-13T11:31:35.795;536844297619548010;-286;-627;772
2021-11-13T11:31:35.815;536844297639294734;-281;-618;770
2021-11-13T11:31:35.834;536844297659041458;-261;-628;763
2021-11-13T11:31:35.854;536844297678788182;-254;-632;760
2021-11-13T11:31:35.874;536844297698534906;-249;-640;760
2021-11-13T11:31:35.894;536844297718267087;-255;-633;761
2021-11-13T11:31:35.913;536844297737999248;-261;-630;755
2021-11-13T11:31:35.933;536844297757731409;-268;-625;753
2021-11-13T11:31:35.953;536844297777463570;-261;-628;753
2021-11-13T11:31:35.973;536844297797195731;-251;-635;766
2021-11-13T11:31:35.992;536844297816927892;-258;-632;773
2021-11-13T11:31:36.012;536844297836660053;-265;-636;755
2021-11-13T11:31:36.032;536844297856392214;-261;-624;747
2021-11-13T11:31:36.051;536844297876124375;-253;-627;734
2021-11-13T11:31:36.071;536844297895856536;-254;-618;714
2021-11-13T11:31:36.091;536844297915588697;-247;-588;685
2021-11-13T11:31:36.111;536844297935320858;-242;-557;654
2021-11-13T11:31:36.130;536844297955053019;-209;-533;647
2021-11-13T11:31:36.150;536844297974785180;-244;-531;632
2021-11-13T11:31:36.170;536844297994517341;-237;-519;629
2021-11-13T11:31:36.190;536844298014249502;-201;-512;642
2021-11-13T11:31:36.209;536844298033981663;-192;-532;645
2021-11-13T11:31:36.229;536844298053713824;-202;-533;643
2021-11-13T11:31:36.249;536844298073445985;-196;-517;620
2021-11-13T11:31:36.269;536844298093178146;-173;-464;611
2021-11-13T11:31:36.288;536844298112910307;-154;-408;650
2021-11-13T11:31:36.308;536844298132642468;-169;-460;674
2021-11-13T11:31:36.328;536844298152374629;-204;-503;719
2021-11-13T11:31:36.347;536844298172106790;-218;-552;737
2021-11-13T11:31:36.367;536844298191838951;-169;-591;751
2021-11-13T11:31:36.387;536844298211571112;-162;-584;755
2021-11-13T11:31:36.407;536844298231303273;-177;-549;758
2021-11-13T11:31:36.426;536844298251035434;-200;-518;740
2021-11-13T11:31:36.446;536844298270767595;-161;-498;744
2021-11-13T11:31:36.466;536844298290499756;-134;-485;750
2021-11-13T11:31:36.486;536844298310231917;-218;-517;782
2021-11-13T11:31:36.505;536844298329964078;-301;-580;823
2021-11-13T11:31:36.525;536844298349696239;-315;-631;855
2021-11-13T11:31:36.545;536844298369428400;-213;-642;813
2021-11-13T11:31:36.565;536844298389160561;-125;-631;800
2021-11-13T11:31:36.584;536844298408892722;-152;-558;815
2021-11-13T11:31:36.604;536844298428632173;-239;-515;823
2021-11-13T11:31:36.624;536844298448371616;-237;-478;800
2021-11-13T11:31:36.643;536844298468111059;-132;-465;805
2021-11-13T11:31:36.663;536844298487850502;-130;-500;841
2021-11-13T11:31:36.683;536844298507589945;-195;-547;865
2021-11-13T11:31:36.703;536844298527329388;-248;-582;861
2021-11-13T11:31:36.722;536844298547068831;-223;-593;871
