Phone timestamp;HR [bpm]
2021-11-13T11:34:31.242;118
2021-11-13T11:34:32.233;119
2021-11-13T11:34:33.169;119
2021-11-13T11:34:34.186;120
2021-11-13T11:34:35.241;119
2021-11-13T11:34:36.165;118
2021-11-13T11:34:37.154;118
2021-11-13T11:34:38.202;118
2021-11-13T11:34:39.165;119
2021-11-13T11:34:40.156;120
2021-11-13T11:34:41.146;120
2021-11-13T11:34:42.164;120
2021-11-13T11:34:43.156;119
2021-11-13T11:34:44.146;119
2021-11-13T11:34:45.166;118
2021-11-13T11:34:46.191;118
2021-11-13T11:34:47.204;118
2021-11-13T11:34:48.164;118
2021-11-13T11:34:49.154;118
2021-11-13T11:34:50.157;118
2021-11-13T11:34:51.195;118
