Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:37:26.623;536844751138386758;-3;982;-187
2021-11-13T11:37:26.642;536844751158088336;7;955;-157
2021-11-13T11:37:26.662;536844751177789914;-13;948;-177
2021-11-13T11:37:26.682;536844751197491492;13;971;-131
2021-11-13T11:37:26.701;536844751217193070;42;985;-117
2021-11-13T11:37:26.721;536844751236894648;77;988;-121
2021-11-13T11:37:26.741;536844751256596226;88;985;-117
2021-11-13T11:37:26.760;536844751276297804;109;982;-116
2021-11-13T11:37:26.780;536844751295999382;74;979;-80
2021-11-13T11:37:26.800;536844751315700960;36;975;-73
2021-11-13T11:37:26.820;536844751335402538;29;984;-68
2021-11-13T11:37:26.839;536844751355104116;51;977;-45
2021-11-13T11:37:26.859;536844751374805694;56;975;-85
2021-11-13T11:37:26.879;536844751394507272;106;974;-87
2021-11-13T11:37:26.898;536844751414208850;107;981;-117
2021-11-13T11:37:26.918;536844751433910428;84;983;-102
2021-11-13T11:37:26.938;536844751453612006;75;981;-93
2021-11-13T11:37:26.957;536844751473313584;75;976;-100
2021-11-13T11:37:26.977;536844751493015162;102;977;-86
2021-11-13T11:37:26.997;536844751512716740;98;970;-80
2021-11-13T11:37:27.017;536844751532418318;111;970;-95
2021-11-13T11:37:27.036;536844751552119896;148;970;-109
2021-11-13T11:37:27.056;536844751571821474;149;973;-89
2021-11-13T11:37:27.076;536844751591523052;160;980;-110
2021-11-13T11:37:27.095;536844751611224630;146;983;-109
2021-11-13T11:37:27.115;536844751630926208;169;980;-89
2021-11-13T11:37:27.135;536844751650627786;195;965;-27
2021-11-13T11:37:27.154;536844751670329364;187;979;17
2021-11-13T11:37:27.174;536844751690030942;151;984;-3
2021-11-13T11:37:27.194;536844751709732520;144;987;-1
2021-11-13T11:37:27.214;536844751729434098;145;980;-17
2021-11-13T11:37:27.233;536844751749135676;133;980;-14
2021-11-13T11:37:27.253;536844751768837254;128;979;-18
2021-11-13T11:37:27.273;536844751788538832;126;977;-53
2021-11-13T11:37:27.292;536844751808240410;121;976;-81
2021-11-13T11:37:27.312;536844751827941988;117;972;-110
2021-11-13T11:37:27.332;536844751847643566;123;979;-91
2021-11-13T11:37:27.351;536844751867345144;121;974;-98
2021-11-13T11:37:27.371;536844751887046722;125;975;-124
2021-11-13T11:37:27.391;536844751906748300;122;978;-132
2021-11-13T11:37:27.411;536844751926449878;127;977;-121
2021-11-13T11:37:27.430;536844751946151456;114;982;-89
2021-11-13T11:37:27.450;536844751965853034;90;981;-66
2021-11-13T11:37:27.470;536844751985554612;66;983;-35
2021-11-13T11:37:27.489;536844752005256190;56;983;-22
2021-11-13T11:37:27.509;536844752024957768;72;979;-67
2021-11-13T11:37:27.529;536844752044659346;79;982;-101
2021-11-13T11:37:27.548;536844752064360924;79;979;-113
2021-11-13T11:37:27.568;536844752084062502;100;983;-126
2021-11-13T11:37:27.588;536844752103764080;70;971;-162
2021-11-13T11:37:27.608;536844752123465658;39;979;-128
2021-11-13T11:37:27.627;536844752143167236;18;971;-142
2021-11-13T11:37:27.647;536844752162868814;7;977;-146
2021-11-13T11:37:27.667;536844752182570392;16;980;-126
2021-11-13T11:37:27.686;536844752202271970;1;978;-121
2021-11-13T11:37:27.706;536844752221973548;-7;980;-118
2021-11-13T11:37:27.726;536844752241675126;-44;979;-112
2021-11-13T11:37:27.745;536844752261376704;-12;985;-113
2021-11-13T11:37:27.765;536844752281078282;-18;979;-135
2021-11-13T11:37:27.785;536844752300779860;-42;978;-160
2021-11-13T11:37:27.805;536844752320481438;-58;976;-158
2021-11-13T11:37:27.824;536844752340183016;-77;982;-135
2021-11-13T11:37:27.844;536844752359884594;-29;981;-145
2021-11-13T11:37:27.864;536844752379586172;-83;970;-179
2021-11-13T11:37:27.883;536844752399287750;-67;978;-211
2021-11-13T11:37:27.903;536844752418989328;-55;970;-214
2021-11-13T11:37:27.923;536844752438690906;-53;978;-178
2021-11-13T11:37:27.943;536844752458392484;-88;976;-173
2021-11-13T11:37:27.962;536844752478094062;-114;976;-162
2021-11-13T11:37:27.982;536844752497795640;-179;935;-201
2021-11-13T11:37:28.002;536844752517497218;-165;943;-220
2021-11-13T11:37:28.021;536844752537198796;-180;915;-191
2021-11-13T11:37:28.041;536844752556900405;-250;840;-204
2021-11-13T11:37:28.061;536844752576601982;51;1152;-67
2021-11-13T11:37:28.080;536844752596303559;-167;950;-156
2021-11-13T11:37:28.100;536844752616005136;-214;938;-165
2021-11-13T11:37:28.120;536844752635706713;-115;977;-220
2021-11-13T11:37:28.140;536844752655408290;-227;891;-307
2021-11-13T11:37:28.159;536844752675109867;-200;889;-337
2021-11-13T11:37:28.179;536844752694811444;-175;924;-325
2021-11-13T11:37:28.199;536844752714513021;-290;902;-304
2021-11-13T11:37:28.218;536844752734214598;-308;973;-249
2021-11-13T11:37:28.238;536844752753916175;-364;929;-231
2021-11-13T11:37:28.258;536844752773617752;-412;965;-222
2021-11-13T11:37:28.277;536844752793319329;-349;971;-219
2021-11-13T11:37:28.297;536844752813020906;-361;931;-242
2021-11-13T11:37:28.317;536844752832722483;-377;927;-193
2021-11-13T11:37:28.337;536844752852424060;-327;875;-285
2021-11-13T11:37:28.356;536844752872125637;-223;871;-378
2021-11-13T11:37:28.376;536844752891827214;-101;829;-375
2021-11-13T11:37:28.396;536844752911528791;-105;766;-330
2021-11-13T11:37:28.415;536844752931230368;-95;752;-273
2021-11-13T11:37:28.435;536844752950931945;-227;837;-188
2021-11-13T11:37:28.455;536844752970633522;-521;997;-106
2021-11-13T11:37:28.474;536844752990335099;-618;1096;-127
2021-11-13T11:37:28.494;536844753010036676;-400;964;-237
2021-11-13T11:37:28.514;536844753029738253;-220;890;-299
2021-11-13T11:37:28.534;536844753049439830;-276;925;-272
2021-11-13T11:37:28.553;536844753069141407;-356;938;-232
2021-11-13T11:37:28.573;536844753088842984;-326;910;-204
2021-11-13T11:37:28.593;536844753108544561;-274;923;-194
2021-11-13T11:37:28.612;536844753128246138;-270;925;-176
2021-11-13T11:37:28.632;536844753147947715;-295;920;-165
2021-11-13T11:37:28.652;536844753167649292;-307;928;-184
2021-11-13T11:37:28.671;536844753187350869;-311;929;-217
2021-11-13T11:37:28.691;536844753207052446;-320;917;-233
2021-11-13T11:37:28.711;536844753226754023;-308;920;-245
2021-11-13T11:37:28.731;536844753246455600;-303;919;-251
2021-11-13T11:37:28.750;536844753266152840;-294;915;-225
2021-11-13T11:37:28.770;536844753285850048;-303;933;-212
2021-11-13T11:37:28.790;536844753305547256;-273;940;-213
2021-11-13T11:37:28.809;536844753325244464;-257;928;-212
2021-11-13T11:37:28.829;536844753344941672;-291;914;-241
2021-11-13T11:37:28.849;536844753364638880;-296;928;-242
2021-11-13T11:37:28.868;536844753384336088;-294;916;-252
2021-11-13T11:37:28.888;536844753404033296;-288;941;-256
2021-11-13T11:37:28.908;536844753423730504;-289;934;-255
2021-11-13T11:37:28.928;536844753443427712;-284;934;-220
2021-11-13T11:37:28.947;536844753463124920;-280;935;-217
2021-11-13T11:37:28.967;536844753482822128;-282;921;-243
2021-11-13T11:37:28.987;536844753502519336;-290;904;-244
2021-11-13T11:37:29.006;536844753522216544;-260;922;-214
2021-11-13T11:37:29.026;536844753541913752;-289;901;-218
2021-11-13T11:37:29.046;536844753561610960;-321;909;-241
2021-11-13T11:37:29.065;536844753581308168;-287;937;-235
2021-11-13T11:37:29.085;536844753601005376;-267;959;-230
2021-11-13T11:37:29.105;536844753620702584;-269;928;-247
2021-11-13T11:37:29.125;536844753640399792;-273;914;-263
2021-11-13T11:37:29.144;536844753660097000;-282;928;-260
2021-11-13T11:37:29.164;536844753679794208;-231;927;-230
2021-11-13T11:37:29.184;536844753699491416;-206;945;-210
2021-11-13T11:37:29.203;536844753719188624;-229;932;-223
2021-11-13T11:37:29.223;536844753738885832;-222;906;-252
2021-11-13T11:37:29.243;536844753758583040;-154;980;-190
2021-11-13T11:37:29.262;536844753778280248;-121;967;-223
2021-11-13T11:37:29.282;536844753797977456;-217;901;-253
2021-11-13T11:37:29.302;536844753817674664;-182;900;-288
2021-11-13T11:37:29.321;536844753837371872;-170;951;-197
2021-11-13T11:37:29.341;536844753857069080;-78;991;-121
2021-11-13T11:37:29.361;536844753876766288;-106;958;-160
2021-11-13T11:37:29.381;536844753896463496;-141;926;-253
2021-11-13T11:37:29.400;536844753916160704;-138;956;-192
2021-11-13T11:37:29.420;536844753935857912;-22;986;-135
2021-11-13T11:37:29.440;536844753955555120;47;977;-111
2021-11-13T11:37:29.459;536844753975246519;32;987;-105
2021-11-13T11:37:29.479;536844753994937902;-59;983;-135
2021-11-13T11:37:29.499;536844754014629285;-18;978;-167
2021-11-13T11:37:29.518;536844754034320668;54;980;-145
2021-11-13T11:37:29.538;536844754054012051;100;978;-134
2021-11-13T11:37:29.558;536844754073703434;109;983;-145
2021-11-13T11:37:29.578;536844754093394817;79;976;-136
2021-11-13T11:37:29.597;536844754113086200;76;983;-104
2021-11-13T11:37:29.617;536844754132777583;66;983;-66
2021-11-13T11:37:29.637;536844754152468966;62;982;-45
2021-11-13T11:37:29.656;536844754172160349;72;977;-73
2021-11-13T11:37:29.676;536844754191851732;84;980;-40
2021-11-13T11:37:29.696;536844754211543115;116;980;-62
2021-11-13T11:37:29.715;536844754231234498;108;985;-42
2021-11-13T11:37:29.735;536844754250925881;92;981;-37
2021-11-13T11:37:29.755;536844754270617264;76;977;-27
2021-11-13T11:37:29.774;536844754290308647;86;971;-10
2021-11-13T11:37:29.794;536844754310000030;114;982;-6
2021-11-13T11:37:29.814;536844754329691413;120;979;-9
2021-11-13T11:37:29.833;536844754349382796;118;971;-48
2021-11-13T11:37:29.853;536844754369074179;127;970;-50
2021-11-13T11:37:29.873;536844754388765562;149;972;-75
2021-11-13T11:37:29.893;536844754408456945;166;975;-105
2021-11-13T11:37:29.912;536844754428148328;157;975;-112
2021-11-13T11:37:29.932;536844754447839711;187;976;-99
2021-11-13T11:37:29.952;536844754467531094;172;974;-93
2021-11-13T11:37:29.971;536844754487222477;186;964;-83
2021-11-13T11:37:29.991;536844754506913860;186;978;-40
2021-11-13T11:37:30.011;536844754526605243;142;980;18
2021-11-13T11:37:30.030;536844754546296626;125;984;45
2021-11-13T11:37:30.050;536844754565988009;128;983;55
2021-11-13T11:37:30.070;536844754585679392;125;984;38
2021-11-13T11:37:30.089;536844754605370775;158;978;11
2021-11-13T11:37:30.109;536844754625062158;139;980;-14
2021-11-13T11:37:30.129;536844754644753541;171;982;-15
2021-11-13T11:37:30.149;536844754664444924;162;982;-12
2021-11-13T11:37:30.168;536844754684146502;152;981;-12
2021-11-13T11:37:30.188;536844754703848080;132;979;-11
2021-11-13T11:37:30.208;536844754723549658;124;977;-4
2021-11-13T11:37:30.227;536844754743251236;145;987;7
2021-11-13T11:37:30.247;536844754762952814;167;987;-42
2021-11-13T11:37:30.267;536844754782654392;128;988;-60
2021-11-13T11:37:30.286;536844754802355970;117;979;-84
2021-11-13T11:37:30.306;536844754822057548;94;968;-93
2021-11-13T11:37:30.326;536844754841759126;76;967;-71
2021-11-13T11:37:30.346;536844754861460704;74;975;-42
2021-11-13T11:37:30.365;536844754881162282;59;978;-39
2021-11-13T11:37:30.385;536844754900863860;44;973;-41
2021-11-13T11:37:30.405;536844754920565438;49;979;-52
2021-11-13T11:37:30.424;536844754940267016;30;975;-71
2021-11-13T11:37:30.444;536844754959968594;40;985;-66
2021-11-13T11:37:30.464;536844754979670172;57;979;-57
2021-11-13T11:37:30.483;536844754999371750;22;978;-105
2021-11-13T11:37:30.503;536844755019073328;44;986;-94
2021-11-13T11:37:30.523;536844755038774906;38;984;-61
2021-11-13T11:37:30.543;536844755058476484;19;986;-91
2021-11-13T11:37:30.562;536844755078178062;8;995;-104
2021-11-13T11:37:30.582;536844755097879640;-16;1004;-64
2021-11-13T11:37:30.602;536844755117581218;-31;992;-75
2021-11-13T11:37:30.621;536844755137282796;-14;1003;-31
2021-11-13T11:37:30.641;536844755156984374;-61;995;-70
2021-11-13T11:37:30.661;536844755176685952;-36;953;-201
2021-11-13T11:37:30.681;536844755196387530;11;938;-238
2021-11-13T11:37:30.700;536844755216089108;6;981;-193
2021-11-13T11:37:30.720;536844755235790686;-95;985;-134
2021-11-13T11:37:30.740;536844755255492264;-192;992;-123
2021-11-13T11:37:30.759;536844755275193842;-242;1010;-13
2021-11-13T11:37:30.779;536844755294895420;-256;959;7
2021-11-13T11:37:30.799;536844755314596998;-258;948;-153
2021-11-13T11:37:30.818;536844755334298576;-234;946;-247
2021-11-13T11:37:30.838;536844755354000154;-109;925;-243
2021-11-13T11:37:30.858;536844755373701732;-67;871;-260
2021-11-13T11:37:30.878;536844755393403310;-83;822;-322
2021-11-13T11:37:30.897;536844755413104888;-52;816;-384
2021-11-13T11:37:30.917;536844755432806466;-80;839;-388
2021-11-13T11:37:30.937;536844755452508044;-79;808;-370
2021-11-13T11:37:30.956;536844755472209622;-317;885;-386
2021-11-13T11:37:30.976;536844755491911200;-458;1028;-227
2021-11-13T11:37:30.996;536844755511612778;-553;1014;-60
2021-11-13T11:37:31.015;536844755531314356;-485;977;-28
2021-11-13T11:37:31.035;536844755551015934;-394;929;-158
2021-11-13T11:37:31.055;536844755570717512;-254;874;-387
2021-11-13T11:37:31.075;536844755590419090;-137;865;-495
2021-11-13T11:37:31.094;536844755610120668;-183;886;-285
2021-11-13T11:37:31.114;536844755629822246;-357;945;-12
2021-11-13T11:37:31.134;536844755649523824;-512;974;100
2021-11-13T11:37:31.153;536844755669225402;-473;915;-75
2021-11-13T11:37:31.173;536844755688926980;-280;881;-308
2021-11-13T11:37:31.193;536844755708628558;-196;883;-305
2021-11-13T11:37:31.212;536844755728330136;-301;929;-146
2021-11-13T11:37:31.232;536844755748031714;-437;947;-107
2021-11-13T11:37:31.252;536844755767733292;-426;929;-192
2021-11-13T11:37:31.272;536844755787434870;-356;910;-293
2021-11-13T11:37:31.291;536844755807136448;-348;922;-298
2021-11-13T11:37:31.311;536844755826838026;-375;899;-245
2021-11-13T11:37:31.331;536844755846539604;-349;909;-212
2021-11-13T11:37:31.350;536844755866241182;-315;910;-219
2021-11-13T11:37:31.370;536844755885942760;-317;919;-224
2021-11-13T11:37:31.390;536844755905644338;-337;929;-228
2021-11-13T11:37:31.409;536844755925345916;-323;936;-223
2021-11-13T11:37:31.429;536844755945047494;-307;937;-229
2021-11-13T11:37:31.449;536844755964749072;-311;938;-241
2021-11-13T11:37:31.469;536844755984450650;-306;947;-249
2021-11-13T11:37:31.488;536844756004152228;-293;980;-264
2021-11-13T11:37:31.508;536844756023853806;-165;944;-325
2021-11-13T11:37:31.528;536844756043555384;-137;935;-254
2021-11-13T11:37:31.547;536844756063256962;-170;919;-95
2021-11-13T11:37:31.567;536844756082958540;-306;873;-1
2021-11-13T11:37:31.587;536844756102651403;-345;888;-13
2021-11-13T11:37:31.606;536844756122344242;-160;864;-136
2021-11-13T11:37:31.626;536844756142037081;12;783;-264
2021-11-13T11:37:31.646;536844756161729920;10;840;-357
