Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:52:50.141;536845572029887907;56;-1153;162
2021-11-13T11:52:50.160;536845572049634632;30;-990;358
2021-11-13T11:52:50.180;536845572069381357;-207;-1092;390
2021-11-13T11:52:50.200;536845572089128082;4;-1033;330
2021-11-13T11:52:50.219;536845572108874807;0;-1097;170
2021-11-13T11:52:50.239;536845572128621532;-41;-903;213
2021-11-13T11:52:50.259;536845572148368257;43;-1027;180
2021-11-13T11:52:50.279;536845572168114982;-154;-1117;380
2021-11-13T11:52:50.298;536845572187861707;-43;-1025;181
2021-11-13T11:52:50.318;536845572207608432;140;-1002;130
2021-11-13T11:52:50.338;536845572227355157;129;-963;148
2021-11-13T11:52:50.358;536845572247101882;-193;-1108;358
2021-11-13T11:52:50.377;536845572266848607;-80;-1081;279
2021-11-13T11:52:50.397;536845572286595332;55;-942;178
2021-11-13T11:52:50.417;536845572306342057;166;-1184;47
2021-11-13T11:52:50.437;536845572326088782;-117;-872;309
2021-11-13T11:52:50.456;536845572345835507;60;-1279;170
2021-11-13T11:52:50.476;536845572365582232;-109;-875;248
2021-11-13T11:52:50.496;536845572385328957;22;-1102;179
2021-11-13T11:52:50.516;536845572405075682;-72;-1065;144
2021-11-13T11:52:50.535;536845572424822407;14;-887;213
2021-11-13T11:52:50.555;536845572444569132;-14;-1261;264
2021-11-13T11:52:50.575;536845572464315857;-74;-1045;160
2021-11-13T11:52:50.595;536845572484062582;-43;-927;197
2021-11-13T11:52:50.614;536845572503809307;-73;-980;270
2021-11-13T11:52:50.634;536845572523556032;9;-1091;170
2021-11-13T11:52:50.654;536845572543302757;-48;-1240;239
2021-11-13T11:52:50.674;536845572563049482;-174;-955;176
2021-11-13T11:52:50.693;536845572582796207;14;-1020;98
2021-11-13T11:52:50.713;536845572602542932;3;-1094;110
2021-11-13T11:52:50.733;536845572622289657;-77;-930;271
2021-11-13T11:52:50.753;536845572642036382;-125;-1189;253
2021-11-13T11:52:50.772;536845572661783107;-163;-1007;240
2021-11-13T11:52:50.792;536845572681529832;-153;-1019;119
2021-11-13T11:52:50.812;536845572701276557;85;-1003;130
2021-11-13T11:52:50.832;536845572721023282;-182;-1115;269
2021-11-13T11:52:50.851;536845572740770007;-54;-1033;160
2021-11-13T11:52:50.871;536845572760516732;-97;-994;233
2021-11-13T11:52:50.891;536845572780263457;-156;-1058;212
2021-11-13T11:52:50.911;536845572800010182;-75;-1060;180
2021-11-13T11:52:50.930;536845572819756907;-42;-1172;212
2021-11-13T11:52:50.950;536845572839503632;-228;-793;246
2021-11-13T11:52:50.970;536845572859250357;-92;-1144;252
2021-11-13T11:52:50.990;536845572878997082;-122;-1196;280
2021-11-13T11:52:51.009;536845572898743807;-77;-917;160
2021-11-13T11:52:51.029;536845572918490532;-75;-1073;176
2021-11-13T11:52:51.049;536845572938237257;-141;-1022;168
2021-11-13T11:52:51.069;536845572957983982;-125;-896;143
2021-11-13T11:52:51.088;536845572977730707;-7;-1105;211
2021-11-13T11:52:51.108;536845572997477432;-232;-1060;354
2021-11-13T11:52:51.128;536845573017224157;-166;-1013;219
2021-11-13T11:52:51.148;536845573036970882;-119;-1006;203
2021-11-13T11:52:51.167;536845573056717607;-58;-1016;105
2021-11-13T11:52:51.187;536845573076464332;-84;-979;253
2021-11-13T11:52:51.207;536845573096211057;-112;-1098;291
2021-11-13T11:52:51.227;536845573115957782;-121;-1022;248
2021-11-13T11:52:51.246;536845573135704507;-136;-1047;210
2021-11-13T11:52:51.266;536845573155451232;-101;-1013;219
2021-11-13T11:52:51.286;536845573175197957;-123;-1004;229
2021-11-13T11:52:51.306;536845573194944682;-88;-1044;197
2021-11-13T11:52:51.325;536845573214691407;-135;-1004;219
2021-11-13T11:52:51.345;536845573234438132;-118;-1042;209
2021-11-13T11:52:51.365;536845573254184857;-115;-1019;231
2021-11-13T11:52:51.385;536845573273931582;-85;-1044;247
2021-11-13T11:52:51.404;536845573293678307;-161;-988;239
2021-11-13T11:52:51.424;536845573313425032;-111;-1006;187
2021-11-13T11:52:51.444;536845573333171757;-100;-1009;136
2021-11-13T11:52:51.464;536845573352918482;-49;-1063;60
2021-11-13T11:52:51.483;536845573372665207;-32;-1075;144
2021-11-13T11:52:51.503;536845573392411932;-79;-1027;219
2021-11-13T11:52:51.523;536845573412158657;-4;-1087;104
2021-11-13T11:52:51.543;536845573431905382;16;-1041;19
2021-11-13T11:52:51.562;536845573451646295;-134;-1081;234
2021-11-13T11:52:51.582;536845573471387194;-131;-1082;305
2021-11-13T11:52:51.602;536845573491128093;-141;-1071;255
2021-11-13T11:52:51.621;536845573510868992;-34;-1010;149
2021-11-13T11:52:51.641;536845573530609891;-47;-1050;278
2021-11-13T11:52:51.661;536845573550350790;-237;-1080;314
2021-11-13T11:52:51.681;536845573570091689;24;-1084;94
2021-11-13T11:52:51.700;536845573589832588;19;-1062;74
2021-11-13T11:52:51.720;536845573609573487;-10;-1014;159
2021-11-13T11:52:51.740;536845573629314386;-118;-1069;147
2021-11-13T11:52:51.760;536845573649055285;26;-1052;159
2021-11-13T11:52:51.779;536845573668796184;-43;-1090;383
2021-11-13T11:52:51.799;536845573688537083;-4;-1088;356
2021-11-13T11:52:51.819;536845573708277982;-22;-985;313
2021-11-13T11:52:51.839;536845573728018881;-101;-1063;308
2021-11-13T11:52:51.858;536845573747759780;-18;-993;161
2021-11-13T11:52:51.878;536845573767500679;137;-1053;112
2021-11-13T11:52:51.898;536845573787241578;-106;-1033;74
2021-11-13T11:52:51.918;536845573806982477;80;-947;189
2021-11-13T11:52:51.937;536845573826723376;-14;-1041;312
2021-11-13T11:52:51.957;536845573846464275;-84;-1006;447
2021-11-13T11:52:51.977;536845573866205174;-92;-1032;460
2021-11-13T11:52:51.997;536845573885946073;-29;-1016;343
2021-11-13T11:52:52.016;536845573905686972;-1;-1019;220
2021-11-13T11:52:52.036;536845573925427871;-74;-985;267
2021-11-13T11:52:52.056;536845573945168770;-48;-984;403
2021-11-13T11:52:52.076;536845573964909669;-76;-995;471
2021-11-13T11:52:52.095;536845573984650568;-115;-1037;456
2021-11-13T11:52:52.115;536845574004391467;-83;-1017;266
2021-11-13T11:52:52.135;536845574024132366;-64;-975;205
2021-11-13T11:52:52.154;536845574043873265;-80;-902;267
2021-11-13T11:52:52.174;536845574063614164;-36;-992;470
2021-11-13T11:52:52.194;536845574083355063;-379;-1007;617
2021-11-13T11:52:52.214;536845574103095962;-149;-942;452
2021-11-13T11:52:52.233;536845574122836861;-78;-930;310
2021-11-13T11:52:52.253;536845574142577760;-161;-929;302
2021-11-13T11:52:52.273;536845574162315747;-83;-896;428
2021-11-13T11:52:52.293;536845574182053734;-363;-900;624
2021-11-13T11:52:52.312;536845574201791721;-85;-1032;437
2021-11-13T11:52:52.332;536845574221529708;-126;-846;376
2021-11-13T11:52:52.352;536845574241267695;-426;-649;445
2021-11-13T11:52:52.372;536845574261005682;1;-1104;396
2021-11-13T11:52:52.391;536845574280743669;-220;-1036;441
2021-11-13T11:52:52.411;536845574300481656;-135;-782;506
2021-11-13T11:52:52.431;536845574320219643;-246;-997;496
2021-11-13T11:52:52.451;536845574339957630;-62;-945;496
2021-11-13T11:52:52.470;536845574359695617;-233;-1001;439
2021-11-13T11:52:52.490;536845574379433604;-47;-963;291
2021-11-13T11:52:52.510;536845574399171591;-43;-1055;283
2021-11-13T11:52:52.530;536845574418909578;-149;-864;349
2021-11-13T11:52:52.549;536845574438647565;-130;-1030;349
2021-11-13T11:52:52.569;536845574458385552;-223;-1110;333
2021-11-13T11:52:52.589;536845574478123539;-12;-879;371
2021-11-13T11:52:52.608;536845574497861526;-94;-1062;317
2021-11-13T11:52:52.628;536845574517599513;-96;-1043;356
2021-11-13T11:52:52.648;536845574537337500;-93;-1025;343
2021-11-13T11:52:52.668;536845574557075487;125;-829;382
2021-11-13T11:52:52.687;536845574576813474;-206;-1264;252
2021-11-13T11:52:52.707;536845574596551461;-105;-910;219
2021-11-13T11:52:52.727;536845574616289448;257;-848;302
2021-11-13T11:52:52.747;536845574636027435;-115;-1209;348
2021-11-13T11:52:52.766;536845574655765422;-78;-1014;292
2021-11-13T11:52:52.786;536845574675503409;-102;-1007;91
2021-11-13T11:52:52.806;536845574695241396;400;-1006;204
2021-11-13T11:52:52.826;536845574714979383;-136;-1158;308
2021-11-13T11:52:52.845;536845574734717370;-125;-861;377
2021-11-13T11:52:52.865;536845574754455357;-26;-1093;294
2021-11-13T11:52:52.885;536845574774193344;164;-1095;162
2021-11-13T11:52:52.905;536845574793931331;14;-1042;233
2021-11-13T11:52:52.924;536845574813669318;-56;-1030;266
2021-11-13T11:52:52.944;536845574833407305;-86;-944;180
2021-11-13T11:52:52.964;536845574853145292;-26;-1112;168
2021-11-13T11:52:52.983;536845574872884741;46;-1048;250
2021-11-13T11:52:53.003;536845574892624184;34;-1119;161
2021-11-13T11:52:53.023;536845574912363627;-11;-974;139
2021-11-13T11:52:53.043;536845574932103070;-79;-1105;206
2021-11-13T11:52:53.062;536845574951842513;-209;-913;228
2021-11-13T11:52:53.082;536845574971581956;166;-1110;138
2021-11-13T11:52:53.102;536845574991321399;-135;-999;354
2021-11-13T11:52:53.122;536845575011060842;-74;-1197;203
2021-11-13T11:52:53.141;536845575030800285;-45;-954;253
2021-11-13T11:52:53.161;536845575050539728;-65;-1107;56
2021-11-13T11:52:53.181;536845575070279171;-33;-948;94
2021-11-13T11:52:53.201;536845575090018614;-52;-1098;209
2021-11-13T11:52:53.220;536845575109758057;-116;-1043;254
2021-11-13T11:52:53.240;536845575129497500;-47;-1066;237
2021-11-13T11:52:53.260;536845575149236943;-18;-1073;208
2021-11-13T11:52:53.280;536845575168976386;-89;-1099;133
2021-11-13T11:52:53.299;536845575188715829;-84;-957;150
2021-11-13T11:52:53.319;536845575208455272;-84;-1010;180
2021-11-13T11:52:53.339;536845575228194715;-187;-1039;217
2021-11-13T11:52:53.359;536845575247934158;-42;-1080;199
2021-11-13T11:52:53.378;536845575267673601;-135;-1074;312
2021-11-13T11:52:53.398;536845575287413044;-123;-1088;246
2021-11-13T11:52:53.418;536845575307152487;-37;-959;110
2021-11-13T11:52:53.438;536845575326891930;14;-1065;135
2021-11-13T11:52:53.457;536845575346631373;-80;-1088;234
2021-11-13T11:52:53.477;536845575366370816;-177;-1026;263
2021-11-13T11:52:53.497;536845575386110259;-178;-1020;184
2021-11-13T11:52:53.516;536845575405849702;-129;-950;191
2021-11-13T11:52:53.536;536845575425589145;-106;-1099;170
2021-11-13T11:52:53.556;536845575445328588;-42;-1011;214
2021-11-13T11:52:53.576;536845575465068031;-147;-1030;233
2021-11-13T11:52:53.595;536845575484807474;-62;-1035;172
2021-11-13T11:52:53.615;536845575504546917;-15;-1041;131
2021-11-13T11:52:53.635;536845575524286360;-106;-1062;169
2021-11-13T11:52:53.655;536845575544025803;-101;-1004;206
2021-11-13T11:52:53.674;536845575563765246;-131;-1024;230
2021-11-13T11:52:53.694;536845575583509066;-176;-1030;287
2021-11-13T11:52:53.714;536845575603252878;-71;-1064;220
2021-11-13T11:52:53.734;536845575622996690;-89;-1018;214
2021-11-13T11:52:53.753;536845575642740502;-83;-1041;190
2021-11-13T11:52:53.773;536845575662484314;-77;-1025;195
2021-11-13T11:52:53.793;536845575682228126;-105;-1019;211
2021-11-13T11:52:53.813;536845575701971938;-118;-1040;239
2021-11-13T11:52:53.832;536845575721715750;-115;-1015;228
2021-11-13T11:52:53.852;536845575741459562;-97;-1042;219
2021-11-13T11:52:53.872;536845575761203374;-104;-1048;203
2021-11-13T11:52:53.892;536845575780947186;-81;-1016;194
2021-11-13T11:52:53.911;536845575800690998;-74;-996;191
2021-11-13T11:52:53.931;536845575820434810;-136;-1038;93
2021-11-13T11:52:53.951;536845575840178622;-78;-971;227
2021-11-13T11:52:53.971;536845575859922434;-187;-1125;222
2021-11-13T11:52:53.990;536845575879666246;-125;-931;113
2021-11-13T11:52:54.010;536845575899410058;50;-1104;-67
2021-11-13T11:52:54.030;536845575919153870;75;-1016;-8
2021-11-13T11:52:54.050;536845575938897682;-135;-1111;271
2021-11-13T11:52:54.069;536845575958641494;-96;-1088;325
2021-11-13T11:52:54.089;536845575978385306;-64;-1072;183
2021-11-13T11:52:54.109;536845575998129118;-77;-1047;166
2021-11-13T11:52:54.128;536845576017872930;-139;-1050;237
2021-11-13T11:52:54.148;536845576037616742;-172;-1082;184
2021-11-13T11:52:54.168;536845576057360554;-45;-1024;160
2021-11-13T11:52:54.188;536845576077104366;-80;-1065;32
2021-11-13T11:52:54.207;536845576096848178;-54;-1036;141
2021-11-13T11:52:54.227;536845576116591990;-127;-1064;93
2021-11-13T11:52:54.247;536845576136335802;-38;-1049;145
2021-11-13T11:52:54.267;536845576156079614;-55;-1078;237
2021-11-13T11:52:54.286;536845576175823426;-127;-1031;169
2021-11-13T11:52:54.306;536845576195567238;-51;-1019;175
2021-11-13T11:52:54.326;536845576215311050;-87;-1082;192
2021-11-13T11:52:54.346;536845576235054862;-36;-1064;422
2021-11-13T11:52:54.365;536845576254798674;-58;-1067;261
2021-11-13T11:52:54.385;536845576274542486;-53;-1034;223
2021-11-13T11:52:54.405;536845576294279036;-1;-1041;235
2021-11-13T11:52:54.425;536845576314015566;-22;-1067;172
2021-11-13T11:52:54.444;536845576333752096;-37;-1021;120
2021-11-13T11:52:54.464;536845576353488626;-87;-1022;117
2021-11-13T11:52:54.484;536845576373225156;-3;-1035;216
2021-11-13T11:52:54.504;536845576392961686;-72;-998;387
2021-11-13T11:52:54.523;536845576412698216;-48;-1048;450
2021-11-13T11:52:54.543;536845576432434746;-95;-1044;406
2021-11-13T11:52:54.563;536845576452171276;-22;-997;260
2021-11-13T11:52:54.583;536845576471907806;-40;-1017;132
2021-11-13T11:52:54.602;536845576491644336;-73;-954;315
2021-11-13T11:52:54.622;536845576511380866;-182;-991;419
2021-11-13T11:52:54.642;536845576531117396;-131;-993;436
2021-11-13T11:52:54.661;536845576550853926;-105;-1008;365
2021-11-13T11:52:54.681;536845576570590456;-99;-992;270
2021-11-13T11:52:54.701;536845576590326986;-107;-959;336
2021-11-13T11:52:54.721;536845576610063516;-44;-975;372
2021-11-13T11:52:54.740;536845576629800046;-262;-912;491
2021-11-13T11:52:54.760;536845576649536576;-168;-996;492
2021-11-13T11:52:54.780;536845576669273106;-216;-937;341
2021-11-13T11:52:54.800;536845576689009636;-63;-958;266
2021-11-13T11:52:54.819;536845576708746166;-224;-1006;452
2021-11-13T11:52:54.839;536845576728482696;-162;-793;486
2021-11-13T11:52:54.859;536845576748219226;-206;-930;441
2021-11-13T11:52:54.879;536845576767955756;-148;-903;470
2021-11-13T11:52:54.898;536845576787692286;-238;-917;401
2021-11-13T11:52:54.918;536845576807428816;-113;-905;423
2021-11-13T11:52:54.938;536845576827165346;-185;-977;495
2021-11-13T11:52:54.958;536845576846901876;-143;-1000;510
2021-11-13T11:52:54.977;536845576866638406;-257;-855;465
2021-11-13T11:52:54.997;536845576886374936;13;-958;381
2021-11-13T11:52:55.017;536845576906111466;-137;-1046;331
2021-11-13T11:52:55.036;536845576925847996;-145;-857;391
2021-11-13T11:52:55.056;536845576945584526;-199;-913;342
2021-11-13T11:52:55.076;536845576965321056;34;-1237;305
2021-11-13T11:52:55.096;536845576985057586;-292;-950;377
2021-11-13T11:52:55.115;536845577004797031;-126;-935;348
2021-11-13T11:52:55.135;536845577024536474;8;-1074;259
2021-11-13T11:52:55.155;536845577044275917;72;-951;437
2021-11-13T11:52:55.175;536845577064015360;-329;-1024;464
2021-11-13T11:52:55.194;536845577083754803;-100;-1027;252
2021-11-13T11:52:55.214;536845577103494246;9;-1024;276
