Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:52:51.163;536845675708157900;-55;983;-87
2021-11-13T11:52:51.182;536845675727853652;-90;984;-65
2021-11-13T11:52:51.202;536845675747549404;-89;986;-80
2021-11-13T11:52:51.222;536845675767245156;-105;985;-122
2021-11-13T11:52:51.241;536845675786940908;-122;986;-174
2021-11-13T11:52:51.261;536845675806636660;-119;980;-191
2021-11-13T11:52:51.281;536845675826332412;-114;971;-177
2021-11-13T11:52:51.300;536845675846028164;-111;971;-163
2021-11-13T11:52:51.320;536845675865723916;-99;981;-137
2021-11-13T11:52:51.340;536845675885419668;-73;979;-116
2021-11-13T11:52:51.359;536845675905115420;-88;980;-112
2021-11-13T11:52:51.379;536845675924811172;-114;975;-121
2021-11-13T11:52:51.399;536845675944506924;-109;978;-130
2021-11-13T11:52:51.419;536845675964202676;-110;981;-148
2021-11-13T11:52:51.438;536845675983898428;-106;982;-161
2021-11-13T11:52:51.458;536845676003594180;-77;989;-175
2021-11-13T11:52:51.478;536845676023289932;-64;1033;-173
2021-11-13T11:52:51.497;536845676042985684;-54;1103;-160
2021-11-13T11:52:51.517;536845676062681436;-135;1185;-177
2021-11-13T11:52:51.537;536845676082377188;-226;1255;-198
2021-11-13T11:52:51.556;536845676102072940;-210;1255;-164
2021-11-13T11:52:51.576;536845676121768692;-227;1260;-71
2021-11-13T11:52:51.596;536845676141464444;-182;1167;-48
2021-11-13T11:52:51.616;536845676161160196;-203;1134;-115
2021-11-13T11:52:51.635;536845676180855948;-151;1155;-167
2021-11-13T11:52:51.655;536845676200551700;-201;1185;-177
2021-11-13T11:52:51.675;536845676220247452;-389;1189;-105
2021-11-13T11:52:51.694;536845676239943204;-343;1175;-107
2021-11-13T11:52:51.714;536845676259638956;-235;1217;-145
2021-11-13T11:52:51.734;536845676279334708;-130;1204;-150
2021-11-13T11:52:51.753;536845676299030460;-56;1196;-140
2021-11-13T11:52:51.773;536845676318726212;-43;1186;-127
2021-11-13T11:52:51.793;536845676338421964;-76;1159;-160
2021-11-13T11:52:51.812;536845676358117716;-114;1143;-168
2021-11-13T11:52:51.832;536845676377813468;-112;1111;-160
2021-11-13T11:52:51.852;536845676397509220;-120;1085;-148
2021-11-13T11:52:51.872;536845676417204992;-160;1032;-129
2021-11-13T11:52:51.891;536845676436900744;-207;1000;-97
2021-11-13T11:52:51.911;536845676456596496;-193;1005;-102
2021-11-13T11:52:51.931;536845676476292248;-125;1005;-118
2021-11-13T11:52:51.950;536845676495988000;-104;983;-142
