Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T10:35:41.296;536585983797915303;330;832;209
2021-12-04T10:35:41.315;536585983817573190;299;921;66
2021-12-04T10:35:41.335;536585983837231077;240;902;54
2021-12-04T10:35:41.354;536585983856888964;230;896;184
2021-12-04T10:35:41.374;536585983876546851;212;935;166
2021-12-04T10:35:41.394;536585983896204738;248;931;81
2021-12-04T10:35:41.413;536585983915862625;256;958;89
2021-12-04T10:35:41.433;536585983935520512;214;967;16
2021-12-04T10:35:41.453;536585983955178399;237;934;77
2021-12-04T10:35:41.472;536585983974836286;95;982;75
2021-12-04T10:35:41.492;536585983994494173;217;1006;27
2021-12-04T10:35:41.512;536585984014152060;177;947;135
2021-12-04T10:35:41.531;536585984033809947;190;968;127
2021-12-04T10:35:41.551;536585984053467834;150;979;94
2021-12-04T10:35:41.571;536585984073125721;145;961;124
2021-12-04T10:35:41.590;536585984092783608;88;1001;134
2021-12-04T10:35:41.610;536585984112441495;81;971;159
2021-12-04T10:35:41.630;536585984132099382;152;983;154
2021-12-04T10:35:41.649;536585984151757269;108;958;148
2021-12-04T10:35:41.669;536585984171415156;83;974;108
2021-12-04T10:35:41.689;536585984191073043;157;1050;-16
2021-12-04T10:35:41.708;536585984210730930;150;1025;25
2021-12-04T10:35:41.728;536585984230388817;100;974;88
2021-12-04T10:35:41.748;536585984250046704;61;999;83
2021-12-04T10:35:41.767;536585984269704591;135;1005;110
2021-12-04T10:35:41.787;536585984289362478;154;1003;118
2021-12-04T10:35:41.807;536585984309020365;114;1026;-1
2021-12-04T10:35:41.826;536585984328678252;27;1086;-68
2021-12-04T10:35:41.846;536585984348336139;177;990;153
2021-12-04T10:35:41.866;536585984367994026;121;996;119
2021-12-04T10:35:41.885;536585984387651913;116;1010;30
2021-12-04T10:35:41.905;536585984407309800;113;998;133
2021-12-04T10:35:41.925;536585984426967687;89;1039;53
2021-12-04T10:35:41.944;536585984446625574;130;1046;51
2021-12-04T10:35:41.964;536585984466283461;44;1021;149
2021-12-04T10:35:41.984;536585984485941348;155;997;181
2021-12-04T10:35:42.003;536585984505599247;117;986;146
2021-12-04T10:35:42.023;536585984525257134;168;990;133
2021-12-04T10:35:42.042;536585984544915021;78;1029;119
2021-12-04T10:35:42.062;536585984564572908;133;984;133
2021-12-04T10:35:42.082;536585984584230795;119;956;212
2021-12-04T10:35:42.101;536585984603888682;145;985;145
2021-12-04T10:35:42.121;536585984623546569;142;1000;118
2021-12-04T10:35:42.141;536585984643204456;218;987;192
2021-12-04T10:35:42.160;536585984662862343;178;974;184
2021-12-04T10:35:42.180;536585984682520230;163;985;134
2021-12-04T10:35:42.200;536585984702178117;132;988;174
2021-12-04T10:35:42.219;536585984721836004;208;1000;183
2021-12-04T10:35:42.239;536585984741493891;201;974;237
2021-12-04T10:35:42.259;536585984761151778;190;987;194
2021-12-04T10:35:42.278;536585984780809665;195;993;137
2021-12-04T10:35:42.298;536585984800467552;189;989;204
2021-12-04T10:35:42.318;536585984820125439;175;969;218
2021-12-04T10:35:42.337;536585984839783326;218;941;191
2021-12-04T10:35:42.357;536585984859441213;201;947;181
2021-12-04T10:35:42.377;536585984879099100;200;969;116
2021-12-04T10:35:42.396;536585984898756987;206;982;174
2021-12-04T10:35:42.416;536585984918414874;259;896;184
2021-12-04T10:35:42.436;536585984938072761;249;947;173
2021-12-04T10:35:42.455;536585984957730648;194;981;193
2021-12-04T10:35:42.475;536585984977388535;239;972;234
2021-12-04T10:35:42.495;536585984997046422;194;965;210
2021-12-04T10:35:42.514;536585985016704309;181;978;207
2021-12-04T10:35:42.534;536585985036362196;215;992;223
2021-12-04T10:35:42.554;536585985056020083;221;991;222
2021-12-04T10:35:42.573;536585985075677970;226;1033;242
2021-12-04T10:35:42.593;536585985095335857;242;1058;242
2021-12-04T10:35:42.613;536585985114993744;238;1084;216
2021-12-04T10:35:42.632;536585985134651631;247;1068;191
2021-12-04T10:35:42.652;536585985154309518;239;1041;206
2021-12-04T10:35:42.672;536585985173967405;287;986;210
2021-12-04T10:35:42.691;536585985193625292;252;1024;197
2021-12-04T10:35:42.711;536585985213283551;290;1047;195
2021-12-04T10:35:42.731;536585985232941802;195;1043;193
2021-12-04T10:35:42.750;536585985252600053;200;1053;219
2021-12-04T10:35:42.770;536585985272258304;167;1114;222
2021-12-04T10:35:42.790;536585985291916555;258;1131;224
2021-12-04T10:35:42.809;536585985311574806;201;1132;281
2021-12-04T10:35:42.829;536585985331233057;214;1115;311
2021-12-04T10:35:42.848;536585985350891308;154;1130;269
2021-12-04T10:35:42.868;536585985370549559;132;1154;250
2021-12-04T10:35:42.888;536585985390207810;237;1162;238
2021-12-04T10:35:42.907;536585985409866061;239;1129;167
2021-12-04T10:35:42.927;536585985429524312;142;1176;116
2021-12-04T10:35:42.947;536585985449182563;200;1142;218
2021-12-04T10:35:42.966;536585985468840814;161;1070;287
2021-12-04T10:35:42.986;536585985488499065;170;1026;291
2021-12-04T10:35:43.006;536585985508157316;57;1094;262
2021-12-04T10:35:43.025;536585985527815567;157;1087;201
2021-12-04T10:35:43.045;536585985547473818;171;1095;134
2021-12-04T10:35:43.065;536585985567132069;71;1044;234
2021-12-04T10:35:43.084;536585985586790320;152;959;261
2021-12-04T10:35:43.104;536585985606448571;87;977;214
2021-12-04T10:35:43.124;536585985626106822;66;916;293
2021-12-04T10:35:43.143;536585985645765073;255;928;167
2021-12-04T10:35:43.163;536585985665423324;58;966;62
2021-12-04T10:35:43.183;536585985685081575;168;932;69
2021-12-04T10:35:43.202;536585985704739826;82;856;90
2021-12-04T10:35:43.222;536585985724398077;126;883;138
2021-12-04T10:35:43.242;536585985744056328;135;796;122
2021-12-04T10:35:43.261;536585985763714579;143;872;145
2021-12-04T10:35:43.281;536585985783372830;76;891;108
2021-12-04T10:35:43.301;536585985803031081;229;879;164
2021-12-04T10:35:43.320;536585985822689332;173;813;160
2021-12-04T10:35:43.340;536585985842347583;68;866;139
2021-12-04T10:35:43.360;536585985862005834;244;825;211
2021-12-04T10:35:43.379;536585985881664085;200;812;188
2021-12-04T10:35:43.399;536585985901322336;45;874;146
