Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-12-04T10:23:25.025;536585430489703518;-217;974;0
2021-12-04T10:23:25.044;536585430509463532;-216;973;2
2021-12-04T10:23:25.064;536585430529223546;-213;973;0
2021-12-04T10:23:25.084;536585430548983560;-214;972;0
2021-12-04T10:23:25.104;536585430568743574;-215;972;4
2021-12-04T10:23:25.123;536585430588503588;-221;973;13
2021-12-04T10:23:25.143;536585430608263602;-218;975;10
2021-12-04T10:23:25.163;536585430628023616;-223;973;7
2021-12-04T10:23:25.183;536585430647783630;-211;971;10
2021-12-04T10:23:25.202;536585430667543644;-214;973;14
2021-12-04T10:23:25.222;536585430687303658;-224;974;14
2021-12-04T10:23:25.242;536585430707063672;-211;974;7
2021-12-04T10:23:25.262;536585430726823686;-210;971;6
2021-12-04T10:23:25.281;536585430746583700;-218;971;12
2021-12-04T10:23:25.301;536585430766343714;-214;974;14
2021-12-04T10:23:25.321;536585430786103728;-216;975;11
2021-12-04T10:23:25.341;536585430805863742;-215;974;9
2021-12-04T10:23:25.360;536585430825623756;-210;975;6
2021-12-04T10:23:25.380;536585430845383770;-209;973;5
2021-12-04T10:23:25.400;536585430865143784;-212;975;1
2021-12-04T10:23:25.420;536585430884903798;-208;972;11
2021-12-04T10:23:25.439;536585430904663812;-214;975;15
2021-12-04T10:23:25.459;536585430924423826;-216;973;5
2021-12-04T10:23:25.479;536585430944183840;-208;973;5
2021-12-04T10:23:25.499;536585430963943854;-210;969;7
2021-12-04T10:23:25.519;536585430983703868;-210;967;9
2021-12-04T10:23:25.538;536585431003463882;-207;968;13
2021-12-04T10:23:25.558;536585431023223896;-215;959;18
2021-12-04T10:23:25.578;536585431042983910;-190;941;18
2021-12-04T10:23:25.598;536585431062743924;-139;906;25
2021-12-04T10:23:25.617;536585431082503938;-175;970;33
2021-12-04T10:23:25.637;536585431102263952;-291;1057;7
2021-12-04T10:23:25.657;536585431122023966;-282;1015;8
2021-12-04T10:23:25.677;536585431141783980;-227;963;13
2021-12-04T10:23:25.696;536585431161543994;-220;963;3
2021-12-04T10:23:25.716;536585431181304008;-241;974;-21
2021-12-04T10:23:25.736;536585431201064034;-245;978;-24
2021-12-04T10:23:25.756;536585431220824048;-242;979;-12
2021-12-04T10:23:25.775;536585431240584062;-233;977;-14
2021-12-04T10:23:25.795;536585431260344076;-220;973;-16
2021-12-04T10:23:25.815;536585431280104090;-205;974;-20
2021-12-04T10:23:25.835;536585431299864104;-213;972;-17
2021-12-04T10:23:25.854;536585431319624118;-216;973;-26
2021-12-04T10:23:25.874;536585431339384132;-205;975;-21
2021-12-04T10:23:25.894;536585431359144146;-215;974;-18
2021-12-04T10:23:25.914;536585431378904160;-210;976;-13
2021-12-04T10:23:25.933;536585431398664174;-215;972;-15
2021-12-04T10:23:25.953;536585431418424188;-215;972;-11
2021-12-04T10:23:25.973;536585431438184202;-217;973;-14
2021-12-04T10:23:25.993;536585431457944216;-222;975;-13
2021-12-04T10:23:26.013;536585431477704230;-218;974;-12
2021-12-04T10:23:26.032;536585431497464244;-222;974;-12
2021-12-04T10:23:26.052;536585431517224258;-225;971;-11
2021-12-04T10:23:26.072;536585431536984272;-223;974;-10
2021-12-04T10:23:26.092;536585431556744286;-224;973;-10
2021-12-04T10:23:26.111;536585431576504300;-218;973;-11
2021-12-04T10:23:26.131;536585431596264314;-218;973;-12
2021-12-04T10:23:26.151;536585431616024328;-224;974;-15
2021-12-04T10:23:26.171;536585431635784342;-230;975;-22
2021-12-04T10:23:26.190;536585431655544356;-224;976;-27
2021-12-04T10:23:26.210;536585431675304370;-214;972;-16
2021-12-04T10:23:26.230;536585431695064384;-205;971;-2
2021-12-04T10:23:26.250;536585431714824398;-209;972;2
2021-12-04T10:23:26.269;536585431734584412;-211;971;-7
2021-12-04T10:23:26.289;536585431754344426;-221;975;-13
2021-12-04T10:23:26.309;536585431774104440;-230;975;-11
2021-12-04T10:23:26.329;536585431793864454;-216;972;-8
2021-12-04T10:23:26.348;536585431813624468;-221;972;-1
2021-12-04T10:23:26.368;536585431833384482;-232;971;3
2021-12-04T10:23:26.388;536585431853144496;-229;975;-1
2021-12-04T10:23:26.408;536585431872904510;-228;972;-6
2021-12-04T10:23:26.427;536585431892664524;-227;975;-15
