Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T10:57:41.657;536842366138586851;-241;942;-196
2021-11-13T10:57:41.676;536842366158277870;-242;944;-215
2021-11-13T10:57:41.696;536842366177968889;-242;946;-219
2021-11-13T10:57:41.716;536842366197659908;-244;939;-216
2021-11-13T10:57:41.735;536842366217350927;-241;938;-205
2021-11-13T10:57:41.755;536842366237041946;-238;939;-203
2021-11-13T10:57:41.775;536842366256732965;-238;944;-200
2021-11-13T10:57:41.794;536842366276423984;-236;947;-208
2021-11-13T10:57:41.814;536842366296115003;-233;949;-218
2021-11-13T10:57:41.834;536842366315806022;-233;938;-217
2021-11-13T10:57:41.853;536842366335497041;-238;941;-212
2021-11-13T10:57:41.873;536842366355188060;-239;938;-210
2021-11-13T10:57:41.893;536842366374879079;-242;937;-212
2021-11-13T10:57:41.912;536842366394570098;-244;942;-217
2021-11-13T10:57:41.932;536842366414261117;-241;946;-230
2021-11-13T10:57:41.952;536842366433952136;-241;947;-226
2021-11-13T10:57:41.972;536842366453643155;-241;937;-223
2021-11-13T10:57:41.991;536842366473334174;-242;934;-220
2021-11-13T10:57:42.011;536842366493025193;-238;941;-208
2021-11-13T10:57:42.031;536842366512716212;-235;942;-207
2021-11-13T10:57:42.050;536842366532407231;-234;944;-213
2021-11-13T10:57:42.070;536842366552098250;-235;942;-213
2021-11-13T10:57:42.090;536842366571789269;-237;946;-205
2021-11-13T10:57:42.109;536842366591480288;-238;945;-210
2021-11-13T10:57:42.129;536842366611171307;-238;939;-217
2021-11-13T10:57:42.149;536842366630862326;-237;945;-214
2021-11-13T10:57:42.168;536842366650553345;-237;941;-212
2021-11-13T10:57:42.188;536842366670244364;-238;935;-205
2021-11-13T10:57:42.208;536842366689935383;-236;942;-191
2021-11-13T10:57:42.228;536842366709626402;-238;945;-186
2021-11-13T10:57:42.247;536842366729317421;-238;943;-198
2021-11-13T10:57:42.267;536842366749008440;-238;945;-203
2021-11-13T10:57:42.287;536842366768699459;-239;942;-206
2021-11-13T10:57:42.306;536842366788390478;-240;940;-209
2021-11-13T10:57:42.326;536842366808081497;-240;941;-201
2021-11-13T10:57:42.346;536842366827772516;-238;945;-205
2021-11-13T10:57:42.365;536842366847463551;-240;946;-206
2021-11-13T10:57:42.385;536842366867154570;-238;944;-211
2021-11-13T10:57:42.405;536842366886845589;-235;942;-214
2021-11-13T10:57:42.424;536842366906536608;-238;941;-220
2021-11-13T10:57:42.444;536842366926227627;-239;938;-222
2021-11-13T10:57:42.464;536842366945918646;-240;931;-228
2021-11-13T10:57:42.484;536842366965609665;-242;937;-222
2021-11-13T10:57:42.503;536842366985300684;-247;937;-210
2021-11-13T10:57:42.523;536842367004991703;-244;941;-212
2021-11-13T10:57:42.543;536842367024682722;-249;942;-209
2021-11-13T10:57:42.562;536842367044373741;-242;948;-205
2021-11-13T10:57:42.582;536842367064064760;-232;940;-206
2021-11-13T10:57:42.602;536842367083755779;-236;935;-206
2021-11-13T10:57:42.621;536842367103446798;-238;937;-204
2021-11-13T10:57:42.641;536842367123137817;-238;946;-208
2021-11-13T10:57:42.661;536842367142828836;-240;952;-211
2021-11-13T10:57:42.680;536842367162519855;-242;943;-219
2021-11-13T10:57:42.700;536842367182210874;-240;936;-224
2021-11-13T10:57:42.720;536842367201901893;-237;928;-226
2021-11-13T10:57:42.740;536842367221592912;-236;938;-227
2021-11-13T10:57:42.759;536842367241283931;-240;941;-227
2021-11-13T10:57:42.779;536842367260974950;-245;942;-227
2021-11-13T10:57:42.799;536842367280665969;-251;933;-225
2021-11-13T10:57:42.818;536842367300356988;-258;936;-212
2021-11-13T10:57:42.838;536842367320048007;-246;937;-218
2021-11-13T10:57:42.858;536842367339739026;-241;941;-229
2021-11-13T10:57:42.877;536842367359430045;-242;936;-228
2021-11-13T10:57:42.897;536842367379121064;-242;934;-221
2021-11-13T10:57:42.917;536842367398812083;-238;935;-218
2021-11-13T10:57:42.936;536842367418503102;-240;945;-217
2021-11-13T10:57:42.956;536842367438194121;-239;947;-226
2021-11-13T10:57:42.976;536842367457885140;-234;942;-233
2021-11-13T10:57:42.995;536842367477576159;-232;939;-226
2021-11-13T10:57:43.015;536842367497267178;-233;935;-222
2021-11-13T10:57:43.035;536842367516958197;-236;938;-227
2021-11-13T10:57:43.055;536842367536649216;-233;944;-229
2021-11-13T10:57:43.074;536842367556339329;-233;935;-225
2021-11-13T10:57:43.094;536842367576029438;-228;943;-218
2021-11-13T10:57:43.114;536842367595719547;-227;943;-223
2021-11-13T10:57:43.133;536842367615409656;-230;949;-223
2021-11-13T10:57:43.153;536842367635099765;-238;948;-215
2021-11-13T10:57:43.173;536842367654789874;-240;941;-214
2021-11-13T10:57:43.192;536842367674479983;-229;939;-208
2021-11-13T10:57:43.212;536842367694170092;-214;937;-196
2021-11-13T10:57:43.232;536842367713860201;-216;945;-207
2021-11-13T10:57:43.251;536842367733550310;-228;941;-216
2021-11-13T10:57:43.271;536842367753240419;-237;938;-211
2021-11-13T10:57:43.291;536842367772930528;-247;953;-216
2021-11-13T10:57:43.311;536842367792620637;-245;945;-231
2021-11-13T10:57:43.330;536842367812310746;-240;931;-232
2021-11-13T10:57:43.350;536842367832000855;-242;934;-219
2021-11-13T10:57:43.370;536842367851690964;-240;937;-222
2021-11-13T10:57:43.389;536842367871381073;-235;928;-231
2021-11-13T10:57:43.409;536842367891071182;-226;940;-221
2021-11-13T10:57:43.429;536842367910761291;-225;956;-220
2021-11-13T10:57:43.448;536842367930451400;-223;946;-223
2021-11-13T10:57:43.468;536842367950141509;-239;935;-223
2021-11-13T10:57:43.488;536842367969831618;-272;937;-215
2021-11-13T10:57:43.507;536842367989521727;-292;916;-235
2021-11-13T10:57:43.527;536842368009211836;-277;917;-243
2021-11-13T10:57:43.547;536842368028901945;-256;938;-241
2021-11-13T10:57:43.567;536842368048592054;-245;946;-247
2021-11-13T10:57:43.586;536842368068282163;-250;936;-242
2021-11-13T10:57:43.606;536842368087972272;-253;940;-226
2021-11-13T10:57:43.626;536842368107662381;-240;936;-219
2021-11-13T10:57:43.645;536842368127352490;-222;931;-215
2021-11-13T10:57:43.665;536842368147042599;-213;943;-211
2021-11-13T10:57:43.685;536842368166732708;-216;946;-217
2021-11-13T10:57:43.704;536842368186422817;-229;948;-225
2021-11-13T10:57:43.724;536842368206112926;-244;938;-230
2021-11-13T10:57:43.744;536842368225803035;-244;936;-234
2021-11-13T10:57:43.763;536842368245493144;-240;939;-233
2021-11-13T10:57:43.783;536842368265185647;-231;943;-230
2021-11-13T10:57:43.803;536842368284878122;-218;944;-223
2021-11-13T10:57:43.822;536842368304570597;-212;936;-203
2021-11-13T10:57:43.842;536842368324263072;-212;941;-192
2021-11-13T10:57:43.862;536842368343955547;-219;949;-191
2021-11-13T10:57:43.882;536842368363648022;-239;949;-209
2021-11-13T10:57:43.901;536842368383340497;-257;938;-226
2021-11-13T10:57:43.921;536842368403032972;-248;938;-229
2021-11-13T10:57:43.941;536842368422725447;-236;946;-232
2021-11-13T10:57:43.960;536842368442417922;-220;943;-219
2021-11-13T10:57:43.980;536842368462110397;-198;945;-200
2021-11-13T10:57:44.000;536842368481802872;-192;950;-184
2021-11-13T10:57:44.019;536842368501495347;-198;947;-185
2021-11-13T10:57:44.039;536842368521187822;-225;940;-204
2021-11-13T10:57:44.059;536842368540880297;-239;950;-212
2021-11-13T10:57:44.078;536842368560572772;-242;945;-226
2021-11-13T10:57:44.098;536842368580265247;-251;934;-234
2021-11-13T10:57:44.118;536842368599957722;-250;934;-226
2021-11-13T10:57:44.138;536842368619650197;-237;943;-220
2021-11-13T10:57:44.157;536842368639342672;-216;944;-226
2021-11-13T10:57:44.177;536842368659035147;-216;946;-220
2021-11-13T10:57:44.197;536842368678727622;-226;943;-209
2021-11-13T10:57:44.216;536842368698420097;-240;947;-199
2021-11-13T10:57:44.236;536842368718112572;-256;948;-195
2021-11-13T10:57:44.256;536842368737805047;-263;932;-202
2021-11-13T10:57:44.275;536842368757497522;-251;929;-202
2021-11-13T10:57:44.295;536842368777189997;-236;942;-198
2021-11-13T10:57:44.315;536842368796882472;-220;951;-198
2021-11-13T10:57:44.334;536842368816574947;-222;954;-201
2021-11-13T10:57:44.354;536842368836267422;-232;947;-207
2021-11-13T10:57:44.374;536842368855959897;-240;946;-213
2021-11-13T10:57:44.394;536842368875652372;-238;937;-212
2021-11-13T10:57:44.413;536842368895344847;-240;936;-209
2021-11-13T10:57:44.433;536842368915037322;-239;945;-207
2021-11-13T10:57:44.453;536842368934729797;-236;953;-213
2021-11-13T10:57:44.472;536842368954422272;-237;945;-223
2021-11-13T10:57:44.492;536842368974107677;-241;941;-220
2021-11-13T10:57:44.512;536842368993793052;-238;939;-210
2021-11-13T10:57:44.531;536842369013478427;-233;941;-208
2021-11-13T10:57:44.551;536842369033163802;-231;941;-203
2021-11-13T10:57:44.571;536842369052849177;-230;945;-201
2021-11-13T10:57:44.590;536842369072534552;-230;945;-213
2021-11-13T10:57:44.610;536842369092219927;-235;945;-216
2021-11-13T10:57:44.630;536842369111905302;-240;939;-217
2021-11-13T10:57:44.650;536842369131590677;-240;943;-214
2021-11-13T10:57:44.669;536842369151276052;-241;934;-209
2021-11-13T10:57:44.689;536842369170961427;-240;940;-200
2021-11-13T10:57:44.709;536842369190646802;-236;949;-211
2021-11-13T10:57:44.728;536842369210332177;-233;947;-224
2021-11-13T10:57:44.748;536842369230017552;-234;937;-216
2021-11-13T10:57:44.768;536842369249702927;-236;944;-204
2021-11-13T10:57:44.787;536842369269388302;-240;940;-205
2021-11-13T10:57:44.807;536842369289073677;-238;947;-210
2021-11-13T10:57:44.827;536842369308759052;-238;937;-215
2021-11-13T10:57:44.846;536842369328444427;-237;943;-210
2021-11-13T10:57:44.866;536842369348129802;-238;949;-205
2021-11-13T10:57:44.886;536842369367815177;-240;944;-203
2021-11-13T10:57:44.905;536842369387500552;-240;939;-196
2021-11-13T10:57:44.925;536842369407185927;-243;943;-179
2021-11-13T10:57:44.945;536842369426871302;-239;943;-195
2021-11-13T10:57:44.964;536842369446556677;-235;944;-209
2021-11-13T10:57:44.984;536842369466242052;-234;948;-213
2021-11-13T10:57:45.004;536842369485927427;-234;947;-204
2021-11-13T10:57:45.024;536842369505612802;-228;940;-197
2021-11-13T10:57:45.043;536842369525298177;-237;942;-190
2021-11-13T10:57:45.063;536842369544983552;-240;941;-200
2021-11-13T10:57:45.083;536842369564668927;-240;938;-212
2021-11-13T10:57:45.102;536842369584354302;-236;941;-216
2021-11-13T10:57:45.122;536842369604039677;-238;942;-218
2021-11-13T10:57:45.142;536842369623725052;-241;942;-221
2021-11-13T10:57:45.161;536842369643410427;-249;934;-217
2021-11-13T10:57:45.181;536842369663095802;-255;936;-210
2021-11-13T10:57:45.201;536842369682783020;-247;934;-217
2021-11-13T10:57:45.220;536842369702470216;-241;939;-226
2021-11-13T10:57:45.240;536842369722157412;-246;944;-224
2021-11-13T10:57:45.260;536842369741844608;-253;942;-214
2021-11-13T10:57:45.279;536842369761531804;-252;935;-214
2021-11-13T10:57:45.299;536842369781219000;-250;937;-213
2021-11-13T10:57:45.319;536842369800906196;-242;943;-215
