Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:10:31.801;536843033596373578;-214;941;13
2021-11-13T11:10:31.820;536843033616150158;-256;936;-47
2021-11-13T11:10:31.840;536843033635926738;-238;969;-59
2021-11-13T11:10:31.860;536843033655703318;-187;994;-90
2021-11-13T11:10:31.880;536843033675479898;-150;978;-48
2021-11-13T11:10:31.899;536843033695256478;-161;981;-28
2021-11-13T11:10:31.919;536843033715033058;-299;967;-127
2021-11-13T11:10:31.939;536843033734809638;-153;1013;-66
2021-11-13T11:10:31.959;536843033754586218;-230;979;-57
2021-11-13T11:10:31.978;536843033774362798;-349;1020;-126
2021-11-13T11:10:31.998;536843033794139378;-216;1016;-5
2021-11-13T11:10:32.018;536843033813915958;-314;1035;-139
2021-11-13T11:10:32.038;536843033833692538;-244;1009;-209
2021-11-13T11:10:32.058;536843033853469118;-96;1027;-77
2021-11-13T11:10:32.077;536843033873245698;-255;952;-97
2021-11-13T11:10:32.097;536843033893022278;-368;959;-153
2021-11-13T11:10:32.117;536843033912798858;-355;983;-108
2021-11-13T11:10:32.137;536843033932575438;-285;961;-87
2021-11-13T11:10:32.156;536843033952352018;-205;937;-210
2021-11-13T11:10:32.176;536843033972128598;-245;962;-241
2021-11-13T11:10:32.196;536843033991905178;-235;969;-209
2021-11-13T11:10:32.216;536843034011681758;-287;947;-171
2021-11-13T11:10:32.236;536843034031458338;-270;963;-165
2021-11-13T11:10:32.255;536843034051234918;-230;984;-157
2021-11-13T11:10:32.275;536843034071011498;-240;985;-193
2021-11-13T11:10:32.295;536843034090788078;-232;998;-143
2021-11-13T11:10:32.315;536843034110564658;-287;997;-78
2021-11-13T11:10:32.334;536843034130341238;-304;959;-77
2021-11-13T11:10:32.354;536843034150117818;-308;979;-171
2021-11-13T11:10:32.374;536843034169894398;-253;1003;-204
2021-11-13T11:10:32.394;536843034189670978;-227;986;-187
2021-11-13T11:10:32.414;536843034209447558;-224;982;-150
2021-11-13T11:10:32.433;536843034229224138;-285;975;-118
2021-11-13T11:10:32.453;536843034249000718;-238;982;-179
2021-11-13T11:10:32.473;536843034268777298;-227;958;-169
2021-11-13T11:10:32.493;536843034288553878;-234;972;-222
2021-11-13T11:10:32.512;536843034308330470;-230;974;-175
2021-11-13T11:10:32.532;536843034328107050;-198;925;-100
2021-11-13T11:10:32.552;536843034347883630;-246;975;-75
2021-11-13T11:10:32.572;536843034367660210;-318;1011;-97
2021-11-13T11:10:32.592;536843034387436790;-281;1073;-89
2021-11-13T11:10:32.611;536843034407213370;-322;1111;-101
2021-11-13T11:10:32.631;536843034426989950;-357;1159;-84
2021-11-13T11:10:32.651;536843034446766530;-374;1156;-114
2021-11-13T11:10:32.671;536843034466543110;-398;1174;-124
2021-11-13T11:10:32.690;536843034486319690;-358;1248;-90
2021-11-13T11:10:32.710;536843034506096270;-388;1201;-46
2021-11-13T11:10:32.730;536843034525872850;-396;1191;-74
2021-11-13T11:10:32.750;536843034545649430;-249;1170;-172
2021-11-13T11:10:32.770;536843034565426010;-226;1170;-228
2021-11-13T11:10:32.789;536843034585202590;-188;1154;-159
2021-11-13T11:10:32.809;536843034604979170;-254;1129;-33
2021-11-13T11:10:32.829;536843034624755750;-365;1078;24
2021-11-13T11:10:32.849;536843034644532330;-328;1091;20
2021-11-13T11:10:32.868;536843034664308910;-230;1138;-80
2021-11-13T11:10:32.888;536843034684085490;-153;1044;-104
2021-11-13T11:10:32.908;536843034703862070;-226;1071;-95
2021-11-13T11:10:32.928;536843034723638650;-335;1106;36
2021-11-13T11:10:32.948;536843034743415230;-435;1054;80
2021-11-13T11:10:32.967;536843034763191810;-272;1104;-5
2021-11-13T11:10:32.987;536843034782968390;-175;1079;-123
2021-11-13T11:10:33.007;536843034802744970;-144;1073;-198
2021-11-13T11:10:33.027;536843034822521550;-210;1030;-127
2021-11-13T11:10:33.046;536843034842298130;-348;1018;-36
2021-11-13T11:10:33.066;536843034862074710;-361;994;-69
2021-11-13T11:10:33.086;536843034881851290;-257;1033;-151
2021-11-13T11:10:33.106;536843034901627870;-159;1014;-167
2021-11-13T11:10:33.126;536843034921404450;-154;983;-83
2021-11-13T11:10:33.145;536843034941181030;-230;937;-109
2021-11-13T11:10:33.165;536843034960957610;-218;979;-144
2021-11-13T11:10:33.185;536843034980734190;-301;978;-99
2021-11-13T11:10:33.205;536843035000510770;-301;995;-71
2021-11-13T11:10:33.224;536843035020286655;-266;961;-5
2021-11-13T11:10:33.244;536843035040062506;-209;965;-77
2021-11-13T11:10:33.264;536843035059838357;-245;946;-70
2021-11-13T11:10:33.284;536843035079614208;-320;902;-79
2021-11-13T11:10:33.304;536843035099390059;-167;936;-208
2021-11-13T11:10:33.323;536843035119165910;-158;917;-187
2021-11-13T11:10:33.343;536843035138941761;-153;919;-106
2021-11-13T11:10:33.363;536843035158717612;-250;879;11
2021-11-13T11:10:33.383;536843035178493463;-330;913;11
2021-11-13T11:10:33.402;536843035198269314;-298;875;-20
2021-11-13T11:10:33.422;536843035218045165;-298;844;-72
2021-11-13T11:10:33.442;536843035237821016;-182;870;-104
2021-11-13T11:10:33.462;536843035257596867;-235;850;-80
2021-11-13T11:10:33.481;536843035277372718;-270;846;-91
2021-11-13T11:10:33.501;536843035297148569;-188;849;-88
2021-11-13T11:10:33.521;536843035316924420;-220;860;-70
2021-11-13T11:10:33.541;536843035336700271;-273;830;-36
2021-11-13T11:10:33.561;536843035356476122;-201;864;-36
2021-11-13T11:10:33.580;536843035376251973;-248;866;-18
2021-11-13T11:10:33.600;536843035396027824;-253;853;-98
2021-11-13T11:10:33.620;536843035415803675;-217;901;-80
2021-11-13T11:10:33.640;536843035435579526;-245;876;-73
2021-11-13T11:10:33.659;536843035455355377;-194;934;-92
2021-11-13T11:10:33.679;536843035475131228;-145;901;-25
2021-11-13T11:10:33.699;536843035494907079;-231;940;-3
2021-11-13T11:10:33.719;536843035514682930;-251;926;2
2021-11-13T11:10:33.739;536843035534458781;-321;899;-107
2021-11-13T11:10:33.758;536843035554234632;-163;917;-64
2021-11-13T11:10:33.778;536843035574010483;-68;964;101
2021-11-13T11:10:33.798;536843035593786334;-245;864;31
2021-11-13T11:10:33.818;536843035613562185;-173;902;-86
2021-11-13T11:10:33.837;536843035633338036;-172;937;3
2021-11-13T11:10:33.857;536843035653113887;-279;906;-27
