Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:41:50.738;536844912589351498;-6;-1048;49
2021-11-13T11:41:50.757;536844912609095310;32;-1082;46
2021-11-13T11:41:50.777;536844912628839122;31;-1069;56
2021-11-13T11:41:50.797;536844912648582934;14;-1057;61
2021-11-13T11:41:50.816;536844912668326746;-1;-1045;79
2021-11-13T11:41:50.836;536844912688070558;-49;-1039;84
2021-11-13T11:41:50.856;536844912707814370;-53;-1018;79
2021-11-13T11:41:50.876;536844912727558182;52;-956;21
2021-11-13T11:41:50.895;536844912747301994;48;-1012;45
2021-11-13T11:41:50.915;536844912767045806;-65;-1106;78
2021-11-13T11:41:50.935;536844912786789618;-10;-1099;89
2021-11-13T11:41:50.955;536844912806533430;73;-1048;93
2021-11-13T11:41:50.974;536844912826277242;161;-1097;96
2021-11-13T11:41:50.994;536844912846021054;101;-1089;79
2021-11-13T11:41:51.014;536844912865764866;74;-1061;87
2021-11-13T11:41:51.034;536844912885508678;29;-1039;127
2021-11-13T11:41:51.053;536844912905252490;48;-1055;153
2021-11-13T11:41:51.073;536844912924996302;154;-1065;123
2021-11-13T11:41:51.093;536844912944740114;206;-1068;139
2021-11-13T11:41:51.113;536844912964483926;105;-1094;119
2021-11-13T11:41:51.132;536844912984227738;105;-1099;59
2021-11-13T11:41:51.152;536844913003971550;34;-1008;83
2021-11-13T11:41:51.172;536844913023715362;238;-969;79
2021-11-13T11:41:51.192;536844913043459174;-38;-1082;142
2021-11-13T11:41:51.211;536844913063202986;-51;-1070;117
2021-11-13T11:41:51.231;536844913082946798;13;-1044;113
2021-11-13T11:41:51.251;536844913102690610;-6;-1105;161
2021-11-13T11:41:51.271;536844913122434422;32;-1093;120
2021-11-13T11:41:51.290;536844913142178234;-9;-1063;110
2021-11-13T11:41:51.310;536844913161922046;-46;-1063;146
2021-11-13T11:41:51.330;536844913181665858;-93;-1087;136
2021-11-13T11:41:51.350;536844913201409670;-48;-1075;121
2021-11-13T11:41:51.369;536844913221153482;-60;-1085;122
2021-11-13T11:41:51.389;536844913240897294;-83;-1105;129
2021-11-13T11:41:51.409;536844913260641106;-29;-1062;94
2021-11-13T11:41:51.429;536844913280384918;30;-979;23
2021-11-13T11:41:51.448;536844913300128742;16;-993;-23
2021-11-13T11:41:51.468;536844913319872554;-37;-992;-39
2021-11-13T11:41:51.488;536844913339616366;-32;-1015;-36
2021-11-13T11:41:51.508;536844913359360178;-74;-1048;-45
2021-11-13T11:41:51.527;536844913379103990;18;-1116;-27
2021-11-13T11:41:51.547;536844913398847802;-159;-1133;6
2021-11-13T11:41:51.567;536844913418591614;1;-1174;78
2021-11-13T11:41:51.586;536844913438335426;330;-1152;182
2021-11-13T11:41:51.606;536844913458079238;274;-1496;156
2021-11-13T11:41:51.626;536844913477823050;-122;-1523;11
2021-11-13T11:41:51.646;536844913497566862;113;-757;-54
2021-11-13T11:41:51.665;536844913517310674;113;-898;104
2021-11-13T11:41:51.685;536844913537054486;-516;-1156;141
2021-11-13T11:41:51.705;536844913556798298;-524;-1137;74
2021-11-13T11:41:51.725;536844913576542110;-585;-1235;-116
2021-11-13T11:41:51.744;536844913596285922;-177;-1271;-83
2021-11-13T11:41:51.764;536844913616029734;-97;-1302;-149
2021-11-13T11:41:51.784;536844913635773546;-68;-1539;101
2021-11-13T11:41:51.804;536844913655517358;175;-1184;67
2021-11-13T11:41:51.823;536844913675261170;-127;-1370;124
2021-11-13T11:41:51.843;536844913695004982;-18;-1119;22
2021-11-13T11:41:51.863;536844913714748794;93;-1368;26
2021-11-13T11:41:51.883;536844913734492606;4;-1263;157
2021-11-13T11:41:51.902;536844913754236418;19;-1308;103
2021-11-13T11:41:51.922;536844913773980230;120;-1167;61
2021-11-13T11:41:51.942;536844913793724042;42;-1266;-42
2021-11-13T11:41:51.962;536844913813467854;-71;-1286;102
2021-11-13T11:41:51.981;536844913833211666;-131;-1126;72
2021-11-13T11:41:52.001;536844913852955478;75;-1203;52
2021-11-13T11:41:52.021;536844913872699290;-31;-1228;14
2021-11-13T11:41:52.041;536844913892443102;-49;-1195;38
2021-11-13T11:41:52.060;536844913912186914;-133;-1253;40
2021-11-13T11:41:52.080;536844913931930726;13;-1112;59
2021-11-13T11:41:52.100;536844913951674538;88;-1112;81
2021-11-13T11:41:52.120;536844913971418350;-9;-987;73
2021-11-13T11:41:52.139;536844913991162162;-133;-1275;13
2021-11-13T11:41:52.159;536844914010913289;124;-1019;273
2021-11-13T11:41:52.179;536844914030664382;-67;-918;-90
2021-11-13T11:41:52.199;536844914050415475;-400;-1345;61
2021-11-13T11:41:52.218;536844914070166568;-90;-764;-50
2021-11-13T11:41:52.238;536844914089917661;-68;-1093;88
2021-11-13T11:41:52.258;536844914109668754;-70;-872;13
2021-11-13T11:41:52.278;536844914129419847;146;-918;56
2021-11-13T11:41:52.297;536844914149170940;-94;-982;79
2021-11-13T11:41:52.317;536844914168922033;148;-932;109
2021-11-13T11:41:52.337;536844914188673126;-105;-930;-3
2021-11-13T11:41:52.357;536844914208424219;147;-794;72
2021-11-13T11:41:52.376;536844914228175312;-19;-782;5
2021-11-13T11:41:52.396;536844914247926405;38;-873;22
2021-11-13T11:41:52.416;536844914267677498;-31;-800;88
2021-11-13T11:41:52.436;536844914287428591;25;-822;122
2021-11-13T11:41:52.455;536844914307179684;-75;-780;106
2021-11-13T11:41:52.475;536844914326930777;96;-729;96
2021-11-13T11:41:52.495;536844914346681870;24;-784;41
2021-11-13T11:41:52.515;536844914366432963;72;-782;93
2021-11-13T11:41:52.534;536844914386184056;109;-715;102
2021-11-13T11:41:52.554;536844914405935149;-39;-862;101
2021-11-13T11:41:52.574;536844914425686242;48;-794;132
2021-11-13T11:41:52.594;536844914445437335;22;-805;98
2021-11-13T11:41:52.613;536844914465188428;254;-855;102
2021-11-13T11:41:52.633;536844914484939521;257;-963;150
2021-11-13T11:41:52.653;536844914504690614;284;-991;185
2021-11-13T11:41:52.673;536844914524441707;166;-1019;210
2021-11-13T11:41:52.692;536844914544192800;143;-1001;226
2021-11-13T11:41:52.712;536844914563943893;210;-978;138
2021-11-13T11:41:52.732;536844914583694986;216;-1066;116
2021-11-13T11:41:52.752;536844914603446079;184;-1083;172
2021-11-13T11:41:52.771;536844914623197172;180;-1046;221
2021-11-13T11:41:52.791;536844914642948265;164;-1013;194
2021-11-13T11:41:52.811;536844914662699358;233;-1042;186
2021-11-13T11:41:52.831;536844914682450451;221;-1040;171
2021-11-13T11:41:52.850;536844914702201544;225;-1046;160
2021-11-13T11:41:52.870;536844914721952642;195;-994;188
2021-11-13T11:41:52.890;536844914741703736;202;-975;192
2021-11-13T11:41:52.910;536844914761454830;239;-998;187
2021-11-13T11:41:52.929;536844914781205924;217;-1002;195
2021-11-13T11:41:52.949;536844914800957018;242;-1001;205
2021-11-13T11:41:52.969;536844914820708112;246;-979;217
2021-11-13T11:41:52.989;536844914840459206;215;-1014;230
2021-11-13T11:41:53.008;536844914860210300;187;-970;208
2021-11-13T11:41:53.028;536844914879961394;147;-1020;156
2021-11-13T11:41:53.048;536844914899712488;190;-1040;200
2021-11-13T11:41:53.068;536844914919463582;172;-996;210
2021-11-13T11:41:53.087;536844914939214676;209;-994;213
2021-11-13T11:41:53.107;536844914958965770;165;-989;212
