Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:43:05.787;536845090339933066;-175;946;-362
2021-11-13T11:43:05.806;536845090359637556;-240;881;-388
2021-11-13T11:43:05.826;536845090379342046;-264;912;-347
2021-11-13T11:43:05.846;536845090399046536;-304;906;-289
2021-11-13T11:43:05.865;536845090418751026;-227;958;-233
2021-11-13T11:43:05.885;536845090438455516;-234;958;-240
2021-11-13T11:43:05.905;536845090458160006;-151;986;-208
2021-11-13T11:43:05.924;536845090477864496;-248;933;-163
2021-11-13T11:43:05.944;536845090497568986;-279;894;-317
2021-11-13T11:43:05.964;536845090517273476;-317;866;-359
2021-11-13T11:43:05.984;536845090536977966;-217;953;-224
2021-11-13T11:43:06.003;536845090556682456;-235;980;-201
2021-11-13T11:43:06.023;536845090576386946;-345;904;-241
2021-11-13T11:43:06.043;536845090596091436;-414;808;-375
2021-11-13T11:43:06.062;536845090615795926;-364;836;-414
2021-11-13T11:43:06.082;536845090635500416;-376;804;-461
2021-11-13T11:43:06.102;536845090655204906;-333;842;-421
2021-11-13T11:43:06.121;536845090674909396;-349;880;-303
2021-11-13T11:43:06.141;536845090694613886;-259;953;-243
2021-11-13T11:43:06.161;536845090714318376;-332;922;-256
2021-11-13T11:43:06.181;536845090734022866;-277;838;-273
2021-11-13T11:43:06.200;536845090753727356;-279;891;-260
2021-11-13T11:43:06.220;536845090773431846;-325;865;-300
2021-11-13T11:43:06.240;536845090793136336;-331;880;-359
2021-11-13T11:43:06.259;536845090812840826;-282;874;-421
2021-11-13T11:43:06.279;536845090832545316;-215;874;-397
2021-11-13T11:43:06.299;536845090852249806;-148;981;-319
2021-11-13T11:43:06.319;536845090871954296;-243;963;-276
2021-11-13T11:43:06.338;536845090891658786;-273;962;-214
2021-11-13T11:43:06.358;536845090911363276;-303;959;-244
2021-11-13T11:43:06.378;536845090931067766;-209;928;-283
2021-11-13T11:43:06.397;536845090950772256;-131;963;-241
2021-11-13T11:43:06.417;536845090970476746;-163;964;-147
2021-11-13T11:43:06.437;536845090990181236;-235;919;-116
2021-11-13T11:43:06.456;536845091009885726;-255;919;-146
2021-11-13T11:43:06.476;536845091029590216;-232;919;-237
2021-11-13T11:43:06.496;536845091049294734;-222;915;-283
2021-11-13T11:43:06.516;536845091068999224;-235;940;-304
2021-11-13T11:43:06.535;536845091088703714;-241;936;-310
