Phone timestamp;HR [bpm]
2021-11-13T11:49:39.118;133
2021-11-13T11:49:40.154;133
2021-11-13T11:49:41.111;132
2021-11-13T11:49:42.212;132
2021-11-13T11:49:43.118;131
2021-11-13T11:49:44.157;131
2021-11-13T11:49:45.123;130
2021-11-13T11:49:46.173;130
2021-11-13T11:49:47.152;129
2021-11-13T11:49:48.135;129
2021-11-13T11:49:49.119;129
2021-11-13T11:49:50.162;128
2021-11-13T11:49:51.144;128
2021-11-13T11:49:52.146;128
2021-11-13T11:49:53.126;127
2021-11-13T11:49:54.119;127
2021-11-13T11:49:55.141;127
2021-11-13T11:49:56.176;126
2021-11-13T11:49:57.109;124
2021-11-13T11:49:58.156;123
2021-11-13T11:49:59.167;121
2021-11-13T11:50:00.146;120
2021-11-13T11:50:01.137;120
2021-11-13T11:50:02.136;120
2021-11-13T11:50:03.186;121
2021-11-13T11:50:04.133;121
2021-11-13T11:50:05.116;121
