Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:16:39.815;536843504309751390;313;801;-486
2021-11-13T11:16:39.834;536843504329430394;324;802;-481
2021-11-13T11:16:39.854;536843504349109398;329;802;-489
2021-11-13T11:16:39.874;536843504368788402;328;811;-491
2021-11-13T11:16:39.893;536843504388467406;329;807;-493
2021-11-13T11:16:39.913;536843504408146410;344;813;-493
2021-11-13T11:16:39.933;536843504427825414;328;808;-482
2021-11-13T11:16:39.952;536843504447504418;316;802;-469
2021-11-13T11:16:39.972;536843504467183422;315;802;-464
2021-11-13T11:16:39.992;536843504486862426;311;802;-470
2021-11-13T11:16:40.011;536843504506541430;304;804;-465
2021-11-13T11:16:40.031;536843504526220434;308;814;-462
2021-11-13T11:16:40.051;536843504545899438;307;814;-468
2021-11-13T11:16:40.070;536843504565578442;304;821;-474
2021-11-13T11:16:40.090;536843504585257446;306;819;-480
2021-11-13T11:16:40.110;536843504604936450;307;812;-478
2021-11-13T11:16:40.129;536843504624615454;308;811;-478
2021-11-13T11:16:40.149;536843504644294458;312;806;-477
2021-11-13T11:16:40.169;536843504663973462;319;806;-477
2021-11-13T11:16:40.188;536843504683652466;313;810;-473
2021-11-13T11:16:40.208;536843504703331470;312;816;-473
2021-11-13T11:16:40.228;536843504723010474;316;819;-478
2021-11-13T11:16:40.247;536843504742689478;305;817;-473
2021-11-13T11:16:40.267;536843504762368482;306;811;-470
2021-11-13T11:16:40.287;536843504782047486;305;811;-478
2021-11-13T11:16:40.306;536843504801726490;308;809;-476
2021-11-13T11:16:40.326;536843504821405494;312;812;-478
2021-11-13T11:16:40.346;536843504841084498;314;811;-472
2021-11-13T11:16:40.366;536843504860763502;316;805;-477
2021-11-13T11:16:40.385;536843504880442506;322;811;-478
2021-11-13T11:16:40.405;536843504900121510;318;821;-485
2021-11-13T11:16:40.425;536843504919800514;314;816;-481
2021-11-13T11:16:40.444;536843504939479518;319;813;-475
2021-11-13T11:16:40.464;536843504959158522;317;802;-482
2021-11-13T11:16:40.484;536843504978837526;304;800;-486
2021-11-13T11:16:40.503;536843504998516530;302;819;-483
2021-11-13T11:16:40.523;536843505018195550;296;826;-489
2021-11-13T11:16:40.543;536843505037874554;300;818;-488
2021-11-13T11:16:40.562;536843505057553558;310;803;-488
2021-11-13T11:16:40.582;536843505077232562;310;798;-479
2021-11-13T11:16:40.602;536843505096911566;306;807;-481
2021-11-13T11:16:40.621;536843505116590570;298;815;-482
2021-11-13T11:16:40.641;536843505136269574;299;832;-478
2021-11-13T11:16:40.661;536843505155948578;299;831;-477
2021-11-13T11:16:40.680;536843505175627582;304;813;-474
2021-11-13T11:16:40.700;536843505195306586;308;809;-464
2021-11-13T11:16:40.720;536843505214985590;315;804;-466
2021-11-13T11:16:40.739;536843505234664594;320;809;-460
2021-11-13T11:16:40.759;536843505254343598;318;811;-461
2021-11-13T11:16:40.779;536843505274022602;308;827;-457
2021-11-13T11:16:40.798;536843505293701606;304;833;-453
2021-11-13T11:16:40.818;536843505313380610;305;830;-458
2021-11-13T11:16:40.838;536843505333059614;310;816;-462
2021-11-13T11:16:40.857;536843505352738618;313;813;-460
2021-11-13T11:16:40.877;536843505372417622;302;812;-466
2021-11-13T11:16:40.897;536843505392096626;289;827;-478
2021-11-13T11:16:40.917;536843505411775630;283;827;-477
2021-11-13T11:16:40.936;536843505431454634;293;817;-481
2021-11-13T11:16:40.956;536843505451133638;306;814;-479
2021-11-13T11:16:40.976;536843505470812642;300;825;-477
2021-11-13T11:16:40.995;536843505490491646;307;824;-468
2021-11-13T11:16:41.015;536843505510170650;318;812;-470
2021-11-13T11:16:41.035;536843505529849654;321;813;-468
2021-11-13T11:16:41.054;536843505549528658;311;824;-460
2021-11-13T11:16:41.074;536843505569207662;304;821;-464
2021-11-13T11:16:41.094;536843505588886666;308;825;-459
