Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:26:25.380;536843987166842709;125;-1167;194
2021-11-13T11:26:25.399;536843987186609094;187;-1153;217
2021-11-13T11:26:25.419;536843987206375479;162;-1129;215
2021-11-13T11:26:25.439;536843987226141864;141;-1127;242
2021-11-13T11:26:25.459;536843987245908249;89;-1124;234
2021-11-13T11:26:25.478;536843987265674634;69;-1119;54
2021-11-13T11:26:25.498;536843987285441019;164;-1148;64
2021-11-13T11:26:25.518;536843987305207404;10;-1076;146
2021-11-13T11:26:25.538;536843987324973789;29;-1059;80
2021-11-13T11:26:25.557;536843987344740174;107;-1047;131
2021-11-13T11:26:25.577;536843987364506559;153;-1061;204
2021-11-13T11:26:25.597;536843987384272944;275;-1079;167
2021-11-13T11:26:25.617;536843987404039329;183;-1102;231
2021-11-13T11:26:25.636;536843987423805714;117;-1065;288
2021-11-13T11:26:25.656;536843987443572099;118;-1061;190
2021-11-13T11:26:25.676;536843987463338484;301;-1136;194
2021-11-13T11:26:25.696;536843987483104869;228;-1124;211
2021-11-13T11:26:25.716;536843987502871254;101;-1114;195
2021-11-13T11:26:25.735;536843987522637639;222;-1115;187
2021-11-13T11:26:25.755;536843987542404024;162;-1067;255
2021-11-13T11:26:25.775;536843987562170409;94;-1029;223
2021-11-13T11:26:25.795;536843987581936794;90;-1044;236
2021-11-13T11:26:25.814;536843987601703179;172;-1074;211
2021-11-13T11:26:25.834;536843987621469564;80;-1045;260
2021-11-13T11:26:25.854;536843987641235949;113;-993;325
2021-11-13T11:26:25.874;536843987661002334;175;-1105;214
2021-11-13T11:26:25.893;536843987680768719;14;-983;256
2021-11-13T11:26:25.913;536843987700535104;101;-988;282
2021-11-13T11:26:25.933;536843987720301489;52;-996;295
2021-11-13T11:26:25.953;536843987740067874;40;-1021;258
2021-11-13T11:26:25.972;536843987759834259;73;-1070;234
2021-11-13T11:26:25.992;536843987779600644;105;-1056;250
2021-11-13T11:26:26.012;536843987799367029;147;-1057;299
2021-11-13T11:26:26.032;536843987819133414;98;-1028;302
2021-11-13T11:26:26.052;536843987838899799;88;-1010;303
2021-11-13T11:26:26.071;536843987858666184;118;-1078;252
2021-11-13T11:26:26.091;536843987878432601;122;-1073;312
2021-11-13T11:26:26.111;536843987898198986;118;-1057;315
2021-11-13T11:26:26.131;536843987917965371;164;-1073;322
2021-11-13T11:26:26.150;536843987937731756;52;-1073;270
2021-11-13T11:26:26.170;536843987957498141;84;-1104;250
2021-11-13T11:26:26.190;536843987977264526;49;-1078;255
2021-11-13T11:26:26.210;536843987997030911;69;-1060;287
2021-11-13T11:26:26.229;536843988016797296;72;-1052;302
2021-11-13T11:26:26.249;536843988036563681;28;-1070;278
2021-11-13T11:26:26.269;536843988056330066;101;-1063;275
2021-11-13T11:26:26.289;536843988076096451;71;-1034;282
2021-11-13T11:26:26.309;536843988095862836;41;-1032;287
2021-11-13T11:26:26.328;536843988115629221;39;-1041;273
2021-11-13T11:26:26.348;536843988135395606;30;-1036;266
2021-11-13T11:26:26.368;536843988155161991;103;-1057;273
2021-11-13T11:26:26.388;536843988174928376;48;-1076;266
2021-11-13T11:26:26.407;536843988194694761;73;-1124;293
2021-11-13T11:26:26.427;536843988214461146;93;-1170;275
2021-11-13T11:26:26.447;536843988234227531;157;-1257;318
2021-11-13T11:26:26.467;536843988253993916;40;-1331;327
2021-11-13T11:26:26.486;536843988273760301;102;-1310;341
2021-11-13T11:26:26.506;536843988293526686;224;-1402;378
2021-11-13T11:26:26.526;536843988313293071;45;-1335;395
2021-11-13T11:26:26.546;536843988333059456;40;-1283;290
2021-11-13T11:26:26.565;536843988352825841;117;-1349;256
2021-11-13T11:26:26.585;536843988372592226;-33;-1270;261
2021-11-13T11:26:26.605;536843988392358611;-7;-1195;298
2021-11-13T11:26:26.625;536843988412124996;89;-1238;197
2021-11-13T11:26:26.645;536843988431891381;9;-1206;269
2021-11-13T11:26:26.664;536843988451657766;-27;-1175;194
2021-11-13T11:26:26.684;536843988471424151;33;-1102;268
2021-11-13T11:26:26.704;536843988491190536;32;-1082;289
2021-11-13T11:26:26.724;536843988510956921;28;-1072;181
2021-11-13T11:26:26.743;536843988530723306;76;-1080;201
2021-11-13T11:26:26.763;536843988550489691;-43;-1078;165
2021-11-13T11:26:26.783;536843988570256076;-70;-1011;156
2021-11-13T11:26:26.803;536843988590008638;-60;-995;177
2021-11-13T11:26:26.822;536843988609761188;30;-985;173
2021-11-13T11:26:26.842;536843988629513738;37;-934;304
2021-11-13T11:26:26.862;536843988649266288;-79;-972;227
2021-11-13T11:26:26.882;536843988669018838;4;-952;194
2021-11-13T11:26:26.901;536843988688771388;-75;-977;177
2021-11-13T11:26:26.921;536843988708523938;-30;-967;177
2021-11-13T11:26:26.941;536843988728276488;-36;-984;117
2021-11-13T11:26:26.961;536843988748029038;1;-953;202
2021-11-13T11:26:26.980;536843988767781588;43;-973;208
2021-11-13T11:26:27.000;536843988787534138;57;-968;134
2021-11-13T11:26:27.020;536843988807286688;24;-956;223
2021-11-13T11:26:27.040;536843988827039238;-20;-987;109
2021-11-13T11:26:27.059;536843988846791788;22;-919;165
2021-11-13T11:26:27.079;536843988866544338;2;-853;117
2021-11-13T11:26:27.099;536843988886296888;73;-874;130
2021-11-13T11:26:27.119;536843988906049438;-16;-897;73
2021-11-13T11:26:27.138;536843988925801988;-12;-917;39
2021-11-13T11:26:27.158;536843988945554538;97;-879;55
2021-11-13T11:26:27.178;536843988965307088;-25;-828;174
2021-11-13T11:26:27.198;536843988985059638;78;-928;82
2021-11-13T11:26:27.217;536843989004812188;31;-963;102
2021-11-13T11:26:27.237;536843989024564738;70;-972;217
2021-11-13T11:26:27.257;536843989044317288;147;-961;200
2021-11-13T11:26:27.277;536843989064069838;-44;-1029;161
2021-11-13T11:26:27.296;536843989083822388;86;-1056;83
2021-11-13T11:26:27.316;536843989103574938;78;-1005;174
2021-11-13T11:26:27.336;536843989123327488;-69;-1028;145
2021-11-13T11:26:27.356;536843989143080038;38;-940;68
2021-11-13T11:26:27.375;536843989162832588;43;-999;81
2021-11-13T11:26:27.395;536843989182585138;113;-1030;111
2021-11-13T11:26:27.415;536843989202337688;103;-955;110
2021-11-13T11:26:27.435;536843989222090238;-43;-979;129
2021-11-13T11:26:27.455;536843989241842788;-23;-1036;81
2021-11-13T11:26:27.474;536843989261595338;186;-968;141
2021-11-13T11:26:27.494;536843989281347888;183;-997;41
2021-11-13T11:26:27.514;536843989301104091;-49;-1086;150
2021-11-13T11:26:27.534;536843989320860282;-4;-983;118
2021-11-13T11:26:27.553;536843989340616473;50;-1001;91
2021-11-13T11:26:27.573;536843989360372664;83;-1023;100
2021-11-13T11:26:27.593;536843989380128855;349;-1057;31
2021-11-13T11:26:27.613;536843989399885046;7;-1076;146
2021-11-13T11:26:27.632;536843989419641237;35;-985;195
2021-11-13T11:26:27.652;536843989439397428;60;-994;116
2021-11-13T11:26:27.672;536843989459153619;65;-1033;151
2021-11-13T11:26:27.692;536843989478909810;247;-1061;74
2021-11-13T11:26:27.711;536843989498666001;-41;-1073;181
2021-11-13T11:26:27.731;536843989518422192;65;-1017;159
2021-11-13T11:26:27.751;536843989538178383;51;-1032;121
2021-11-13T11:26:27.771;536843989557934574;1065;-1263;-465
2021-11-13T11:26:27.790;536843989577690765;-356;-740;386
2021-11-13T11:26:27.810;536843989597446956;389;-1233;139
2021-11-13T11:26:27.830;536843989617203147;-201;-933;158
2021-11-13T11:26:27.850;536843989636959338;-58;-1001;187
2021-11-13T11:26:27.869;536843989656715529;34;-1084;191
2021-11-13T11:26:27.889;536843989676471720;47;-1046;173
2021-11-13T11:26:27.909;536843989696227911;657;-1070;-76
2021-11-13T11:26:27.929;536843989715984102;-431;-1074;323
2021-11-13T11:26:27.948;536843989735740293;125;-1040;184
2021-11-13T11:26:27.968;536843989755496484;-188;-1042;223
2021-11-13T11:26:27.988;536843989775252675;33;-1071;206
2021-11-13T11:26:28.008;536843989795008866;212;-1093;143
2021-11-13T11:26:28.027;536843989814765057;116;-1013;193
2021-11-13T11:26:28.047;536843989834521248;200;-1149;-48
2021-11-13T11:26:28.067;536843989854277439;114;-931;174
2021-11-13T11:26:28.087;536843989874033630;154;-1130;114
2021-11-13T11:26:28.106;536843989893789821;133;-1010;106
2021-11-13T11:26:28.126;536843989913546012;121;-1105;183
2021-11-13T11:26:28.146;536843989933302203;131;-1041;148
2021-11-13T11:26:28.166;536843989953058394;144;-1061;104
2021-11-13T11:26:28.185;536843989972814585;70;-1015;90
2021-11-13T11:26:28.205;536843989992570776;188;-1017;81
2021-11-13T11:26:28.225;536843990012323338;128;-1043;29
2021-11-13T11:26:28.245;536843990032075888;210;-1014;31
2021-11-13T11:26:28.264;536843990051828438;159;-1000;109
2021-11-13T11:26:28.284;536843990071580988;218;-985;91
2021-11-13T11:26:28.304;536843990091333538;128;-1000;85
2021-11-13T11:26:28.324;536843990111086088;225;-980;38
2021-11-13T11:26:28.343;536843990130838638;148;-984;64
2021-11-13T11:26:28.363;536843990150591188;224;-984;19
2021-11-13T11:26:28.383;536843990170343738;143;-967;61
2021-11-13T11:26:28.403;536843990190096288;185;-974;69
2021-11-13T11:26:28.423;536843990209848838;219;-983;41
2021-11-13T11:26:28.442;536843990229601388;233;-992;84
2021-11-13T11:26:28.462;536843990249353938;175;-965;139
2021-11-13T11:26:28.482;536843990269106488;263;-903;130
2021-11-13T11:26:28.502;536843990288859038;216;-907;28
2021-11-13T11:26:28.521;536843990308611588;23;-929;130
2021-11-13T11:26:28.541;536843990328364138;171;-883;168
