Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:29:29.179;536844273680781260;396;767;-497
2021-11-13T11:29:29.198;536844273700477012;386;759;-509
2021-11-13T11:29:29.218;536844273720172764;394;755;-493
2021-11-13T11:29:29.238;536844273739868516;381;763;-502
2021-11-13T11:29:29.257;536844273759564268;390;763;-502
2021-11-13T11:29:29.277;536844273779260020;385;760;-513
2021-11-13T11:29:29.297;536844273798955772;386;763;-515
2021-11-13T11:29:29.316;536844273818651524;384;760;-511
2021-11-13T11:29:29.336;536844273838347276;393;764;-495
2021-11-13T11:29:29.356;536844273858043028;364;779;-491
2021-11-13T11:29:29.375;536844273877738780;376;764;-507
2021-11-13T11:29:29.395;536844273897434532;383;766;-494
2021-11-13T11:29:29.415;536844273917130284;383;779;-501
2021-11-13T11:29:29.435;536844273936826036;384;782;-506
2021-11-13T11:29:29.454;536844273956521788;381;775;-503
2021-11-13T11:29:29.474;536844273976217540;379;788;-494
2021-11-13T11:29:29.494;536844273995913292;382;792;-499
2021-11-13T11:29:29.513;536844274015609044;413;775;-510
2021-11-13T11:29:29.533;536844274035304796;353;790;-506
2021-11-13T11:29:29.553;536844274055000548;370;764;-500
2021-11-13T11:29:29.572;536844274074696300;382;815;-465
2021-11-13T11:29:29.592;536844274094392052;310;811;-484
2021-11-13T11:29:29.612;536844274114087804;311;795;-498
2021-11-13T11:29:29.632;536844274133783556;325;802;-487
2021-11-13T11:29:29.651;536844274153479308;336;801;-495
2021-11-13T11:29:29.671;536844274173175060;284;792;-494
2021-11-13T11:29:29.691;536844274192870812;291;810;-503
2021-11-13T11:29:29.710;536844274212566564;239;830;-487
2021-11-13T11:29:29.730;536844274232262316;236;825;-503
2021-11-13T11:29:29.750;536844274251958068;195;840;-506
2021-11-13T11:29:29.769;536844274271653820;323;804;-547
2021-11-13T11:29:29.789;536844274291349572;272;805;-502
2021-11-13T11:29:29.809;536844274311045324;232;839;-508
2021-11-13T11:29:29.828;536844274330741076;216;846;-486
2021-11-13T11:29:29.848;536844274350436828;146;850;-476
2021-11-13T11:29:29.868;536844274370132580;130;849;-488
2021-11-13T11:29:29.888;536844274389828352;112;833;-500
2021-11-13T11:29:29.907;536844274409524104;205;864;-506
2021-11-13T11:29:29.927;536844274429219856;157;871;-483
2021-11-13T11:29:29.947;536844274448915608;137;870;-465
2021-11-13T11:29:29.966;536844274468611360;119;880;-421
2021-11-13T11:29:29.986;536844274488307112;76;870;-465
2021-11-13T11:29:30.006;536844274508002864;71;898;-417
2021-11-13T11:29:30.025;536844274527698616;31;884;-419
2021-11-13T11:29:30.045;536844274547394368;35;881;-419
2021-11-13T11:29:30.065;536844274567090120;1;877;-428
2021-11-13T11:29:30.085;536844274586785872;15;899;-380
2021-11-13T11:29:30.104;536844274606481624;17;930;-304
2021-11-13T11:29:30.124;536844274626177376;-45;928;-263
2021-11-13T11:29:30.144;536844274645873128;-85;942;-246
2021-11-13T11:29:30.163;536844274665568880;-135;921;-271
2021-11-13T11:29:30.183;536844274685264632;-157;933;-337
2021-11-13T11:29:30.203;536844274704960384;-147;946;-307
2021-11-13T11:29:30.222;536844274724656136;-143;926;-302
2021-11-13T11:29:30.242;536844274744351888;-218;916;-337
2021-11-13T11:29:30.262;536844274764047640;-173;916;-316
2021-11-13T11:29:30.281;536844274783743392;-122;930;-329
2021-11-13T11:29:30.301;536844274803439144;18;944;-366
2021-11-13T11:29:30.321;536844274823134896;-8;925;-382
2021-11-13T11:29:30.341;536844274842830648;-77;915;-357
2021-11-13T11:29:30.360;536844274862526400;-125;917;-342
2021-11-13T11:29:30.380;536844274882222152;-80;940;-315
2021-11-13T11:29:30.400;536844274901917904;-34;946;-328
2021-11-13T11:29:30.419;536844274921613656;-61;933;-382
2021-11-13T11:29:30.439;536844274941309408;-104;915;-371
2021-11-13T11:29:30.459;536844274961005160;-106;930;-340
2021-11-13T11:29:30.478;536844274980700912;-88;939;-321
2021-11-13T11:29:30.498;536844275000396664;-104;915;-342
2021-11-13T11:29:30.518;536844275020092416;-75;928;-364
2021-11-13T11:29:30.538;536844275039788168;-65;925;-366
2021-11-13T11:29:30.557;536844275059483920;-55;923;-365
