Phone timestamp;HR [bpm]
2021-11-13T11:36:27.207;144
2021-11-13T11:36:28.169;143
2021-11-13T11:36:29.148;143
2021-11-13T11:36:30.166;143
2021-11-13T11:36:31.187;143
2021-11-13T11:36:32.176;144
2021-11-13T11:36:33.169;144
2021-11-13T11:36:34.158;144
2021-11-13T11:36:35.185;144
2021-11-13T11:36:36.169;144
2021-11-13T11:36:37.158;143
2021-11-13T11:36:38.149;143
2021-11-13T11:36:39.168;143
2021-11-13T11:36:40.190;143
2021-11-13T11:36:41.142;142
2021-11-13T11:36:42.167;142
2021-11-13T11:36:43.156;142
2021-11-13T11:36:44.140;142
2021-11-13T11:36:45.168;141
2021-11-13T11:36:46.191;140
2021-11-13T11:36:47.181;140
2021-11-13T11:36:48.200;140
