Phone timestamp;HR [bpm]
2021-11-13T11:54:05.299;139
2021-11-13T11:54:06.123;139
2021-11-13T11:54:07.160;138
2021-11-13T11:54:08.102;137
2021-11-13T11:54:09.116;135
2021-11-13T11:54:10.113;134
2021-11-13T11:54:11.122;133
2021-11-13T11:54:12.113;132
2021-11-13T11:54:13.123;131
2021-11-13T11:54:14.112;130
2021-11-13T11:54:15.168;126
2021-11-13T11:54:16.140;123
2021-11-13T11:54:17.108;119
2021-11-13T11:54:18.119;117
2021-11-13T11:54:19.143;117
2021-11-13T11:54:20.114;117
2021-11-13T11:54:21.107;117
