Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:55:15.953;536845820531128235;-42;998;-196
2021-11-13T11:55:15.972;536845820550821074;-14;1037;-182
2021-11-13T11:55:15.992;536845820570513913;-9;1094;-182
2021-11-13T11:55:16.012;536845820590206752;-12;1108;-184
2021-11-13T11:55:16.031;536845820609899591;23;1197;-206
2021-11-13T11:55:16.051;536845820629592430;37;1248;-239
2021-11-13T11:55:16.071;536845820649285269;42;1237;-240
2021-11-13T11:55:16.090;536845820668978108;60;1260;-246
2021-11-13T11:55:16.110;536845820688670947;59;1231;-242
2021-11-13T11:55:16.130;536845820708363786;17;1220;-220
2021-11-13T11:55:16.149;536845820728056625;-6;1256;-228
2021-11-13T11:55:16.169;536845820747749464;-20;1225;-219
2021-11-13T11:55:16.189;536845820767442303;-54;1216;-203
2021-11-13T11:55:16.209;536845820787135142;-67;1206;-184
2021-11-13T11:55:16.228;536845820806827981;-56;1163;-176
2021-11-13T11:55:16.248;536845820826520820;-32;1159;-159
2021-11-13T11:55:16.268;536845820846213659;4;1150;-154
2021-11-13T11:55:16.287;536845820865906498;23;1124;-165
2021-11-13T11:55:16.307;536845820885599337;22;1110;-186
2021-11-13T11:55:16.327;536845820905292176;-6;1113;-188
2021-11-13T11:55:16.346;536845820924985015;-10;1089;-177
2021-11-13T11:55:16.366;536845820944677854;8;1094;-158
2021-11-13T11:55:16.386;536845820964370693;11;1064;-157
2021-11-13T11:55:16.405;536845820984063532;4;1074;-175
2021-11-13T11:55:16.425;536845821003756371;-16;1100;-182
2021-11-13T11:55:16.445;536845821023449210;-44;1098;-168
2021-11-13T11:55:16.465;536845821043142049;-26;1101;-148
2021-11-13T11:55:16.484;536845821062834888;-22;1100;-138
2021-11-13T11:55:16.504;536845821082527727;-38;1105;-147
2021-11-13T11:55:16.524;536845821102220566;-42;1099;-153
2021-11-13T11:55:16.543;536845821121913405;-78;1103;-153
2021-11-13T11:55:16.563;536845821141606244;-104;1069;-177
2021-11-13T11:55:16.583;536845821161299083;-95;1058;-198
2021-11-13T11:55:16.602;536845821180991922;-80;1081;-223
2021-11-13T11:55:16.622;536845821200684761;-59;1029;-235
2021-11-13T11:55:16.642;536845821220377600;-49;988;-229
2021-11-13T11:55:16.661;536845821240070467;-21;951;-216
2021-11-13T11:55:16.681;536845821259763306;-50;940;-234
2021-11-13T11:55:16.701;536845821279456145;-78;971;-246
2021-11-13T11:55:16.721;536845821299148984;-65;941;-263
2021-11-13T11:55:16.740;536845821318841823;-89;862;-271
2021-11-13T11:55:16.760;536845821338534662;-88;870;-256
2021-11-13T11:55:16.780;536845821358227501;-45;895;-256
2021-11-13T11:55:16.799;536845821377920340;-12;937;-271
2021-11-13T11:55:16.819;536845821397613179;35;884;-264
2021-11-13T11:55:16.839;536845821417306018;29;794;-246
2021-11-13T11:55:16.858;536845821436998857;-30;791;-235
2021-11-13T11:55:16.878;536845821456691696;-77;814;-268
2021-11-13T11:55:16.898;536845821476384535;-4;762;-467
2021-11-13T11:55:16.917;536845821496077374;124;692;-536
2021-11-13T11:55:16.937;536845821515770213;138;678;-335
2021-11-13T11:55:16.957;536845821535463052;-48;744;-222
2021-11-13T11:55:16.977;536845821555155891;-2;804;-91
2021-11-13T11:55:16.996;536845821574848730;55;776;46
2021-11-13T11:55:17.016;536845821594541569;93;747;78
2021-11-13T11:55:17.036;536845821614234408;80;729;126
2021-11-13T11:55:17.055;536845821633927247;39;677;187
2021-11-13T11:55:17.075;536845821653620086;-1;644;231
2021-11-13T11:55:17.095;536845821673312925;-47;648;222
2021-11-13T11:55:17.114;536845821693005764;-39;628;151
2021-11-13T11:55:17.134;536845821712698603;-17;672;45
2021-11-13T11:55:17.154;536845821732391442;-17;641;-13
2021-11-13T11:55:17.173;536845821752084281;-84;602;-88
2021-11-13T11:55:17.193;536845821771777120;-157;636;-188
2021-11-13T11:55:17.213;536845821791469959;-37;734;-271
