Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-11-13T11:58:10.723;536845892563329857;409;855;367
2021-11-13T11:58:10.742;536845892583088232;478;842;432
2021-11-13T11:58:10.762;536845892602846607;247;882;553
2021-11-13T11:58:10.782;536845892622604982;-13;884;489
2021-11-13T11:58:10.802;536845892642363357;-20;905;507
2021-11-13T11:58:10.821;536845892662121732;94;968;315
2021-11-13T11:58:10.841;536845892681880107;-38;928;325
2021-11-13T11:58:10.861;536845892701638482;123;972;231
2021-11-13T11:58:10.881;536845892721396857;549;975;-55
2021-11-13T11:58:10.900;536845892741155232;240;889;-280
2021-11-13T11:58:10.920;536845892760913607;289;809;-114
2021-11-13T11:58:10.940;536845892780671982;700;1016;138
2021-11-13T11:58:10.960;536845892800430357;626;965;260
2021-11-13T11:58:10.979;536845892820188732;464;924;118
2021-11-13T11:58:10.999;536845892839947107;384;916;41
2021-11-13T11:58:11.019;536845892859705482;387;933;155
2021-11-13T11:58:11.039;536845892879463857;348;991;67
2021-11-13T11:58:11.058;536845892899222232;361;951;-71
2021-11-13T11:58:11.078;536845892918980607;347;965;-65
2021-11-13T11:58:11.098;536845892938738982;380;987;38
2021-11-13T11:58:11.118;536845892958497357;283;970;115
2021-11-13T11:58:11.137;536845892978255732;225;977;112
2021-11-13T11:58:11.157;536845892998014107;289;970;84
2021-11-13T11:58:11.177;536845893017772482;246;1021;31
2021-11-13T11:58:11.197;536845893037530857;231;995;218
2021-11-13T11:58:11.216;536845893057289232;137;994;335
2021-11-13T11:58:11.236;536845893077047607;174;1025;325
2021-11-13T11:58:11.256;536845893096805982;260;947;264
2021-11-13T11:58:11.276;536845893116564357;257;992;124
2021-11-13T11:58:11.295;536845893136322732;333;962;-23
2021-11-13T11:58:11.315;536845893156081107;243;958;12
2021-11-13T11:58:11.335;536845893175839482;251;969;127
2021-11-13T11:58:11.355;536845893195597857;286;1042;127
2021-11-13T11:58:11.375;536845893215356232;252;969;136
2021-11-13T11:58:11.394;536845893235114607;221;993;151
2021-11-13T11:58:11.414;536845893254872982;260;1008;166
2021-11-13T11:58:11.434;536845893274631389;347;946;23
2021-11-13T11:58:11.454;536845893294389764;341;881;-19
2021-11-13T11:58:11.473;536845893314148139;313;971;-1
2021-11-13T11:58:11.493;536845893333906514;205;971;93
2021-11-13T11:58:11.513;536845893353664889;162;962;234
2021-11-13T11:58:11.533;536845893373423264;109;987;186
2021-11-13T11:58:11.552;536845893393181639;120;971;130
2021-11-13T11:58:11.572;536845893412940014;216;781;125
2021-11-13T11:58:11.592;536845893432698389;302;875;181
2021-11-13T11:58:11.612;536845893452456764;100;836;164
2021-11-13T11:58:11.631;536845893472215139;142;874;121
